Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
gavayena samo 'nadvàn  BVaky_3,14.545a
gavayo vyapadi÷yate  BVaky_3,14.299b
gavàü yathà vajrapàõis  BVaky_3,14.213c
gavàü vi÷eùaõatvena  BVaky_3,14.238a
gàrgãputre na sa kramaş  BVaky_3,14.134d
gàrgyàt syàt tac ca neùyate  BVaky_3,14.162b
gàvedhuke carau dçùñà  BVaky_3,14.592a
girater garjater gameş  BVaky_2.174b
gãtibhedàt tu gçhyante  BVaky_2.107c
guõakriyàõàü kartàraş  BVaky_3,7.20a
guõakriyàyàü svàtantryàt  BVaky_3,7.127a
guõaguõyabhidhàyinoş  BVaky_3,14.8b
guõajàtes tathaikatà  BVaky_3,14.364b
guõatulye vatir bhavet  BVaky_3,14.508d
guõatvam itareùàü ca  BVaky_3,14.259c
guõatvaü paratantratvàt  BVaky_3,5.1c
guõatvàd vopasarjanam  BVaky_3,14.411b
guõadharma guõàviùñaü  BVaky_3,14.25c
guõadharmasya kasya cit  BVaky_3,13.24b
guõapradhànatàbhedaş  BVaky_3,10.7a
guõapradhànabhàvasya  BVaky_2.306c
guõapradhànabhàvena  BVaky_3,14.205c
guõabhàvaviparyayaş  BVaky_3,14.120b
guõabhàvaviparyayaş  BVaky_3,14.187d
guõabhàvas tu varõyate  BVaky_3,14.338d
guõabhàvena sàkàïkùaü  BVaky_2.48a
guõabhàvo 'bhidheyatvaü  BVaky_3,14.336a
guõabhåtasamuccayaş  BVaky_3,14.199b
guõabhåtasamuccitaş  BVaky_3,14.199d
guõabhåtasya nànàtvàd  BVaky_3,14.339a
guõabhåtair avayavaiş  BVaky_3,8.4a
guõabhedasya saübhavàt  BVaky_3,14.431b
guõamàtràbhidhàyitvaü  BVaky_3,14.26a
guõamàtràbhidhàyitvaü  BVaky_3,14.175a
guõamàtre prayujyeta  BVaky_3,14.170c
guõayor niyato bhedo  BVaky_3,14.364a
guõa÷abdasya dar÷anàt  BVaky_3,14.580b
guõas tasmàd vikalpate  BVaky_3,1.79d
guõas tasmàd vi÷eùaõam  BVaky_3,14.27d
guõasya càtmanà dravyaü  BVaky_3,14.351c
guõasya bhedakàle tu  BVaky_3,14.352a
guõasyàvi÷yate tathà  BVaky_3,5.9d
guõasyàsya yadi ÷rutiş  BVaky_3,14.424b
guõaş kàryair na yujyate  BVaky_1.63b
guõaş prakarùahetur yaş  BVaky_1.65a
guõà ity eva buddher và  BVaky_3,13.18a
guõà dvitvàdaya÷ ca ye  BVaky_3,3.14d
guõànàm apy asau guõaş  BVaky_3,3.5d
guõànàm avadhàraõam  BVaky_2.157d
guõànàm à÷rayàd bhedaş  BVaky_3,14.373a
guõànàm à÷rayaiş saha  BVaky_3,14.147b
guõànàü paratantràõàü  BVaky_3,1.87c
guõàvasthà guõàs tathà  BVaky_3,13.1d
guõàs tatropajàyante  BVaky_3,9.20c
guõàş pratinidhãyante  BVaky_3,1.78c
guõàş svàdhàra eva ye  BVaky_3,3.13d
guõe na copamànasthe  BVaky_3,14.413a
guõe 'pi nàïgãkriyate  BVaky_3,1.88a
guõeùu vyatiricyate  BVaky_3,7.157b
guõe svà÷rayavartini  BVaky_3,14.163b
guõair na vyavakãryate  BVaky_1.170d
guõair padànàü saübandhaş  BVaky_2.196c
guõais te 'py ekade÷asthàş  BVaky_3,14.487c
guõo dviùñho 'bhidhãyate  BVaky_3,14.387b
guõo nopaplavàdayaş  BVaky_3,14.416d
guõo 'nyeùàü nivartakaş  BVaky_3,14.489d
guõo bhede 'py abhedena  BVaky_3,14.427c
guõo vi÷eùaõatvena  BVaky_3,14.136c
guõo 'sàv à÷ritaikatvo  BVaky_3,14.363c
gunas tenàrthità tasya  BVaky_3,1.72c
gurugi÷yapitàputra-  BVaky_3,14.408a
guruõà tãrthadar÷inà  BVaky_2.482b
gurutvaü parimãyeta  BVaky_3,9.28c
gçhãtaü gçha÷abdena  BVaky_3,2.3c
gçhyante samavasthitàş  BVaky_3,14.176d
gçhyeta yadi sàdhanam  BVaky_3,14.168b
gotràõy eva tu tàny àhuş  BVaky_2.365a
gotvaü goùv asti sàmànyaü  BVaky_3,14.397c
gotvànuùaïgo vàhãke  BVaky_2.255a
godàv iti ca dç÷yate  BVaky_3,14.115b
godau tatra na sidhyati  BVaky_3,14.111d
gobhis tadàbhisaübandho  BVaky_3,14.239c
gobhis tàvat pratãyate  BVaky_3,14.212d
gomahiùyàdijàtibhiş  BVaky_3,13.4d
goyuùmanmahatàü cvyarthe  BVaky_2.279a
gorathàdiùv adar÷anàt  BVaky_3,14.51b
govikartàkùavàpayoş  BVaky_3,14.592b
go÷abdenàbhidhãyate  BVaky_2.252b
go÷abdo goùu vartate  BVaky_2.175b
go÷abdo na tathà jàter  BVaky_2.162c
go÷abdo na tv asau teùàü  BVaky_2.153c
gauõa ity ucyate kva cit  BVaky_2.274d
gauõatvasya prasàdhikà  BVaky_2.280d
gauõatvaü parikalpyate  BVaky_3,1.18b
gauõatvaü pratipadyate  BVaky_2.282d
gauõamukhyaprakalpanà  BVaky_2.263d
gauõaü yatnopapàditam  BVaky_2.278d
gauõàrthàbhinive÷inam  BVaky_2.266d
gaur a÷va iti cocyate  BVaky_2.271b
gaur iti prayuyukùyate  BVaky_1.175b
gaur iti vyapadi÷yate  BVaky_3,14.148b
gaur ity atrànudar÷itam  BVaky_2.174d
gaur ity eva svaråpàd và  BVaky_2.175a
gaur iva prakùaraty ekà  BVaky_1.160a
gauryamàtràbhidhàyinà  BVaky_3,14.493b
gaur vàhãka iti dvitve  BVaky_3,14.625a
granthamàtro vyavasthitaş  BVaky_2.485d
granthe pårvatra bhedas tu  BVaky_3,14.245c
grahaõagràhyayoş siddhà  BVaky_1.100a
grahaõagràhyayoş sthitaş  BVaky_2.98d
grahaõasyàsti saübhavaş  BVaky_2.100d
grahaõaü vinivartate  BVaky_3,1.17d
grahaõaü sa kramaş ÷rutau  BVaky_2.105d
grahaõànuguõais tathà  BVaky_1.85b
grahaõe bhedamàtrasya  BVaky_3,14.624c
grahaõopàdhibhedena  BVaky_1.76c
grahaõopàya eva saş  BVaky_1.87d
grahàs tv anyatra vihità  BVaky_3,1.58a
grahe yatra kriyà÷rutiş  BVaky_3,1.85b
gràme yo lo vidhãyate  BVaky_3,7.84b
gràhyatvaü gràhakatvaü ca  BVaky_1.56a
gràhyaü và na tathà sthitam  BVaky_3,14.92d
gràhyàbhyàü parikalpitaş  BVaky_2.99d
grutyà hy artho 'nusajyate  BVaky_3,14.280d
ghaña ity api yaj j¤ànaü  BVaky_3,1.109c
ghañaj¤ànam iti j¤ànaü  BVaky_3,1.109a
ghañaj¤ànavilakùaõam  BVaky_3,1.109b
ghañasya dç÷ikarmatve  BVaky_3,7.10a
ghañàdidar÷anàl lokaş  BVaky_2.237a
ghañàdibhyo na dç÷yate  BVaky_3,14.128d
ghañàdiùu yathà dãpo  BVaky_2.298a
ghañàdãnàü na càkàràn  BVaky_2.123a
ghañãnàü maõóalaü mahat  BVaky_1.154b
ghaõñàdånàü ca ÷abdeùu  BVaky_1.107c
ghavidhau yac ca saüj¤àyàm  BVaky_3,14.469a
ghçtapàke vivakùite  BVaky_3,14.446b
ghoùiõã jàtanirghoùà  BVaky_1.164a
cakùuùaş pràpyakàritve  BVaky_1.82a
ca¤catprakàra÷ ca¤catko  BVaky_3,14.616a
catasro hi yathàvasthà  BVaky_3,3.66a
caturthã sà vikàrataş  BVaky_3,7.115b
caturdhànyat tu kalpitam  BVaky_3,7.45d
caturdhà pa¤cadhàpi và  BVaky_3,1.1b
catvàri padajàtàni  BVaky_2.343c
candravaktre 'nugamyate  BVaky_3,14.416b
caritàrthàn paràrthatvàn  BVaky_1.55c
caritàstikriyaü kva cit  BVaky_2.270b
ca÷abdo vinivartate  BVaky_3,14.193b
casya càsattvabhåto 'rthaş  BVaky_3,14.194a
càdayo na prayujyante  BVaky_2.194a
càdiùv arthakçtaü hi tat  BVaky_3,14.194d
càndràcàryàdibhiş punaş  BVaky_2.486d
càrthasyànyapadàrthatà  BVaky_3,14.196b
càrthasyàpagame 'pi và  BVaky_3,14.203b
càrthaş ÷abde kva cid bhedàt  BVaky_3,14.195a
càrthe dvandvapadànàü ca  BVaky_3,14.39c
càrtho dvandvanibandhanaş  BVaky_3,14.202d
cikitsàlakùaõàdhyàtma-  BVaky_1.174c
ciïkramyamàõo 'dhãùvàtra  BVaky_2.452a
citikàla÷ ca bhidyate  BVaky_3,14.325b
citiråpeõa gçhyate  BVaky_3,14.324b
citrasyaikasya råpasya  BVaky_2.8a
citraü hi pratipàdanam  BVaky_2.178d
citràõàü na ca vidyate  BVaky_3,14.213b
citràdiùv apy abhivyaktir  BVaky_3,1.45a
citrà vi÷vasya vçttayaş  BVaky_3,9.15b
cinoti cinute 'pi ca  BVaky_3,12.7b
cirakùipravyavasthànaü  BVaky_3,9.47c
ciraü kùipram iti j¤àne  BVaky_2.23a
cihnamàtraü tu tàrakàş  BVaky_3,9.44d
cihnànãvàkùarasmçteş  BVaky_1.20b
caitanyabhàge prathamaş  BVaky_3,10.2c
caitanyam iva ya÷ càyam  BVaky_1.41a
caitanyavat sthità loke  BVaky_3,6.18a
caitanyaü sarvajàtiùu  BVaky_1.134d
caiti tadvad atãtatàm  BVaky_3,9.54d
caitram ãdç÷am ity àha  BVaky_3,14.569c
caitra÷abdo bahuvrihàv  BVaky_3,14.211c
caitrasya tatràgamanaü  BVaky_3,14.610a
caitràt ùaùñhã prasajyeta  BVaky_3,14.493c
caitràdi÷ravanaü bhavet  BVaky_3,14.230b
caitràrthe na prayujyate  BVaky_3,14.211b
cobhayo 'nyatra dç÷yate  BVaky_3,14.121b
cchattriõo 'tra nidar÷anam  BVaky_3,14.32b
cchinnagranthiparigrahaş  BVaky_1.147b
chaktyavacchedalakùaõaş  BVaky_2.369b
chattràdyarthe tu vacane  BVaky_3,14.561c
chattriõà càbhisaübandhàc  BVaky_3,12.22c
chattri÷abdàbhidheyatà  BVaky_3,12.22d
chandasyas chandasàü yonim  BVaky_1.17c
chandobhya eva prathamam  BVaky_1.124c
chandomayãbhir màtràbhir  BVaky_1.125c
chabda eva nibandhanam  BVaky_2.437d
chabdayor gauõamukhyayoş  BVaky_2.257b
chabdàt tac ca na bhidyate  BVaky_3,2.11d
chabdàn astãti manyate  BVaky_1.87b
chabdànàü pratipàdane  BVaky_3,14.341b
chabdàrthàn iti manyate  BVaky_2.121d
chabde jàtir avasthità  BVaky_3,1.8b
chabdeùv avikçteùv api  BVaky_2.106b
chabdo 'rthasyàbhidhàyakaş  BVaky_2.360d
chàgàdãnàü na jàtayaş  BVaky_3,1.78d
chàpekùà tadviùayatà  BVaky_3,14.607a
chàyàtapatamaş÷abda-  BVaky_1.113c
chàyàdipariõàmai÷ ca  BVaky_3,9.45c
chàyàbhàbhyàü nagàdãnàm  BVaky_3,6.12a
chàyàyà÷ calanaü yathà  BVaky_3,7.111b
chàlãmü tàn iti dç÷yate  BVaky_3,14.392b
chàstràc ca vacane sati  BVaky_3,14.333b
chàstre 'ïgatvena gçhyate  BVaky_3,14.104d
chàstre liïgasya dar÷anàt  BVaky_2.381b
chittvà granthãn pravartate  BVaky_1.147d
chinnagrathitakalpatvàt  BVaky_2.249c
chedyaü prati vyàpriyate  BVaky_3,7.31c
che÷abhàvaş pratãyate  BVaky_3,1.69d
chyàme bhedo vyavasthitaş  BVaky_3,14.371d
chrutiråpaiş pçthagvidhaiş  BVaky_1.118b
chvetatvena prakà÷ate  BVaky_3,8.3b
janayaty ekasàdhanam  BVaky_2.300d
janayitvà kriyà kà cit  BVaky_2.197a
jantvàdayaş kulàyàdi-  BVaky_2.149c
janmanà tu virodhitvàn  BVaky_3,3.46c
janmanà yat prakà÷yate  BVaky_3,7.49b
janmanà÷àv abhede 'pi  BVaky_3,7.111c
janmanà÷au tathàparaiş  BVaky_3,8.26b
janmàdayo vikàràş ùaó  BVaky_1.3c
janmàbhivyaktiniyamàş  BVaky_3,9.10a
janmaivà÷ritasàråpyaü  BVaky_3,8.27c
janyanta iva ÷abdànàm  BVaky_3,14.571c
janyante sahacàribhiş  BVaky_3,14.473b
janyamànasya karmaõaş  BVaky_3,7.7b
japaü÷ caïkramaõaü kuru  BVaky_2.452b
jaràkhyà kàla÷aktir yà  BVaky_3,9.24a
jalayantrabhramàve÷a-  BVaky_3,9.14a
jalopalabdhyanuguõàd  BVaky_3,13.8c
jahatsvàrthavikalpe ca  BVaky_2.228a
jahàti jàtiü dravyaü và  BVaky_3,14.496a
jahàti sahavçttà÷ ca  BVaky_3,9.29a
jàtayo na tathà guõàş  BVaky_3,1.79b
jàtayo yàş prayojikàş  BVaky_3,9.19b
jàtàv ekena cet kriyà  BVaky_3,1.62b
jàtikàryàya kalpate  BVaky_3,1.8d
jàtidravyàbhidhàyinoş  BVaky_3,14.358b
jàtidharmopacaryate  BVaky_3,14.347b
jàtiparyàyavàcitvam  BVaky_3,1.92c
jàtipratyàyità vyaktiş  BVaky_1.70c
jàtiprayuktà tasyàü tu  BVaky_3,9.17a
jàtiprayoge jàtyà cet  BVaky_3,14.157a
jàtibhàgà÷rayà prakhyà  BVaky_3,14.404a
jàtibhede 'pi pàkena  BVaky_3,14.443c
jàtim anye kriyàm àhur  BVaky_3,8.21a
jàtimàtravyapekùàyàm  BVaky_3,14.365a
jàtimàtre vivakùite  BVaky_3,14.369b
jàtir à÷rãyate yadà  BVaky_3,14.355b
jàtir ity atra laukikam  BVaky_3,14.321b
jàtir ity ucyate tasyàü  BVaky_3,1.33c
jàtir utsçùñasaükhyà tu  BVaky_3,14.349c
jàtir evàbhidhãyate  BVaky_3,1.29d
jàtir na parikalpyate  BVaky_3,13.10d
jàtir và dravyam eva và  BVaky_3,1.2b
jàtivat tena gamyate  BVaky_3,1.66d
jàtivat samavasthitàş  BVaky_3,7.35d
jàtivat samudàye 'pi  BVaky_2.43c
jàti÷abdatvam ucyate  BVaky_3,14.488d
jàti÷abde 'nuvarõitam  BVaky_3,14.359d
jàti÷abdaika÷eùe sà  BVaky_3,1.9a
jàti÷abdo 'ntareõàpi  BVaky_2.273a
jàti÷abdo 'valambate  BVaky_2.122d
jàti÷ cet strãtvam evàsau  BVaky_3,14.179a
jàtisaükhyàsamàhàra-  BVaky_3,14.223c
jàtisaükhyàsamàhàrair  BVaky_3,14.181a
jàtisaübandhabhedàc ca  BVaky_3,14.12c
jàtis tatràpi sàdhanam  BVaky_3,1.27b
jàtis tu pratipadyate  BVaky_1.69d
jàtiü yatra prayujyate  BVaky_2.273b
jàtiş ÷aktyupalakùaõam  BVaky_3,1.3b
jàtiş saüghàtavartinã  BVaky_2.1b
jàtiş sà ÷abdajàtitvam  BVaky_3,1.10c
jàtiş saiva kriyà smçtà  BVaky_3,8.22b
jàtiş sphoña iti smçtà  BVaky_1.96b
jàtiş syàt sarvajàtiùu  BVaky_3,1.14b
jàtãnàü kai÷cid iùyate  BVaky_3,1.45b
jàtãnàü ca guõànàü ca  BVaky_3,1.78a
jàtãnàü jàtir iùyate  BVaky_3,1.9b
jàtãnàü vyaktir iùyate  BVaky_1.98d
jàte tad api dç÷yate  BVaky_3,3.33d
jàter anyad vi÷eùaõam  BVaky_3,14.158b
jàter abhede bhede và  BVaky_3,14.401a
jàter à÷ritasaükhyàyàş  BVaky_3,1.81a
jàter eva padàrthatvaü  BVaky_3,14.353c
jàter dravyaü tathocyate  BVaky_3,14.340d
jàter yà càvi÷iùñatà  BVaky_3,14.367b
jàter và parikalpane  BVaky_2.56b
jàter và lakùaõàya syàt  BVaky_2.309c
jàte÷ càbhyupagamyate  BVaky_3,14.347d
jàtes tat pratipadyate  BVaky_3,14.157d
jàteş kàryàõi saüsçùñà  BVaky_1.69c
jàteş pratyàyake ÷abde  BVaky_2.122a
jàtau dvivacanàbhàvàt  BVaky_3,14.108a
jàtau padàrthe jàtir và  BVaky_3,1.12a
jàtau pårvaü pravçttànàü  BVaky_3,14.346a
jàtau vçtto yadà dravye  BVaky_3,14.353a
jàtyantaranivçttaye  BVaky_3,14.479b
jàtyantaravad anyasya  BVaky_2.176c
jàtyantaraü na gor eva  BVaky_3,14.299c
jàtyanvayaprasiddhàsu  BVaky_2.150c
jàtyabhedàt sa evàyam  BVaky_3,14.392c
jàtyavasthàparicchede  BVaky_3,1.49a
jàtyàkhyàyàü na vidyate  BVaky_3,14.109d
jàtyàdivad avasthitam  BVaky_3,13.28b
jàtyà bhinnàü tataş sattàü  BVaky_3,14.263c
jàtyutpalàdigandhàdau  BVaky_3,1.47a
jàyate pratyayo 'rthebhyas  BVaky_3,3.53c
jàyate 'rthasya vàcakaş  BVaky_1.45b
jàyate hi tataş pràõo  BVaky_1.162c
jàyante ca virodhinaş  BVaky_3,9.24d
jàyamànàn na janrnànyad  BVaky_3,8.28a
jàyamàneva gamyate  BVaky_3,8.22d
jàyamàno 'bhidhãyate  BVaky_3,7.118d
jitvarãvad upàcaret  BVaky_2.179b
jãvatis tu kriyàntaram  BVaky_3,14.71d
jãvatau pràõakarmakaş  BVaky_3,14.71b
jãvatau pràõakarmavat  BVaky_3,14.457d
jãvikàdiùu bhidyate  BVaky_3,12.3b
jãvitasyàvadhàraõe  BVaky_3,6.11d
j¤àtasyànyasya vastunaş  BVaky_3,1.107d
j¤ànabhedàya kalpate  BVaky_3,1.30d
j¤ànaråpaü na gçhyate  BVaky_3,1.110b
j¤àna÷aktiş samarthà syàj  BVaky_3,1.107c
j¤àna÷abdàrthaviùayà  BVaky_3,1.103a
j¤ànasya ca viparyaye  BVaky_3,3.59b
j¤ànasya nirupà÷rayà  BVaky_3,3.56b
j¤ànaü j¤eyavyapà÷rayam  BVaky_1.88d
j¤ànaü tv asmad vi÷iùñànàü  BVaky_3,1.46a
j¤ànaü praty abhilàpaü ca  BVaky_3,3.55c
j¤ànaü prayoktur bàhyo 'rthaş  BVaky_3,3.1a
j¤ànàkàras tathànyena  BVaky_3,1.106c
j¤ànàdyekatvadar÷anam  BVaky_3,1.103d
j¤ànànàm upakàrakam  BVaky_3,1.105b
j¤ànànugata÷aktiü và  BVaky_3,9.58a
j¤àne 'tyantam asaübhavaş  BVaky_3,2.9b
j¤ànenaivànusaühçtiş  BVaky_3,9.78b
j¤àne råpasya saükràntir  BVaky_3,9.78a
j¤àne và saü÷ayaş kvacit  BVaky_3,3.2b
j¤àneùv api yathàrtheùu  BVaky_3,1.104a
j¤àne svàbhàvike nàrthaş  BVaky_1.150a
j¤àpakàrthà tu sà kçtà  BVaky_3,14.548b
j¤àyatàü kàla ity etat  BVaky_2.310c
j¤eyaråpaü ca dç÷yate  BVaky_1.51b
j¤eyastham eva sàmànyaü  BVaky_3,1.105a
j¤eyà bhàgàs tathàpare  BVaky_3,8.9d
j¤eyena na vinà j¤ànaü  BVaky_1.89a
j¤eyo 'rthas tena mãyate  BVaky_3,14.375d
jnànasaüskàrahetavaş  BVaky_1.10d
jyàyastvam abhidhãyate  BVaky_3,14.518b
jye-drà-ghà ity asàdhavaş  BVaky_2.363b
jyotir àntaram àsàdya  BVaky_1.147a
jyotiùàü lokasiddhayà  BVaky_3,9.75b
jyotiş suddhaü vivartate  BVaky_1.18d
jvàlà jvàlàntaràd iva  BVaky_1.109d
ñàbanta eva caitràdau  BVaky_3,14.410a
óayati÷ ca paci÷ caiva  BVaky_3,14.78c
óitthàdiùu gavàdivat  BVaky_2.366d
õatvaü na pratiùidhyate  BVaky_2.387d
õicà saha vikalpate  BVaky_3,12.6b
õijantaniyamas tathà  BVaky_3,7.73d
õijante ca yathà kartà  BVaky_3,7.76a
õyante tàü karmakartari  BVaky_3,7.60b
õyante 'pi pratipadyate  BVaky_3,7.59d
õyante lenàbhidhãyate  BVaky_3,7.63d
õyarthopàdàyità tasmàn  BVaky_3,12.14c
õyarthopàdàyinas tasmàn  BVaky_3,12.13c
õvuly anyasmin na saübhavet  BVaky_3,14.447d
ta à÷raye 'pi vidyanta  BVaky_3,14.154c
takùàdyàkhyà pravartate  BVaky_3,9.32b
tac ca nityam iti smçtam  BVaky_3,2.1d
tac càrthenàpadi÷yate  BVaky_3,14.193d
tacchabdasya sakçc chrutau  BVaky_2.464d
tacchabdena vyapekùaõam  BVaky_2.223b
tacchabdo 'nuprayujyate  BVaky_3,14.218d
taccheùam alukaü viduş  BVaky_2.351d
taj janmety apadi÷yate  BVaky_3,8.29b
tajjàtiş ÷abdajàtiùu  BVaky_3,1.9d
tata eva prakalpete  BVaky_3,6.4c
tata÷ ca tadabhàve 'pi  BVaky_3,3.76c
tatas tatreti na kriyà  BVaky_3,14.221b
tatas tad dvyartham ucyate  BVaky_3,14.36d
tatas tu samavàyàkhyà  BVaky_3,9.18a
tatas te dvandvabhàvinaş  BVaky_3,14.23d
tataş kriyàvatà kartrà  BVaky_3,14.67c
tataş satyaü samãhate  BVaky_2.238d
tato dravyàbhidhàyinà  BVaky_3,14.139b
tato nàsti prayojanam  BVaky_3,14.42d
tato 'nyasya na sidhyataş  BVaky_3,14.246d
tato 'nyasyàpi sàünidhyàt  BVaky_2.298c
tato 'py asya paràü ÷uddhim  BVaky_3,3.56c
tato 'rthajàtiråpeùu  BVaky_3,1.6c
tato vi÷iùñair àdhàrair  BVaky_3,14.256c
tato vyàpàraråpeõa  BVaky_3,8.38c
tatkartà phalabhàg yataş  BVaky_3,12.9d
tat karma na punar bhavet  BVaky_3,7.167b
tat kasmiü÷ cit pratãyate  BVaky_2.305b
tat kàlasya viceùñitam  BVaky_3,9.46d
tat kàlasyaiva ceùñitam  BVaky_3,9.70d
tatkàlaü tat pratãyate  BVaky_3,9.108d
tatkàlaü nànurudhyate  BVaky_3,9.104d
tat kàle 'nyatra ÷iùyate  BVaky_3,9.93d
tatkàle vyavatiùñhate  BVaky_3,9.99d
tat kim ity anuyujyate  BVaky_2.72d
tat kriyàyà vi÷eùakam  BVaky_2.5b
tat kriyeti pratiyate  BVaky_3,8.1d
tat tathaivàvatiùñhate  BVaky_3,9.36d
tat tadà tatra sàdhanam  BVaky_3,7.12d
tat tad utprekùamàõànàü  BVaky_2.490a
tat taddharma prakà÷ate  BVaky_3,7.83d
tat tasyàsaünidhàv api  BVaky_2.308b
tat tilàdau na vidyate  BVaky_3,14.24d
tattvanànàtvayos tasya  BVaky_2.26c
tattvam apracayàtmakam  BVaky_3,9.65d
tattvam eva prakà÷ate  BVaky_3,7.39d
tattvam evàvikalpitam  BVaky_3,2.8b
tattvam evàvicàritam  BVaky_3,2.7d
tattvaü nàdhyavasãyate  BVaky_3,3.9d
tattvàtmakatvàt tenàpi  BVaky_3,2.6c
tattvànyatvaparityàge  BVaky_3,3.71c
tattvànvàkhyànamàtre tu  BVaky_2.451a
tattvàvabodjaş ÷abdànaü  BVaky_1.13c
tattvàsaïgavivakùàyàü  BVaky_3,14.381a
tattve kiü cid avasthitam  BVaky_2.139b
tattve janmàdiråpatvaü  BVaky_3,2.18c
tat tv etasmàd vivakùitam  BVaky_3,1.57d
tattve 'tyantam asaübhavaş  BVaky_3,2.10b
tattvenàha tathà jàti-  BVaky_3,14.348c
tattve và vyatireke và  BVaky_3,7.38a
tattve virodho nànàtva  BVaky_3,3.71a
tatpàtrair iva saüvçttam  BVaky_1.127b
tat purastàd viparyaye  BVaky_3,6.8d
tat pçthaktvàn na bhidyate  BVaky_3,7.40d
tatprakarùo 'bhidhãyate  BVaky_3,5.2d
tat prakçtyantaraü viduş  BVaky_2.177b
tat praj¤o na vikalpayet  BVaky_2.142d
tatpratyayavidhau såtre  BVaky_3,14.434c
tatpratyayànukàreõa  BVaky_3,14.570c
tatpratyàyanasaübhavaş  BVaky_2.358d
tatprade÷avibhàgà÷ ca  BVaky_3,3.14c
tat pradhànaü phalaü teùàü  BVaky_3,12.18c
tatpravçttim ivànveti  BVaky_1.50c
tatpravçtter nibandhanam  BVaky_3,7.37d
tat pràpyam iti kathyate  BVaky_3,7.51d
tatra kàrakayogàyà  BVaky_3,8.44a
tatra kriyàpadàny eva  BVaky_2.114a
tatra càpy upapadyate  BVaky_3,9.87d
tatra citrãkçte 'nyasminn  BVaky_3,14.615c
tatra jàtipadàrthatvaü  BVaky_3,14.349a
tatra tatra niyamyate  BVaky_2.199d
tatra tatra samàpyate  BVaky_3,8.56d
tatra tantreõa saübandhaş  BVaky_2.383c
tatra dçùño viparyayaş  BVaky_2.306d
tatra dravyaguõàbhàve  BVaky_3,1.76a
tatra dravyaguõau tadà  BVaky_3,1.77d
tatra nàma pravartate  BVaky_2.48b
tatra nàsti prayojanam  BVaky_3,14.369d
tatra naivàsti saübhavaş  BVaky_3,14.430d
tatra prayogo 'niyato  BVaky_3,14.147a
tatra bhedena jàyate  BVaky_3,14.404d
tatra bhedo na hãyate  BVaky_3,14.120d
tatra mukhyaş prayujyate  BVaky_2.285d
tatra mukhyo 'pi dç÷yate  BVaky_2.279d
tatra yan mukhyam ekeùàü  BVaky_1.75c
tatra yam prati sàdhyatvam  BVaky_3,8.50a
tatra råpaü yad adhyastaü  BVaky_3,9.108c
tatra vastugato bhedo  BVaky_3,3.77c
tatra và råóhasaübandhaü  BVaky_3,14.482c
tatra ùaùñhã pratipadaü  BVaky_2.198a
tatra sattànupàdànàt  BVaky_3,14.253c
tatra saükrànta÷aktayaş  BVaky_3,9.39d
tatra sàdhanavçttir yaş  BVaky_2.336a
tatra sàdhur bhaviùyati  BVaky_3,9.96d
tatra syàt parikalpanà  BVaky_3,7.121b
tatra syàl liïgasaükhyayoş  BVaky_3,14.168d
tatra svàbhàvikaü liïgaü  BVaky_3,14.197a
tatra svàrthopasarjanaş  BVaky_2.282b
tatràcaùñe yathàrthatàm  BVaky_2.349d
tatràtulyavibhaktitvaü  BVaky_3,14.477c
tatràtyantam asaübhavi  BVaky_3,14.439d
tatrànumànàd dvividhàt  BVaky_2.189c
tatràntaraïgasaüskàro  BVaky_2.284c
tatrànyasya nivçttyarthe  BVaky_3,14.480c
tatrànyeùàm adar÷anam  BVaky_2.67d
tatrànyeùàü viparyayaş  BVaky_1.75d
tatrànyaivàbhidhãyate  BVaky_3,14.624d
tatrànyaivopajàyate  BVaky_3,14.100b
tatràpi ca pravçtti÷ ca  BVaky_2.324c
tatràpi naiva sàvasthà  BVaky_3,3.22c
tatràpi pratijànate  BVaky_3,14.403d
