Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
tat tv etasmÃd vivak«itam  BVaky_3,1.57d
tattve 'tyantam asaæbhava÷  BVaky_3,2.10b
tattvenÃha tathÃ jÃti-  BVaky_3,14.348c
tattve vÃ vyatireke vÃ  BVaky_3,7.38a
tattve virodho nÃnÃtva  BVaky_3,3.71a
tatpÃtrair iva saæv­ttam  BVaky_1.127b
tat purastÃd viparyaye  BVaky_3,6.8d
tat p­thaktvÃn na bhidyate  BVaky_3,7.40d
tatprakar«o 'bhidhÅyate  BVaky_3,5.2d
tat prak­tyantaraæ vidu÷  BVaky_2.177b
tat praj¤o na vikalpayet  BVaky_2.142d
tatpratyayavidhau sÆtre  BVaky_3,14.434c
tatpratyayÃnukÃreïa  BVaky_3,14.570c
tatpratyÃyanasaæbhava÷  BVaky_2.358d
tatpradeÓavibhÃgÃÓ ca  BVaky_3,3.14c
tat pradhÃnaæ phalaæ te«Ãæ  BVaky_3,12.18c
tatprav­ttim ivÃnveti  BVaky_1.50c
tatprav­tter nibandhanam  BVaky_3,7.37d
tat prÃpyam iti kathyate  BVaky_3,7.51d
tatra kÃrakayogÃyÃ  BVaky_3,8.44a
tatra kriyÃpadÃny eva  BVaky_2.114a
tatra cÃpy upapadyate  BVaky_3,9.87d
tatra citrÅk­te 'nyasminn  BVaky_3,14.615c
tatra jÃtipadÃrthatvaæ  BVaky_3,14.349a
tatra tatra niyamyate  BVaky_2.199d
tatra tatra samÃpyate  BVaky_3,8.56d
tatra tantreïa saæbandha÷  BVaky_2.383c
tatra d­«Âo viparyaya÷  BVaky_2.306d
tatra dravyaguïÃbhÃve  BVaky_3,1.76a
tatra dravyaguïau tadÃ  BVaky_3,1.77d
tatra nÃma pravartate  BVaky_2.48b
tatra nÃsti prayojanam  BVaky_3,14.369d
tatra naivÃsti saæbhava÷  BVaky_3,14.430d
tatra prayogo 'niyato  BVaky_3,14.147a
tatra bhedena jÃyate  BVaky_3,14.404d
tatra bhedo na hÅyate  BVaky_3,14.120d
tatra mukhya÷ prayujyate  BVaky_2.285d
tatra mukhyo 'pi d­Óyate  BVaky_2.279d
tatra yan mukhyam eke«Ãæ  BVaky_1.75c
tatra yam prati sÃdhyatvam  BVaky_3,8.50a
tatra rÆpaæ yad adhyastaæ  BVaky_3,9.108c
tatra vastugato bhedo  BVaky_3,3.77c
tatra vÃ rÆ¬hasaæbandhaæ  BVaky_3,14.482c
tatra «a«ÂhÅ pratipadaæ  BVaky_2.198a
tatra sattÃnupÃdÃnÃt  BVaky_3,14.253c
tatra saækrÃntaÓaktaya÷  BVaky_3,9.39d
tatra sÃdhanav­ttir ya÷  BVaky_2.336a
tatra sÃdhur bhavi«yati  BVaky_3,9.96d
tatra syÃt parikalpanÃ  BVaky_3,7.121b
tatra syÃl liÇgasaækhyayo÷  BVaky_3,14.168d
tatra svÃbhÃvikaæ liÇgaæ  BVaky_3,14.197a
tatra svÃrthopasarjana÷  BVaky_2.282b
tatrÃca«Âe yathÃrthatÃm  BVaky_2.349d
tatrÃtulyavibhaktitvaæ  BVaky_3,14.477c
tatrÃtyantam asaæbhavi  BVaky_3,14.439d
tatrÃnumÃnÃd dvividhÃt  BVaky_2.189c
tatrÃntaraÇgasaæskÃro  BVaky_2.284c
tatrÃnyasya niv­ttyarthe  BVaky_3,14.480c
tatrÃnye«Ãm adarÓanam  BVaky_2.67d
tatrÃnye«Ãæ viparyaya÷  BVaky_1.75d
tatrÃnyaivÃbhidhÅyate  BVaky_3,14.624d
tatrÃnyaivopajÃyate  BVaky_3,14.100b
tatrÃpi ca prav­ttiÓ ca  BVaky_2.324c
tatrÃpi naiva sÃvasthÃ  BVaky_3,3.22c
tatrÃpi pratijÃnate  BVaky_3,14.403d
tatrÃpi lak«aïÃrthatvÃd  BVaky_2.392c
tatrÃbhidhÅyamÃna÷ san  BVaky_3,7.157c
tatrÃbhinnavyapek«ÃyÃm  BVaky_3,14.395a
tatrÃbhinnÃ pravartate  BVaky_3,14.404b
tatrÃmnÃtÃ mahar«ibhi÷  BVaky_1.23b
tatrÃrthavattvÃt prathamÃ  BVaky_1.68a
tatrÃrthe na prayujyate  BVaky_3,14.585b
tatrÃvayavav­ttitvÃd  BVaky_3,9.106c
tatrÃsati na¤o v­tter  BVaky_3,14.258a
tatrÃsÃdhu÷ prasajyate  BVaky_3,14.132d
tatrÃsau ÓabdasaæskÃra÷  BVaky_3,13.6c
tatrÃhur upasarjanam  BVaky_3,14.96d
tatrepsitatamaæ karma  BVaky_3,7.45c
tatreyaæ syÃt vicÃraïÃ  BVaky_3,3.76b
tatre«iïaiva nirbhoga÷  BVaky_3,7.84c
tatraikavacanaæ bhavet  BVaky_3,14.318d
tatraikavacanÃnto vÃ  BVaky_2.472a
tatraikasmin kriyÃÓabda÷  BVaky_3,8.10c
tatraiva matub i«yate  BVaky_3,14.27b
tatraivam abhidhÅyate  BVaky_3,14.566d
tatraiva vyatiricyate  BVaky_3,14.6d
tatraiva samavasthitam  BVaky_3,14.147d
tatronme«anime«ÃbhyÃæ  BVaky_3,14.617a
tatropamÃnetarayo÷  BVaky_3,14.422c
tat sattvam iti kathyate  BVaky_3,1.35d
tatsamarthÃni cÃcaran  BVaky_3,7.125b
tat sarvaæ ÓrutibhÆtatvÃn  BVaky_2.75c
tat sarvÃbhir vibhaktibhi÷  BVaky_3,14.87d
tat sahenÃbhidhÅyate  BVaky_3,14.623d
tatsaæbandhÃt tu tadvatÃm  BVaky_2.260d
tatsaæbandhe na bhidyate  BVaky_3,9.71b
tat sÃdhanÃntarÃbhÃvÃt  BVaky_3,9.110c
tatsiddhaye kriyÃyuktam  BVaky_3,7.71c
tat sÆtreïopadiÓyate  BVaky_3,9.98d
tat syÃd eva prakalpanam  BVaky_3,1.62d
tat svadharmeïa g­hyate  BVaky_3,14.144d
tat svair avayavai÷ kva cit  BVaky_3,14.114b
tathÃ kartrÃ niyukte«u  BVaky_3,7.23a
tathÃ kaiÓ cit prakalpitau  BVaky_3,7.111d
tathÃ kriyÃgatair dharmair  BVaky_3,14.532c
tathÃ gargatarÃ iti  BVaky_3,14.124b
tathÃ ca buddhivi«ayÃd  BVaky_3,3.32c
tathÃ ca yuktavadbhÃve  BVaky_3,14.319c
tathÃ cÃk­tir i«yate  BVaky_3,14.328d
tathÃ cÃvyapadeÓyatvÃd  BVaky_3,14.310c
tathÃ jÃtyutpalÃdÅnÃæ  BVaky_2.157a
tathÃ tattvena g­hyate  BVaky_3,1.101d
tathÃ tad avasÅyate  BVaky_2.296d
tathÃ tiÇantaæ tatrÃhus  BVaky_2.5c
tathÃ tiÇantaæ tatrÃhus  BVaky_2.6c
tathÃtmarÆpagrahaïÃt  BVaky_3,1.31a
tathÃdeÓau vyavasthitau  BVaky_3,14.124d
tathÃ dravyair abhivyaktÃ  BVaky_3,1.29c
tathÃ dvandvapadÃrthasya  BVaky_2.224c
tathÃ dvandvapade«v api  BVaky_3,14.31d
tathÃ dvirvacane 'cÅti  BVaky_2.480a
tathÃ dhÃtÆpasargayo÷  BVaky_2.186b
tathÃnyatvam udÃh­tam  BVaky_3,14.394d
tathÃnyathÃ sarvathÃ ca  BVaky_3,3.22a
tathÃnyathÃ sarvathÃ cety  BVaky_3,14.502c
tathÃnyad api d­ÓyatÃm  BVaky_2.184d
tathÃnyÃdhigamÃpek«am  BVaky_3,14.407c
tathÃnyÃn pratipadyate  BVaky_2.394d
tathÃnye k«atriyÃdaya÷  BVaky_3,14.298d
tathÃnye«v arthavastu«u  BVaky_2.415d
tathÃnyo 'rtho 'bhidhÅyate  BVaky_3,14.301d
tathÃ padÃnÃæ sarve«Ãæ  BVaky_2.424a
tathÃ pikÃdiyogena  BVaky_2.92a
tathÃpi tu viÓe«aïe  BVaky_3,9.96b
tathÃ pratik­ti«v api  BVaky_3,14.593d
tathÃ phalaviÓe«eïa  BVaky_3,12.10c
tathÃbhÃvam upÃÓritya  BVaky_3,3.60c
tathÃ bhÃvo 'py asaæs­«Âo  BVaky_3,11.8c
tathÃbhiniviÓau karma  BVaky_3,7.86a
tathÃbhisaæhita÷ Óabdo  BVaky_2.404c
tathÃbhÆta÷ kathaæ bhatvet  BVaky_3,14.222d
tathÃbhÆtÃ kriyÃ yÃ hi  BVaky_3,12.9c
tathÃbhÆte tathÃbhÃvo  BVaky_3,14.273c
tathÃbhÆte«u karmasu  BVaky_2.379b
tathÃbhÆte«u vartate  BVaky_3,2.6b
tathÃbhÆtaiva sÃ kriyÃ  BVaky_2.182d
tathÃbhÆto 'nu«ajyate  BVaky_3,14.288b
tathÃbhÆto 'padiÓyate  BVaky_3,14.401d
tathÃbhÆto vivak«ita÷  BVaky_3,3.36d
tathÃbhedasya darÓanÃt  BVaky_3,14.182b
tathÃrthÃntaravartinÃm  BVaky_3,14.33b
tathÃrthe«v anuÓÃsanam  BVaky_3,10.9d
tathÃrdhapippalÅty atra  BVaky_3,14.479a
tathÃvayavinaæ yuktam  BVaky_2.236c
tathÃ vÃkyaæ vyapek«ÃyÃæ  BVaky_3,14.46c
tathÃ vÃkyÃntarÃbhÃve  BVaky_2.112c
tathÃ vikÃrarÆpÃïÃæ  BVaky_3,2.10a
tathÃ vidyÃpy anÃkhyeyÃ  BVaky_2.234c
tathÃvidhe 'pi bÃhye 'rthe  BVaky_3,14.572a
tathÃ vine«iputrÃbhyÃæ  BVaky_3,14.72a
tathÃvivak«Ã bhedÃnÃæ  BVaky_2.69c
tathÃ viÓe«aïaæ sarva  BVaky_3,14.478c
tathÃ vi«ayabhedena  BVaky_3,8.52c
tathÃvyayak­tÃm api  BVaky_3,8.53b
tathÃ ÓabdÃntaraÓruti÷  BVaky_1.90d
tathÃ ÓabdÃrthasaæbandhÃc  BVaky_3,1.8a
tathÃ Óabdo 'pi kasmiæÓ cit  BVaky_2.301a
tathÃ Óabdo 'pi saæbandhÅ  BVaky_2.302c
tathÃÓruti÷ prasajyeta  BVaky_3,14.228c
tathÃ sa eva goÓabdo  BVaky_2.252c
tathÃsattÃbhidhÃnÃya  BVaky_3,14.262c
tathÃsatte÷ pratÅyate  BVaky_3,14.296b
tathÃ saty avivak«ite  BVaky_3,14.104b
tathÃ sarve«u jÃtaya÷  BVaky_3,1.104b
tathÃ saæbandhisaæbandha-  BVaky_3,1.24c
tathÃ saæbodhane sarvÃæ  BVaky_3,10.4c
tathÃ so 'rtha÷ pratÅyate  BVaky_2.63d
tathÃsyÃtmÃ prahÅyate  BVaky_3,9.26d
tathÃ svarÆpaæ ÓabdÃnÃæ  BVaky_2.256a
tathÃ hi grahaïaæ dvayo÷  BVaky_2.374d
tathÃ hi sati saurabhye  BVaky_3,14.372a
tathÃ hi saægrÃmayate÷  BVaky_2.181a
tathÃhu÷ prak­tiæ parÃm  BVaky_3,2.15d
tathÃ hy anuprayogasya  BVaky_3,12.15a
tathaikam eva karmÃpi  BVaky_3,7.78c
tathaikÃgÃrikÃdaya÷  BVaky_2.171b
tathaikena prasiddhÃyÃæ  BVaky_3,1.64c
tathaiva janmarÆpatvaæ  BVaky_3,7.107c
tathaiva pratipattÌïÃæ  BVaky_1.94c
tathaiva bhÃge sÃd­Óyaæ  BVaky_2.94a
tathaiva mÆrtinÃstitvam  BVaky_3,7.112c
tathaiva rÆ¬hatÃm eti  BVaky_1.141c
tathaiva rÆpaÓaktibhyÃm  BVaky_2.277a
tathaiva loke vidyÃnÃm  BVaky_1.15c
tathaiva ÓabdÃd arthasya  BVaky_2.134c
tathaiva sarvaÓabdÃnÃm  BVaky_1.56c
tathaiva sphoÂanÃdayo÷  BVaky_1.100d
tathaiva svÃrthikÃ÷ ke cit  BVaky_2.191a
tathaivÃnupakÃrakam  BVaky_2.217d
tathaivÃbhyupagamyate  BVaky_3,14.349b
tathaivÃrtho na vidyate  BVaky_2.211d
tathaivÃvyapadeÓyebhyo  BVaky_3,13.9a
tathaivÃsaænidhÃne 'pi  BVaky_3,7.98c
tathaivÃsau pravartate  BVaky_3,7.80d
tathaivaikasya vÃkyasya  BVaky_2.9a
tathaivoddeÓajÃ mati÷  BVaky_3,3.53d
tathopÃÓrayavÃn artha÷  BVaky_3,3.58c
tadaÇgatvena g­hyate  BVaky_3,9.84d
tad atyantaæ tathÃ bhavet  BVaky_3,7.166b
tadadhÅnaprav­ttitvÃt  BVaky_3,7.101c
tadadhyÃropakalpanÃ  BVaky_3,1.6d
tadantarÃlad­«ÂÃ vÃ  BVaky_3,9.84a
tadantarÃle bhedÃnÃm  BVaky_3,1.39c
tad anyad abhidhÅyate  BVaky_3,14.350d
tad anyad eva pÆrve«Ãæ  BVaky_3,8.31c
tad apy ÃgamapÆrvakam  BVaky_1.30d
tad apy ekaæ samÃptÃrthaæ  BVaky_2.327c
tadabhÃvo 'nugamyate  BVaky_3,3.60b
tad abhÆd asti neti vÃ  BVaky_2.429b
tad arÆpaæ nirÆpyate  BVaky_2.426d
tadartham abhidhÅyate  BVaky_3,14.118d
tadarthaÓ ced avayavo  BVaky_3,9.95a
tadarthaæ yad vice«Âitam  BVaky_3,8.16b
tadarthaæ vacanaæ puna÷  BVaky_3,14.557d
tadartha÷ ko vidhÅyate  BVaky_3,14.2d
tadarthÃd eva jÃyate  BVaky_1.68d
tad arthÃntarasaæsargÃd  BVaky_2.44c
tadarthÃpagame tasya  BVaky_2.160c
tadarthÃ prak­tir yathÃ  BVaky_3,12.6d
tadarthenÃnugamyate  BVaky_3,8.19d
tadarthe 'pi na ti«Âhatau  BVaky_3,14.277d
tadarthe pratipÃdite  BVaky_2.72b
tadarham iti nÃrabdhaæ  BVaky_3,14.562a
tadarham iti paÂhyate  BVaky_3,14.578d
tad avÃcyatayÃ yadÃ  BVaky_3,3.20b
tad astÅty anugamyate  BVaky_3,8.12b
tadÃ karma kriyÃyogÃt  BVaky_3,7.132c
tadÃk«epo na vidyate  BVaky_2.417b
tadÃ jÃtipadÃrthatÃ  BVaky_3,14.355d
tadÃ tailÃdivat te«Ãæ  BVaky_3,14.488c
tadÃtmany avibhakte ca  BVaky_3,14.94a
tadÃtmeva ca tat tattvam  BVaky_3,2.10c
tadÃtmeva ca tat siddham  BVaky_3,2.9c
tadÃtmevÃvadhÃryate  BVaky_3,3.9b
tadÃ dravyapadÃrthatÃ  BVaky_3,14.356d
tadÃ dravyÃbhidhÃyitÃ  BVaky_3,14.521d
tadÃ dvivacanÃneka-  BVaky_3,14.178c
tadÃdhikaraïÃbhedÃt  BVaky_3,14.429c
tadÃpÃya÷ pratÅyate  BVaky_3,7.4d
tadÃ bÃhyÃrthabhedena  BVaky_3,14.596c
tadÃ bhedo na vidyate  BVaky_3,14.332d
tadÃvi«Âe tato dravye  BVaky_3,14.176c
tadÃÓrayatvÃd bhede 'pi  BVaky_3,7.97c
tadÃÓrayanibandhana÷  BVaky_3,11.18d
tadÃsattvam pratÅyate  BVaky_3,14.306d
tadÃ sÃdhutvam ucyate  BVaky_3,14.227d
tadÃsÃv upagamyate  BVaky_3,1.99d
tadÃ so 'mÓa÷ pratÅyate  BVaky_3,14.105b
tad Ãhur abhidhÃyakam  BVaky_2.41d
tadutkrÃntau visaæj¤o 'yaæ  BVaky_1.135c
tadupavya¤janÃ jÃtir  BVaky_3,13.1c
tad upeyÃt kathaæ cana  BVaky_2.460d
tad ekatvaæ vivak«itam  BVaky_3,1.56b
tad ekatvÃn na bhidyate  BVaky_3,7.40b
tad ekam api caikatvaæ  BVaky_3,11.29a
tad ekaæ tat p­thak p­thak  BVaky_3,2.13b
tad ekaæ sad viÓi«yate  BVaky_3,14.179d
tad ekaikam avasthitam  BVaky_3,14.596b
tad eva ca nidarÓanam  BVaky_3,14.87b
tad eva siddhyasiddhibhyÃæ  BVaky_3,14.398c
tad evaæ na prayujyate  BVaky_3,14.613d
tad evaæ parikalpyate  BVaky_3,14.613b
tad evety avasÅyate  BVaky_3,14.390b
tad evaikam avasthitam  BVaky_3,7.42b
tad evaikaæ prakÃÓate  BVaky_2.106d
tadgatir nÃntarÅyakÃ  BVaky_2.123d
tadgandhapratipattaye  BVaky_1.81d
tad d­Óyaæ darÓanaæ dra«ÂÃ  BVaky_3,2.14c
tad dvÃram apavargasya  BVaky_1.14a
taddharmaïos tu tÃcchabdyaæ  BVaky_3,3.6a
taddharmatvavivak«ÃyÃæ  BVaky_3,14.563c
taddharmatvaæ tato dvandve  BVaky_3,14.194c
taddharmatvÃd abhedÃt tu  BVaky_3,14.128c
taddharmÃ pratipadyate  BVaky_3,9.54b
taddharmÃ prÃdir ucyate  BVaky_2.189d
taddharmÃ yajir ity evaæ  BVaky_3,12.26c
taddharmÃrtha÷ prasajyate  BVaky_3,14.240d
taddharmeïa samÃvi«Âas  BVaky_1.117c
taddharmeïa samÃÓrayÃt  BVaky_3,14.381d
taddharmair na virudhyate  BVaky_3,14.243d
taddharmair vyapadiÓyate  BVaky_3,14.158d
taddharmair vyapadiÓyate  BVaky_3,14.208d
tad dhi jÃtyabhidhÃnÃya  BVaky_3,1.52c
taddhitÃntaæ pracÅyate  BVaky_3,14.596d
taddhitena vinÃ bhavet  BVaky_3,14.85d
taddhito yogabhedena  BVaky_3,14.86a
tad dhi sÃdhÃraïaæ dvayo÷  BVaky_3,14.398b
tad bÃdhake«u vÃkye«u  BVaky_2.348c
tad brahmÃm­tam aÓnute  BVaky_1.144d
tad bhÃvapratyayair loke  BVaky_3,1.47c
tadbhÃvam abhisaæbhÆya  BVaky_1.128c
tadbhÃvÃn nopamÅyate  BVaky_3,14.443b
tadbhÃvÃbhyuccaye sati  BVaky_3,14.89b
tadbhÃvenopalak«yate  BVaky_3,14.351d
tadbhÃvo 'py anugamyate  BVaky_3,3.60d
tadbhÆtasya sak­c chrutau  BVaky_2.460b
tad rasÃdau na vidyate  BVaky_3,14.150d
tadrÆpa iva lak«yate  BVaky_3,11.13b
tadrÆpatvÃt sa hemanta  BVaky_3,14.302c
tadrÆpe 'vayave v­ttau  BVaky_3,14.99c
tadrÆpe vÃpi saækhyeya  BVaky_3,11.24c
tadvac chabdo 'pi buddhistha÷  BVaky_1.47c
tadvac chabdo 'pi sattÃyÃm  BVaky_3,3.41a
tadvatas tu yad ekatvaæ  BVaky_3,11.27c
tadvatÃæ syÃn nimittatÃ  BVaky_3,14.233d
tadvati pratyayÃn Ãhur  BVaky_3,14.234c
tadvaty arthe 'vati«Âhate  BVaky_3,14.496d
tadvad arthasya sÃdhakÃ÷  BVaky_2.295d
tadvad evÃbhidhÅyate  BVaky_2.308d
tadvad evÃÓrayÃntare  BVaky_3,7.1b
tadvanto hi pradhÃnatvÃt  BVaky_3,14.174a
tadvaÓÃd abhini«pannaæ  BVaky_1.133c
tad vÃkyÃntaram evÃhur  BVaky_2.270c
tad vÃcyam aprasiddhatvÃn  BVaky_3,14.276c
tadvÃn artha÷ pratÅyate  BVaky_3,14.452b
tadvÃn vÃpy upamÅyate  BVaky_3,14.440b
tad vÃ ÓabdanibandhanÃm  BVaky_2.127b
tadvidÃæ nÃnumÃnikam  BVaky_1.35d
tadvibhÃgÃvibhÃgÃbhyÃæ  BVaky_1.171a
tad viÓi«Âataraæ vidu÷  BVaky_2.249d
tadviÓe«aïasaænidhau  BVaky_3,14.283b
tad v­tti«u na vidyate  BVaky_3,14.108b
tadv­tte÷ pratyayo bhavet  BVaky_3,14.172d
tad vyÃkaraïaæ Ãgamya  BVaky_1.22c
tadvyÃpÃraviveke 'pi  BVaky_3,7.55a
tantrÃt tathaikaÓabdatve  BVaky_2.103c
tantreïa pratipattÃra÷  BVaky_2.475c
tantreïÃparam i«yate  BVaky_2.96d
tantreïoccÃraïaæ kÃryam  BVaky_2.109c
tantreïoccÃraïÃd ekaæ  BVaky_2.110c
tantreïoccÃraïe te«Ãæ  BVaky_2.108c
tantropÃyÃd alak«aïa÷  BVaky_2.480b
tan nÃsti vidyate tac ca  BVaky_3,2.13a
tan nityaæ ÓabdavÃcyaæ tac  BVaky_3,2.11c
tannibaddhÃ sak­c chruti÷  BVaky_2.466d
tannimittÃ yathÃnyÃpi  BVaky_3,12.8c
tan nirvartyaæ vikÃryaæ ca  BVaky_3,7.49c
tan nepsitatamaæ kila  BVaky_3,7.70d
tanmÃtrÃm avyatikrÃntaæ  BVaky_1.134c
tan mithyeti na¤Ã k­tam  BVaky_2.243b
tapasÃm uttamaæ tapa÷  BVaky_1.11b
tam apabhraæÓam icchanti  BVaky_1.175c
tam aprasiddhaæ manyante  BVaky_2.266c
tam arthaæ pratijÃnate  BVaky_2.329b
tam asatyaæ pracak«ate  BVaky_2.289d
tam asya lokayantrasya  BVaky_3,9.4a
tama÷prakÃÓavat tv ete  BVaky_3,9.52a
tam ÃtmÃnaæ pracak«ate  BVaky_2.441d
tam Ãhur apare Óabdaæ  BVaky_2.30c
tam Ãhur arthaæ tasyaiva  BVaky_2.330c
tam evamlaksanam bhÃvam  BVaky_3,7.34c
tam evÃÓritya liÇgebhyo  BVaky_1.7c
tam evÃsyÃnuvartate  BVaky_3,9.71d
tayÃ kalpitabheda÷ sann  BVaky_3,14.16c
tayÃ kÃrye pravartate  BVaky_1.139b
tayÃ chavidhir i«yate  BVaky_3,14.611d
tayÃ janma virudhyate  BVaky_3,9.51d
tayÃ vibhajyamÃno 'sau  BVaky_3,9.30c
tayÃ hy artho vidhÅyate  BVaky_1.141d
tayaikasyÃpi nÃnÃtvaæ  BVaky_3,14.13c
tayor api ca gho«iïyÃ  BVaky_1.164c
tayor ap­thagÃtmatve  BVaky_2.129a
tayor apy avadhÃraïam  BVaky_2.268d
tayor apy upakÃrÃrthÃ  BVaky_3,3.6c
tayor avasthayor bhedÃd  BVaky_3,14.14c
tayor dvivacanaæ bhavet  BVaky_3,11.17d
tayor nÃnÃtmanor iva  BVaky_3,2.16d
tayor bhinnÃ Órutir bhavet  BVaky_3,14.139d
tayos tu p­thagarthitve  BVaky_3,1.74a
tayos tulye 'pi darÓane  BVaky_2.288d
tayo÷ prav­ttÃv utsargo  BVaky_3,14.589c
tayo÷ Óakyaæ prakalpanam  BVaky_2.167b
tayo÷ ÓrutiviÓe«eïa  BVaky_3,10.1c
tayo÷ sadasatoÓ cÃsÃv  BVaky_3,8.20c
tayo÷ samÃsaprak­ter  BVaky_3,14.614c
tarabÃdir vidhÅyate  BVaky_3,14.3d
tarkaÓ cakÓur apaÓyatÃm  BVaky_1.151b
tarkeïa pravibhajyate  BVaky_1.152d
tarkeïa vyavati«Âhate  BVaky_1.30b
tarko ya÷ puru«ÃÓraya÷  BVaky_1.153b
talavad d­Óyate vyoma  BVaky_2.140a
tal liÇgaæ jÃtisaækhyayo÷  BVaky_3,1.56d
tasÃpy uccÃraïe rÆpam  BVaky_1.66c
tasmÃc chaktivibhÃgena  BVaky_3,3.87a
tasmÃcchabdÃrthayor naivaæ  BVaky_3,3.17c
tasmÃÂ ÂÃbÃdisaæbhava÷  BVaky_3,14.174d
tasmÃt tadarthai÷ kÃryÃïÃæ  BVaky_1.63c
tasmÃt tadÃÓrayaæ liÇgaæ  BVaky_3,14.138c
tasmÃt tad ubhayaæ saha  BVaky_3,7.145d
tasmÃt tÃæs tatra nÃÓrayet  BVaky_2.240d
tasmÃt tulyaæ vyapek«aïam  BVaky_2.353d
tasmÃt te vi«aya÷ kana÷  BVaky_2.293d
tasmÃt tyajann imÃn bhÃvÃn  BVaky_3,6.19c
tasmÃt pratyak«am apy arthaæ  BVaky_2.141a
tasmÃt prayojakÃd anyÃn  BVaky_2.299c
tasmÃt saguïa evÃsau  BVaky_3,1.71c
tasmÃt sati guïatve 'pi  BVaky_3,14.414a
tasmÃt saty api sÃmarthye  BVaky_3,1.94c
tasmÃt sad upalak«yate  BVaky_3,14.196d
tasmÃt sapta vikalpÃ ye  BVaky_3,14.329c
tasmÃt sarvatra nÃÓrayet  BVaky_3,3.28d
tasmÃt sarvam abhÃvo vÃ  BVaky_3,3.63a
tasmÃt saæghÃta evaiko  BVaky_2.220c
tasmÃt saæbhavino 'rthasya  BVaky_2.163a
tasmÃt sÃk«Ãd avÃcakÃ÷  BVaky_1.178d
tasmÃt sÃmÃnyaÓabdatva-  BVaky_3,14.602a
tasmÃt stryanta÷ samasyate  BVaky_3,14.412d
tasmÃd ak­takaæ ÓÃstraæ  BVaky_1.43a
tasmÃd ad­«ÂatattvÃnÃæ  BVaky_2.138a
tasmÃd anupakÃre vÃ  BVaky_3,14.92c
tasmÃd abhinnakÃle«u  BVaky_1.104a
tasmÃd arthavidhÃ÷ sarvÃ÷  BVaky_1.123c
tasmÃd alaukiko vÃkyÃd  BVaky_2.346c
tasmÃd avadhibhedena  BVaky_3,9.111a
tasmÃd avasthite 'py arthe  BVaky_3,12.17a
tasmÃd upanibandhanam  BVaky_2.461b
tasmÃd eva vyavasthita÷  BVaky_3,14.115d
tasmÃd gatyarthakarmatve  BVaky_3,7.133c
tasmÃd dravyÃdaya÷ sarvÃ÷  BVaky_3,1.23a
tasmÃd dvivacanÃÂ ÂÃpaÓ  BVaky_3,14.121a
tasmÃd bhÃ«ye 'py udÃh­tÃ  BVaky_3,14.35b
tasmÃd bhinne«u dharme«u  BVaky_3,3.49a
tasmÃd yat karaïaæ dravyaæ  BVaky_3,7.167a
tasmÃd ya÷ ÓabdasaæskÃra÷  BVaky_1.144a
tasmÃd v­ttir na kasya cit  BVaky_3,14.498d
tasmÃd vrÅhitvam adhikaæ  BVaky_2.66a
tasmÃn nÃtrÃtmanepadam  BVaky_3,12.27d
tasmÃn nÃbhÃvam icchanti  BVaky_3,3.64a
tasmÃn nÃvayave sthita÷  BVaky_3,14.496b
tasmÃn nÃsty ak­tÃrthatÃ  BVaky_3,14.60b
tasmÃn nibadhyate Ói«Âai÷  BVaky_1.29c
tasminn ak­tabuddhÅnÃm  BVaky_2.483c
tasminn anyÃrthavartinau  BVaky_3,14.314b
tasminn abhede bhedÃnÃæ  BVaky_2.97a
tasminn asati bhÃve 'pi  BVaky_3,3.69c
tasmin sati na Ói«yate  BVaky_3,14.107b
tasmiæs tÆccarite bhedÃæs  BVaky_2.394c
tasya kÃraïasÃmarthyÃd  BVaky_1.112a
tasya ca pratibimbakam  BVaky_3,9.40b
tasya cet pratipÃdane  BVaky_3,14.425b
tasya tat syÃt kriyÃntaram  BVaky_2.71d
tasya tasyopamÃne«u  BVaky_1.64c
tasya dravyÃtmano bhavet  BVaky_3,7.167d
tasya na syÃt pratiÓruti÷  BVaky_3,14.216d
