Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
tadrasena rasaü bhàvyaü  Ras_12.199a
tadrasena vimardayet  Ras_12.175d
tadrasena samàyuktaü  Ras_12.178a
tadrasair bãjatailataş  Ras_12.338b
tadrasairmarditaş pàtyaş  Ras_10.55c
tadromakàntaü sphuñitàt  Ras_6.46c
tad vakùyàmy ànupårva÷aş  Ras_11.15d
tadvajraü jàyate khoñaü  Ras_6.113e
tadvajraü jàyate bhasma  Ras_12.341c
tadvajraü tasya deve÷i  Ras_8.12c
tadvàdameti deve÷i  Ras_11.157c
tadvai ekatra bandhayet  Ras_12.85d
tanna jànàmi deve÷a  Ras_10.1c
tanmadhye devadeve÷i  Ras_2.44a
tanmadhye prakùipet priye  Ras_6.82b
tanmadhye sthàpayet såtam  Ras_11.129c
tanmadhye sthàpayedrasam  Ras_11.100d
tanmamàcakùva deve÷i  Ras_1.60c
tanmamàcakùva deve÷i  Ras_2.133c
tanmamàcakùva deve÷i  Ras_4.65c
tanmamàcakùva deve÷i  Ras_5.45a
tanmamàcakùva deve÷i  Ras_6.139c
tanmamàcakùva deve÷i  Ras_7.154c
tanmamàcakùva deve÷i  Ras_8.88c
tanmamàcakùva deve÷i  Ras_9.19c
tanmamàcakùva deve÷i  Ras_10.61c
tanmamàcakùva deve÷i  Ras_11.221c
tanmukhe kùaõikaü jàtaü  Ras_12.291a
tanmukhe dhàrayenmàsaü  Ras_12.274a
tanmålacårõasaüyukto  Ras_12.111a
tanmålarasagandhàbhrair  Ras_12.110a
tanmålaü niùkamàtrakam  Ras_6.62d
tanmålaü såtakaü càmle  Ras_12.139a
tanvã bhaktiparà ÷ive  Ras_2.24b
taptakhallakçtà piùñiş  Ras_11.18a
taptakhalle vimardayet  Ras_11.117d
taptaü nipecayet pãñhe  Ras_6.83c
taptaü samuddhçtaü yantràt  Ras_11.117c
taptodake taptacullyàü  Ras_4.13c
tamuddhçtya rasaü devi  Ras_11.116c
tamupàyaü vada prabho  Ras_2.30d
tameva samajãrõaü tu  Ras_11.195c
tayà saüjãvità daityà  Ras_12.234c
tayaiva devadeve÷i  Ras_2.26c
tayormitreõa mitratà  Ras_11.85d
taruõàdityavarcasam  Ras_12.268d
taruõàdityasaükà÷o  Ras_11.209a
tarpaõànte japaş paraş  Ras_2.86b
tarpayedannapànai÷ca  Ras_2.83a
tale piùñãü ca nikùipet  Ras_4.18d
tallakùaõam ataş ÷çõu  Ras_10.2b
tavàbhåt prasçtaü rajaş  Ras_7.60b
tasmàttu coddhçtaü såtaü  Ras_12.378c
tasmàt sarvaprayatnena  Ras_12.72a
tasmàt saürakùayet piõóaü  Ras_1.11a
tasmàduttarato devi  Ras_12.261c
tasmàd ebhiş samopetair  Ras_10.44a
tasmàdguru÷ca ÷iùya÷ca  Ras_2.27c
tasmàddeyà guõànvitaiş  Ras_1.46d
tasmàdyantrabalaü caikaü  Ras_4.22c
tasmànnigaditaü ÷çõu  Ras_2.37d
tasminnàvartitaü nàgaü  Ras_11.21a
tasmin rasàïku÷ãü devãü  Ras_2.53a
tasmai sarvàtmane namaş  Ras_1.1d
tasya kùãraü tu saügçhya  Ras_12.169a
tasya gandhavivarjitam  Ras_12.188b
tasya cårõaü mahe÷àni  Ras_7.41a
tasya janma jarà vyàdhir  Ras_11.214c
tasya tu kràmaõaü j¤àtvà  Ras_11.217a
tasya tu pravi÷ejjãvo  Ras_12.35c
tasya tailasya madhye tu  Ras_12.60a
tasya tailaü samàdàya  Ras_12.145e
tasya dakùiõataş ÷ailaş  Ras_12.237c
tasya nàmasahasràõi  Ras_10.3a
tasya nàsti priye siddhir  Ras_1.48c
tasya pa¤càïgacårõena  Ras_12.136a
tasya pattràõi sundari  Ras_11.167b
tasya pa÷cimato devi  Ras_12.286c
tasya pàdatale viddhaü  Ras_7.3c
tasya mantraü pravakùyàmi  Ras_12.242a
tasya mantrà÷ca sidhyanti  Ras_1.22c
tasya måtrapurãùaü tu  Ras_11.144c
tasya måtrapurãùeõa  Ras_12.20a
tasya måtrapurãùeõa  Ras_12.265c
tasya måtramalasvedaiş  Ras_12.251a
tasya raktaü tu patitaü  Ras_6.125a
tasya roma tu veùñanam  Ras_12.112d
tasya làbhaş pade pade  Ras_1.56b
tasya siddhirna jàyate  Ras_2.131b
tasya siddhirna saü÷ayaş  Ras_11.213b
tasya siddho rasàyane  Ras_2.26b
tasya sidhyati deve÷i  Ras_2.85c
tasya sidhyati bhåtale  Ras_1.47d
tasya sidhyati såtakaş  Ras_10.11f
tasya hi nirmalà buddhir  Ras_2.27a
tasyà uttarabhàge tu  Ras_12.260c
tasyàgre ca bhavet puùpaü  Ras_12.113a
tasyà bãjàni saügçhya  Ras_12.157a
tasyà måle tu nikùiptaü  Ras_12.109e
tasyàrdhena tu dàpayet  Ras_11.99d
tasyàsanne varàrohe  Ras_12.3c
tasyàstailaü tu saügçhya  Ras_12.53c
tasyàü vinyasya måùàyàü  Ras_4.48a
tasyàş kandarasaü divyaü  Ras_12.153a
tasyàş kùetraü yadà gacchet  Ras_12.208a
tasyàş pa¤càïgamàdàya  Ras_12.125a
tasyàş pa¤càïgamàdàya  Ras_12.127a
tasyàş pa¤càïgam àdàya  Ras_12.130a
tasyàş puùpaü prajàyate  Ras_12.151b
tasyàş samparkamàtreõa  Ras_12.28c
tasyotpattiü pravakùyàmi  Ras_12.289a
tasyotsaïge mahàdevãü  Ras_2.69a
tasyopari ghçtadãpaü  Ras_2.99a
tasyordhve tånmanà bhavet  Ras_2.113b
tasyordhve paramaü satyaü  Ras_2.114a
taü khoñaü dhàrayedvaktre  Ras_12.327c
taü khoñaü dhàrayedvaktre  Ras_12.333c
taü khoñaü dhàrayedvaktre  Ras_12.381c
taü gràsadvàda÷àü÷ena  Ras_11.120e
taü ca vedhe niyojayet  Ras_10.29d
taü tàraü jàrayet såte  Ras_12.14a
taü tu pàtre niyojayet  Ras_3.24b
taü tu hemamayaü kçtvà  Ras_12.147a
taü nàgaü dhamayedevaü  Ras_11.184c
taü raviü tàramadhye tu  Ras_12.10c
taü rasaü devi gàlitam  Ras_10.45d
taü rasaü rasakaü caiva  Ras_12.50:1c
taü vidyàt pàradaü devi  Ras_10.8:1c
taü vidyànmçtasåtakam  Ras_11.200d
taü vinikùipya såtakam  Ras_11.122d
taü ÷ålena vyamardayat  Ras_6.124d
taü såtaü màrayedbhadre  Ras_12.86c
taü svedayet talagataü  Ras_4.7e
tàdç÷e tu rasaj¤àne  Ras_1.31c
tàni dçùñvà tu yatpuõyaü  Ras_1.38c
tàni me vaktumarhasi  Ras_4.1d
tàn vióàn vaktumarhasi  Ras_9.1d
tàpayedbhågataü kumbhaü  Ras_12.146a
tàpayedravitàpena  Ras_11.40a
tàpito badaràïgàraiş  Ras_7.70a
tàpyatàlakavàpena  Ras_8.67a
tàpyam àvartakaü dhàtu-  Ras_7.14a
tàpyasattvanipàtanàt  Ras_11.192d
tàpyasattvena saüyutam  Ras_11.47b
tàpyasaindhavasaüyutam  Ras_8.47d
tàpyasauvarcala÷ilà-  Ras_11.194a
tàpyahiïgulayorvàpi  Ras_8.22a
tàpyaü karpårañaïkaõam  Ras_6.90b
tàpyena và mçtaü hema  Ras_8.47a
tàmbålã nàginã brahmã  Ras_5.25a
tàmbålãvàõapãlukam  Ras_11.25d
tàmbålã såryabhaktà ca  Ras_5.13e
tàmbålena samaü kçtvà  Ras_12.153c
tàmrapattraü ca nirguõóã-  Ras_7.106c
tàmraparõã tathe÷varã  Ras_5.20d
tàmrapàtre tu jàrayet  Ras_11.19d
tàmraràgaş sure÷vari  Ras_8.2b
tàmraü ca dvividhaü proktaü  Ras_7.105a
tàmraü sudhmàtamã÷vari  Ras_8.46b
tàmreõa piùñikàü kçtvà  Ras_10.56a
tàrakarmaõi yojayet  Ras_10.8:1d
tàrakarmaõi ÷asyate  Ras_11.58f
tàrakarmaõi ÷uklaü ca  Ras_6.9c
tàratulyàni caitàni  Ras_12.160c
tàrapa¤cakameva ca  Ras_12.163b
tàrapa¤càü÷ayojitam  Ras_12.46b
tàrapattràõi lepayet  Ras_12.228:2b
tàrapattràõi lepayet  Ras_12.271d
tàrapattràõi vedhayet  Ras_12.226d
tàrabãjamataş ÷çõu  Ras_8.69b
tàrabãjaü sitairbhavet  Ras_8.17b
tàramaùñàü÷ayojitam  Ras_12.49b
tàramàyàti kà¤canam  Ras_12.174d
tàramuttamamiùyate  Ras_7.103d
tàra÷ulvavivarjitam  Ras_7.101b
tàrasya pattralepena  Ras_12.9a
tàrahema samàü÷aü tu  Ras_12.49c
tàrahemni na saü÷ayaş  Ras_6.89b
tàraü kà¤canatàü nayet  Ras_12.162:2d
tàraü cànena màrgeõa  Ras_12.269c
tàraü trivàraü nikùiptaü  Ras_7.104c
tàraü nirvàpayedbudhaş  Ras_12.169b
tàraü bhavati ÷obhanam  Ras_12.227d
tàraü vaïgaü ca saüghçùya  Ras_11.58a
tàraü vedhaü pradàpayet  Ras_12.218d
tàràbhramapi melayet  Ras_8.26b
tàràbhraü devi hemàbhraü  Ras_11.48c
tàràbhraü vaïgatàlakàt  Ras_8.31b
tàràmàtraü suràyudham  Ras_12.346b
tàràriùñamahiü ÷ulbaü  Ras_11.196c
tàràriùñamidaü liptvà  Ras_11.180c
tàràsaü÷odhane hità  Ras_4.42d
tàre tàmre 'pi và devi  Ras_12.38c
tàre tàmre 'pi và devi  Ras_12.40c
tàre tàràva÷eùitaiş  Ras_11.180b
tàre tàro mukhaü bhavet  Ras_11.17b
tàre hemni na saü÷ayaş  Ras_6.112d
tàlakasya hatasya và  Ras_8.21f
tàlakaü gandhakaü kàntaü  Ras_6.90a
tàlakaü gandhapàùàõa-  Ras_7.126a
tàlakaü bhådhare dravet  Ras_7.75f
tàlakaü svedayedbudhaş  Ras_7.74d
tàlakaş pañalaş piõóo  Ras_7.74a
tàlamàkùikavàpataş  Ras_8.72d
tàlahemavara÷ulbasåtakaiş  Ras_12.371a
tàlena meùa÷çïgyà ca  Ras_6.95a
tàvattasya kuto buddhiş  Ras_1.23c
tàvattasya kuto muktiş  Ras_1.28c
tàvattaü mardayet pràj¤o  Ras_11.128c
tàvattu na ca nirvçtiş  Ras_11.3d
tàvadyugasahasràõi  Ras_11.5c
tàsàü buddhirbhaveddevi  Ras_2.32a
tàsàü sarvaü tu mantraikaü  Ras_3.19a
tàü drutiü pàtayetpàtre  Ras_11.171a
tàü nàrãü parivarjayet  Ras_2.15f
tàü måùàü suravandite  Ras_11.173b
tàü raktapãtapuùpàõàü  Ras_7.78c
tàş sarvàş kiükaràstasya  Ras_3.18c
tiktoùõaü hiïgulaü divyaü  Ras_7.51a
tittióã kùãriõã ràsnà  Ras_5.6c
tintiõãpattraniryàsair  Ras_12.170a
tinduke dvisahasràyuş  Ras_12.375a
tilakaş sarvava÷yakçt  Ras_12.211d
tilakà¤canamàkùikam  Ras_9.10d
tilacårõapalaü gu¤jà-  Ras_6.15a
tilaparõãrasenaiva  Ras_11.41a
tilapiùñaü ca bhakùayet  Ras_12.270b
tilabhasma dvir aü÷aü tu  Ras_4.42a
tilavat kvàthayitvà tu  Ras_12.145c
tilasarùapagodhåma-  Ras_7.93a
tilasarùapajàni tu  Ras_5.34f
tilasarùapa÷igråõi  Ras_7.75c
tilàpàmàrgakadalã  Ras_5.30c
tilàü÷ca taõóulàü÷caiva  Ras_12.243a
tilaiş saüpåjya bàlikàş  Ras_2.49b
tiùñhate pa¤came gçhe  Ras_3.3d
tiùñhatyeva sadà÷ivaş  Ras_12.83b
tãkùõaghoùàrakà¤canam  Ras_11.192b
tãkùõatàmrau vi÷eùataş  Ras_8.44d
tãkùõamàkùika÷ulvaü ca  Ras_8.74a
tãkùõalohaü tu dàpayet  Ras_11.81b
tãkùõalohàni ca kùipet  Ras_8.51b
tãkùõa÷ulvoragaü caiva  Ras_11.111a
tãkùõaü nàgaü tathà ÷ulvaü  Ras_12.51a
tãkùõaü måùàgataü dravet  Ras_7.122d
tãkùõaü lohaü ca pannagam  Ras_12.42f
tãkùõaü lohaü ca pannagam  Ras_12.50:1d
tãkùõaü vaïgaü bhujaügamam  Ras_7.97b
tãkùõàbhrakaü ravisamaü  Ras_8.62a
tãkùõàbhratàpyavimala-  Ras_8.70a
tãkùõàbhraü bhàskaràbhrakam  Ras_11.48b
tãkùõàbhraü sindhuhiïgulàt  Ras_8.31d
tãre kùãrapayonidheş  Ras_7.57d
tãvragandharasaspar÷air  Ras_5.21a
tãvratvaü jàyate svedàt  Ras_10.12a
tãvrànale puñaü dattvà  Ras_6.82c
tuïgapãnau samàv ubhau  Ras_2.22d
tutthamabhrakameva ca  Ras_7.126d
tutthaü daradamàkùikam  Ras_12.271b
tutthena saüyutenaitan  Ras_11.187e
tumbãkùàrastathàrjunaş  Ras_6.34b
tumburudravamarditam  Ras_11.23b
tumbururlohanighnakaş  Ras_7.109b
tumburustikta÷àkaü vàpy  Ras_11.26c
tuùakarùàgninà bhåmau  Ras_4.19a
tuùavarje tu dhànyàmle  Ras_10.41a
tuùaü vastrasamaü dagdhàü  Ras_4.37a
tuùñena guruõà priye  Ras_1.56d
tçõajyotiriti khyàtà  Ras_12.109a
tçõauùadhirasànàü ca  Ras_12.71c
tçõauùadhyà rase såtaü  Ras_12.75a
tçtãyasàraõàyogàj  Ras_12.333a
tçtãyaü ca paóàlakam  Ras_7.107b
tçtãyaş ùoóa÷àü÷astu  Ras_11.50c
tçtãyà ca mahàbalà  Ras_7.138d
tçtãyàü÷aü tribhirbhavet  Ras_4.27b
tçtãye divase såto  Ras_11.119c
te caivàtra bhavantviti  Ras_7.65d
tejasà såryasaünibham  Ras_11.202b
tejasvanto mahattaràş  Ras_6.69b
tejasvã nirmalo bhavet  Ras_10.59b
tejogauravacàpalam  Ras_11.200b
tena kalkena saülipya  Ras_11.182c
tena kuryàdrasàyanam  Ras_11.221b
tena kvàthena taccårõaü  Ras_7.143c
tena janmajaràvyàdhãn  Ras_1.53c
tena jãvo rasaş smçtaş  Ras_10.15d
tena tàraü ca ÷ulvaü ca  Ras_12.320a
tena tailena deve÷i  Ras_12.21c
tena nàgaü pratãvàpya  Ras_12.224c
tena pakvaü bãjacårõaü  Ras_11.177a
tena pattrarasenaiva  Ras_12.6a
tena bãjàni ra¤jayet  Ras_8.74d
tena bãjàni ra¤jayet  Ras_8.81d
tena bhakùitamàtreõa  Ras_12.18a
tena bhasmasamaü kuru  Ras_12.56b
tena lepitamàtreõa  Ras_12.267c
tena vaikràntakaş smçtaş  Ras_6.126d
tena ÷ulvaü ca vedhayet  Ras_12.126b
tena ÷ålena nihato  Ras_11.161c
tena siktaü tu vàpitam  Ras_12.25b
tena såtakajãrõena  Ras_12.341a
tena såtena vedhayet  Ras_11.180d
tena såtena saüliptaü  Ras_11.161a
tena hema tu kàrayet  Ras_12.339d
tenàbhrakaü tu saüplàvya  Ras_11.42c
tenàyaü gandhako nàma  Ras_7.66c
tenàyaü labhate siddhiü  Ras_1.27c
tenà÷ràntagatirdevi  Ras_11.143a
tenàsau capalaş smçtaş  Ras_7.25d
te nimbaphalasaüsthànà  Ras_7.4c
tenaiva kùàlanaü kàryyaü  Ras_6.59c
tenaiva ghàtayettãkùõaü  Ras_12.47c
tenaiva ghàtayedvaïgaü  Ras_12.13c
tenaiva màkùikaü tàmram  Ras_7.148a
tenaiva militaü vajraü  Ras_6.89a
tenaiva sarvalohàni  Ras_12.128c
tenaiva saha dàpayet  Ras_11.136d
tenaiva saha yojayet  Ras_11.218b
tenaiva saha sàrayet  Ras_11.96b
tenaiva saha sàrayet  Ras_11.139d
tenaivaikatra mardayet  Ras_12.50:2b
tenodakena saümardya  Ras_12.312a
te bhåmau patità divyàş  Ras_12.203c
te ràgà dviguõàş sthitàş  Ras_8.9d
teùàü vinaùñabuddhãnàü  Ras_1.24c
teùu sarveùu dàpayet  Ras_11.103d
tair drutaiş spar÷amàtreõa  Ras_7.146c
tailabindurivàmbhasi  Ras_6.56d
tailamàkùikami÷ritam  Ras_12.147b
tailamekaü sure÷vari  Ras_8.82d
tailaliptaü puñena tu  Ras_12.140b
tailasarpişsamanvitam  Ras_7.7b
tailaü ca golakàkàraü  Ras_12.215a
tailaü vipàcayeddevi  Ras_8.81c
tailaü saügçhya paõóitaş  Ras_12.159b
tailàni hy uttamàni vai  Ras_5.34d
tailàranàlatakreùu  Ras_7.6a
tailena mi÷ritaü kçtvà  Ras_6.64a
toyakumbhe vinikùipet  Ras_6.52b
toyapårõe ghañe kùipet  Ras_12.281b
toyamadhye vinikùipya  Ras_12.171a
toyavallã gajàrã ca  Ras_5.13c
toyaü dadyàt punaş punaş  Ras_4.18b
toyaü syàt såtakasyàdhaş  Ras_4.9c
toyena marditaü kçtvà  Ras_12.182c
tyajecca gatimàtmanaş  Ras_11.74d
trapu ca dvividhaü j¤eyaü  Ras_7.110a
trayo gaganabhàgàş syur  Ras_12.352c
trikåñàkùaü trinetraü tu  Ras_3.26a
trikoñijanmalakùàõi  Ras_1.50c
trikoõàş pattalà dãrghàş  Ras_6.70c
trikùàraü ñaïkaõakùàro  Ras_5.30a
trikùàraü pañupa¤cakam  Ras_7.138b
triguõaü tena nirvahet  Ras_12.48b
triguõaü vàhayettataş  Ras_12.10d
triguõe gandhake jãrõe  Ras_12.339c
triguõe tu sahasrakam  Ras_11.155d
triguõe tu suràrcite  Ras_12.342b
triguõena nivàpitam  Ras_8.47b
triguõe 'yutavedhakaş  Ras_11.71b
tridaõóã brahmadaõóã ca  Ras_5.19c
tridinatanususiddhaü kalkametadvariùñham  Ras_12.365d
tridinaü mardayettataş  Ras_10.47d
tridinaü mçdunàgninà  Ras_10.42d
tridinaü vedhi parvate  Ras_12.286f
tridinaü svinnamabhrakam  Ras_11.26f
tridinaü svedayed devi  Ras_6.13c
tridine kacchape jàryam  Ras_11.191c
tridinena drutaü bhavet  Ras_6.36d
tridoùaghnaü tu tatsattvaü  Ras_7.38c
tripa¤capalasaükhyaü tu  Ras_12.187c
tripalaü kàntapàtre và  Ras_12.220a
tripalaü pàdañaïkaõam  Ras_6.15b
tripuràbhairavãü devãü  Ras_3.25a
triphaladvyàrdrakadravaiş  Ras_7.21d
triphalà ca trikañukaü  Ras_7.138a
triphalàyà÷ca pàcayet  Ras_12.276b
triphalàvahnimålatvàt  Ras_10.46a
triphalàvyoùakalkena  Ras_12.330a
tribhàgasàritaü kçtvà  Ras_11.96c
tribhàgaü ñaïkaõaü dattvà  Ras_12.56c
tribhàgaü såtakendrasya  Ras_11.139c
tribhirlepairdrutaü lohaü  Ras_7.131c
trimåùàsu samaü sthàpyam  Ras_6.62a
trilohaveùñitaü vaktre  Ras_12.200c
trilohàveùñitaü taü tu  Ras_12.343a
trilohena ca veùñayet  Ras_12.256b
trivarõaü syàt pçthak pçthak  Ras_6.41d
trivàramapi bhàvayet  Ras_12.225b
trivàraü hema ÷obhanam  Ras_12.231d
trividhaü jàyate hema  Ras_7.99c
tri÷ånyaü ca niràmayam  Ras_2.114d
tri÷ålaü hima÷ailaje  Ras_11.161b
tri÷ålã kçùõamàrjàrã  Ras_5.18a
triùu lokeùu durlabham  Ras_12.242b
trisaptàhaü pibennaraş  Ras_12.294b
trisaptàhaü bçhaspatiş  Ras_12.297b
trisaptàhaü sure÷vari  Ras_12.17d
trisaptàhena deve÷i  Ras_12.31a
trisaüdhyaü saüjapedimàm  Ras_2.88d
tristhalànte trivàsaram  Ras_12.283b
triü÷accumbakakàntaü ca  Ras_6.59a
triü÷atpalaü vyomarajaş  Ras_6.14c
triü÷atsahasraü padme ca  Ras_12.377c
triü÷adguõa÷ilàvàpaü  Ras_8.66c
triü÷adguõàt tàlavàpàt  Ras_8.71e
trişsaptakçtvo gomåtre  Ras_7.122a
trişsaptakçtvo nicula-  Ras_7.123a
trişsaptaràtraü dinamekamekaü  Ras_12.372c
trãnvàràüstaü pçthak pçthak  Ras_7.68d
trailokyajananã yà syàd  Ras_12.28a
trailokyaü kùobhitàste tu  Ras_3.31c
trailokyaü ca bhramedrasaiş  Ras_12.33d
trailokyaü va÷yatàü vrajet  Ras_3.32b
trailokye kathayettu sà  Ras_2.35b
trailokye 'pi sudurlabhà  Ras_1.46b
tryaïgulàü madhyavistàre  Ras_4.17a
tryåùaõena sahaikataş  Ras_12.6d
tvatprasàdàcchrutaü sarvam  Ras_1.5a
tvayà dçùñaü mahe÷vara  Ras_2.30b
tvaritaü dhàrayet tataş  Ras_3.22d
tvarito haüsago bhavet  Ras_10.14b
tvaü màtà sarvabhåtànàü  Ras_1.34a
dakùiõasyàü tato rudraü  Ras_2.56a
dakùiõasyàü lohamàro  Ras_2.107c
dakùiõe ca tañe tasyàş  Ras_12.237a
dagdhakàõóais tilànàü tu  Ras_9.11c
dagdhadhànyatuùopetà  Ras_4.31a
dagdhamagnimadho dattvà  Ras_8.75c
dagdhàïgàrasya ùaóbhàgà  Ras_4.36a
dagdhà chinnà mahauùadhã  Ras_12.150d
dagdhàrohàü pravakùyàmi  Ras_12.149a
dagdhà valmãkamçttikà  Ras_4.32b
dagdhà valmãkamçttikà  Ras_4.35b
dagdhà và pàvakena tu  Ras_12.150b
daõóadhàrã bhavedrasaş  Ras_11.52b
dattà codakaråpiõã  Ras_12.234b
dattvà pàdàü÷akaü sarvaü  Ras_7.77a
dattvà lakùaü japitvà tu  Ras_12.292c
dattvà sattvaü nira¤janam  Ras_6.18b
dadàti khecarãü siddhim  Ras_12.32c
dadàti khecarãü siddhiü  Ras_5.29e
dadàti saptamãü sàpi  Ras_12.336a
dadyàcchàlyodanaü ghçtam  Ras_12.258b
dadyàt karãùatuùayoş  Ras_11.173e
dadyàttãvràgnimeva và  Ras_4.12d
dadyàt puñaü gajàkàraü  Ras_7.77c
dadyàdajãrõa÷aïkàyàü  Ras_11.174a
dadyàdvyomàdikaü tataş  Ras_10.25b
dadhatãü dakùahastayoş  Ras_2.70d
dadhimaõóasamo bhavet  Ras_11.53d
dadhyamlatilatailayoş  Ras_7.48b
dantinã yavaci¤cà ca  Ras_5.15c
dantãdanto vi÷eùeõa  Ras_7.135a
dabhrasattvàdijaü rajaş  Ras_7.134d
dayàdàkùiõyasaüyutaş  Ras_2.7b
daradastrividhaş prokta÷  Ras_7.46a
daradaü ca viùaü caiva  Ras_12.318c
daradaü caiva lohàni  Ras_12.119:2c
daradaü pàtanàyantre  Ras_7.49a
darduraü maraõapradam  Ras_6.7b
dardure 'gniü praviùñe tu  Ras_6.5a
dar÷anàt spar÷anàt tasya  Ras_1.37a
dar÷ità piõóapàtane  Ras_1.12d
dalasya bhàgamekaü tu  Ras_12.163a
dalàni kràmaõàni ca  Ras_2.5d
da÷akoñãstu vedhayet  Ras_12.69d
da÷a dåtyaş krameõa ca  Ras_2.58b
da÷anàgasamapràõo  Ras_12.314c
da÷anà vajrasadç÷àş  Ras_2.22a
da÷aniùkamitaü yutam  Ras_6.61b
da÷a pa¤cakameva và  Ras_10.37d
da÷a pãtaü ÷atena ca  Ras_12.25d
da÷abhàgaü vinikùipet  Ras_12.266d
da÷aràtraü nidhàpayet  Ras_11.170b
da÷alakùàõi vidhyati  Ras_12.31b
da÷avàraü niùiktaü tu  Ras_12.55c
da÷avedhã bhavedrasaş  Ras_11.155b
da÷aùoóa÷abhàgena  Ras_11.179c
da÷asaükalikàbaddhaü  Ras_12.200a
da÷asàhasrasaükhyakam  Ras_12.376d
da÷àü÷aü koñivedhi syàt  Ras_12.26c
da÷àü÷aü vedhayet såtaü  Ras_12.25c
dàtavyaü ùoóa÷àü÷ataş  Ras_11.115b
dànavànàü hitàrthàya  Ras_12.233c
dànavo baladarpitaş  Ras_11.159b
dànavo baladarpitaş  Ras_11.161d
dàntaş ÷iùyopade÷aj¤aş  Ras_2.3a
dàpayecca puñatrayam  Ras_11.37d
dàpayettvaritàmantraü  Ras_2.32c
dàpayetpracuraü yatnàt  Ras_4.10c
dàrvãmaricasaümi÷raü  Ras_6.28c
dàhakaü jvàlayettena  Ras_4.62c
dàhe raktaü sitaü chede  Ras_7.100c
dinamekantu bhàvitam  Ras_6.94b
dinamekaü tathà såtaü  Ras_12.245c
dinamekaü nidhàpayet  Ras_7.40d
dinamekaü nidhàpayet  Ras_7.41d
dinamekaü brahmagirau  Ras_12.284e
dinamekaü rasendrasya  Ras_11.6a
dinavedhãni kànicit  Ras_12.278b
dinaü munirase kùipet  Ras_6.28b
dinàni trãõi vàrttikaş  Ras_12.5b
dinànte bandhamàyàti  Ras_12.37c
dine dine tathaikaikaü  Ras_12.309a
dineùu teùu sarveùu  Ras_12.258a
divasànekaviü÷atim  Ras_12.221b
divàràtraü dçóhàgninà  Ras_11.117b
divyatejà mahàkàyo  Ras_11.143c
divyatejomahàbalam  Ras_11.105d
divyatvaü labhate dhruvam  Ras_12.327d
divyadçùñirmahàbalaş  Ras_11.143d
divyaråpaş sa jàyate  Ras_12.363d
divyastrãjanavallabhaş  Ras_12.337d
divye kàmye jayo bhavet  Ras_12.349d
divyauùadhigaõopete  Ras_2.42c
divyauùadhipuñaş pa÷càt  Ras_11.211c
divyauùadhibalena và  Ras_11.16b
divyauùadhã catuşùaùñiş  Ras_12.73a
divyauùadhya÷ca tasyaiva  Ras_2.89c
divyauùadhyà yadà devi  Ras_12.80a
divyauùadhyà rasenaiva  Ras_12.69a
divyauùadhyà rasenaiva  Ras_12.82c
divyauùadhyà vidhiü ÷çõu  Ras_12.122b
dãkùito rasakarmàõi  Ras_2.133a
dãpenàràdhayettàü tu  Ras_12.210a
dãptàgrabhàgàü tàü vartiü  Ras_11.170c
dãyamànasya mardanam  Ras_10.25d
durgà bhagavatã devã  Ras_6.124c
durjade÷e 'pi vàsaram  Ras_12.287d
durlabhaü devadànavaiş  Ras_3.2d
durlabhaü piõóadhàraõam  Ras_1.14d
durlabhaü brahmaniùõàtaiş  Ras_1.41a
du÷càriõã duràcàrà  Ras_2.15a
duùprekùyaü pretaviùñaram  Ras_2.64d
dçóhaü dhmàtaü milettataş  Ras_8.39d
dç÷yate tanmanoharam  Ras_12.240f
dç÷yate ùaóvidhaü phalam  Ras_1.37d
dç÷yate sarvamaïgale  Ras_12.238b
dçùñànyairviphalà bhavet  Ras_4.24b
