Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
tÃstu«ÂamanasaÓcÃpi  SkP_29.237a
tÃæ j¤ÃtvÃ tryambako devÅæ  SkP_10.26a
tÃæ tathÃ ti«ÂhatÅæ deva÷  SkP_26.48a
tÃæ tapaÓcaraïe yuktÃæ  SkP_10.2a
tÃæ tu ÓÆnyÃæ sa vij¤Ãya  SkP_26.64a
tÃæ dak«astryambakÃyaiva  SkP_10.7a
tÃæ praviÓya tato dhÅmÃn  SkP_21.2a
tÃæ mÃtÃ pratyabhÃ«ata  SkP_11.27d
tÃæstathÃvÃdina÷ sarvÃn  SkP_24.6a
tithau niyamavÃnnara÷  SkP_29.217b
tiryagyonau ca sambhavet  SkP_28.38d
tilakÃ÷ kusumotkarÃ÷  SkP_13.107b
tilÃnÃæ caiva k­«ïÃnÃæ  SkP_28.58c
tilottamÃ ca viÓvÃcÅ  SkP_25.11c
ti«Âhate dravate caiva  SkP_21.47a
ti«Âhato mama Óobhane  SkP_29.8d
ti«Âhantamanalaprabham  SkP_1.18b
ti«Âhantaæ mÃæ yamo 'bhyetya  SkP_20.63a
ti«Âhantaæ vÃ ÓayÃnaæ vÃ  SkP_20.64a
tisro yogabalÃnvitÃ÷  SkP_11.30b
tÅrthakoÂÅsamÃv­ta÷  SkP_11.23b
tÅrthasaæplavanÃrthÃya  SkP_1.4c
tÅrthÃni caiva sarvÃïi  SkP_24.33a
tÅrthÃni vividhÃni ca  SkP_24.40b
tÅrthÃbhi«ekapÆtÃtmÃ  SkP_11.7c
tÅrthaiÓca sarvairapi cÃvanÅdhrai÷  SkP_4.41b
tÅrthai÷ sutaptaiÓca tathÃ tapobhi÷  SkP_21.58d
tuÇgÃgrairnÅlapu«pastabakabharanataprÃntaÓÃkhairaÓokair  SkP_30.34a
tuÇgÃni cÃdriÓ­ÇgÃïi  SkP_13.97c
tubhyaæ tadrucitaæ mama  SkP_12.9d
tumbururnÃrado hÃhÃ  SkP_13.70a
tu«ÂaÓcedaæ tamabravÅt  SkP_15.30d
tu«Âastuto«a bhÆyo 'sya  SkP_29.114c
tu«Âaste 'haæ dadÃnyetat  SkP_15.31a
tu«ÂÃva devaæ devÅæ ca  SkP_29.152c
tu«ÂÃva purakÃmÃÇga-  SkP_21.17c
tu«ÂÃva bhuvaneÓvaram  SkP_7.2d
tu«ÂÃva vibudheÓvaram  SkP_20.9d
tu«ÂÃva h­«itÃnana÷  SkP_15.18d
tu«ÂÃsmi mÃ k­thÃÓcaiva  SkP_29.147c
tu«ÂÃsmi vatsÃ÷ kiæ vo 'dya  SkP_8.18a
tu«ÂÃsmyapsarasa÷ sÃk«Ãt  SkP_29.183a
tu«Âirakrodha eva ca  SkP_15.33b
tu«ÂuvurvÃgbhiri«ÂÃbhi÷  SkP_14.1e
tu«Âuvu÷ sahitÃ÷ samam  SkP_29.185d
tu«Âo 'bravÅtsvayaæ putraæ  SkP_3.19c
tu«Âo 'smi tava dÃnena  SkP_6.8a
tu«Âo 'smi tava sarvathÃ  SkP_21.15b
tu«Âo 'smi te viprabhaktyÃ  SkP_12.53c
tu«Âo 'smi varadaÓcaiva  SkP_29.100c
tu«Âo 'smyanena va÷ samyak  SkP_9.12a
tu«Âo 'haæ devi ÓÃÓvatam  SkP_27.34f
tu«Âyai k«Ãntyai namo nama÷  SkP_29.161d
tuhinaÓikhariputryÃ sÃrdhami«ÂairgaïeÓai÷  SkP_30.43b
tÆ«ïÅmeva babhÆva ha  SkP_17.14d
t­tÅyanayanÃya ca  SkP_14.11b
t­tÅyÃmapi kÃlahan  SkP_21.8b
t­tÅyÃ hyekapÃÂalÃ  SkP_11.34b
t­tÅyek«aïadhÃriïam  SkP_13.55b
te gaïeÓÃ mahÃsattvÃ÷  SkP_24.1a
te gatvÃ munaya÷ sarve  SkP_8.8a
te ca tatsamanuvrajan  SkP_4.38d
tejasaÓcÃpyadh­«yatÃ  SkP_2.20b
tejasÃ jagadÃviÓya  SkP_4.3c
tejasÃ dahyamÃnÃstu  SkP_29.10e
tejasÃ yasya devÃste  SkP_13.53e
tejasÃæ pataye nama÷  SkP_20.17d
tejasÃæ yo 'prameyÃnÃæ  SkP_29.141a
teja÷pratÃpÃdhikadivyarÆpa÷  SkP_13.10a
tejodhikastejasi saæniviÓya  SkP_13.14b
tejobalÃj¤Ãsad­ÓaprabhÃva÷  SkP_13.12b
tejobhirekata÷ pÆrïaæ  SkP_29.61e
tejorÃÓimapaÓyata  SkP_5.55d
tejoliÇgÃya vai nama÷  SkP_15.26b
tejo vahne÷ ÓaÓe÷ prabhÃ  SkP_13.38b
te tamÃsÃdya ­«aya÷  SkP_8.22a
te d­«ÂvÃ devadeveÓaæ  SkP_9.1a
te d­«ÂvÃ parameÓÃnaæ  SkP_13.55a
te devadevasya sahÃdriputryÃ  SkP_24.65c
tena coktaæ sthito 'smÅti  SkP_10.10c
tena na÷ pratibhÃsi tvaæ  SkP_1.9c
tena p­cchÃæ tvamarhasi  SkP_1.10d
tena prÃleyavar«eïa  SkP_13.94a
tena bÃlamimaæ mu¤ca  SkP_12.43c
tena Óabdena ghoreïa  SkP_7.16a
tena sÃrdhaæ sa modate  SkP_28.43b
tenÃpaÓyadviyatsthaæ taæ  SkP_5.40c
tenÃyaæ sarvaloke«u  SkP_25.21e
tenÃsÃvabhavatprabhu÷  SkP_4.17b
tenÃsau varadÃnena  SkP_16.2a
tenedaæ dhÃryate jagat  SkP_4.33f
teneha labhyate jantor  SkP_29.86c
tenaiva nÃmnÃ loke«u  SkP_11.28c
tenaiva parameÓo 'sau  SkP_10.4c
tenaivamak«ayaæ tubhyaæ  SkP_12.61c
tenoktÃ sÃ tadÃ tatra  SkP_12.17a
tebhyaÓcÃhaæ prayacchÃmi  SkP_30.58a
tebhyastathÃbhyupetebhyo  SkP_26.38a
tebhyastadviddhi ni÷s­tam  SkP_28.22d
tebhya÷ paramakaæ cak«u÷  SkP_13.54a
tebhya÷ Óre«Âhatamaæ tvidam  SkP_29.55d
tebhya÷ Óre«Âhatamaæ ÓrÅmad  SkP_26.67c
te martyÃ bhayapÃpadu÷kharahitÃ÷ saæÓuddhakarmakriyÃ  SkP_29.91c
te mÃæ paÓyanti nityadÃ  SkP_27.38d
te yuktÃ brahmaïÃ sÃrdham  SkP_8.26a
te viÓvakarmÃïamamitrasÃhÃ  SkP_23.69a
te«Ãmekena janmanÃ  SkP_29.72f
te«Ãæ kÃlena mahatÃ  SkP_8.25a
te«Ãæ tadabhiyÃttathÃ  SkP_5.9d
te«Ãæ taæ bhÃvamÃlak«ya  SkP_5.4a
te«Ãæ Óabdairupacitabala÷ pu«pacÃpe«uhasta÷  SkP_13.119c
te«Ãæ ÓÃnti÷ ÓÃÓvatÅ netare«Ãm  SkP_3.9d
te«vÃgate«u sarve«u  SkP_24.35a
te saha brahmaïÃ gatvÃ  SkP_8.24a
tairukto 'patyakÃmaistu  SkP_20.7a
tai÷ praÓastastataÓcaiva  SkP_20.27a
toyÃnÃæ tÅrajÃtapravikacakadalÅvÃÂan­tyanmayÆram  SkP_30.35b
toyÃm­tasusampÆrïaæ  SkP_7.12a
toyÃÓayai÷ samanuÓobhitadevamÃrgam  SkP_30.33b
tau cÃviviÓaturg­ham  SkP_6.13d
tau tu tasyÃÓi«aæ devau  SkP_20.47a
tau prabhÆ mama dÃne vai  SkP_12.8c
tyaktadharmaratirnara÷  SkP_30.67b
tyaktavyÃ yadi no bhavet  SkP_30.10d
tyaktvÃpa÷ saæsp­Óanti ca  SkP_10.35d
tyaktvÃ sarvÃïi du÷khÃni  SkP_28.43e
tyaktvÃ sarvÃïi pÃpÃni  SkP_28.46a
tyak«yate vai sudhÃrmika÷  SkP_25.22d
tyajÃmye«Ã tavÃtmajÃ  SkP_10.22b
tyajetsarvamaÓe«ata÷  SkP_29.213d
trÃtu mÃæ kaÓcidetyeha  SkP_12.32e
tridaÓÃrtiharo hara÷  SkP_12.4b
trinetraæ cordhvamÆrdhajam  SkP_23.21d
trinetrÃya harÃya ca  SkP_9.3d
tripÃdaæ cÅravÃsasam  SkP_23.21b
tripi«Âapaæ gacchati so 'bhinandita÷  SkP_7.38d
tripi«Âape krÅ¬ati cecchayÃ svayam  SkP_19.27d
tripuraghnÃya cogrÃya  SkP_21.32a
trirÃtreïa vyatÅtÃæÓca  SkP_29.120a
trirÃtropo«itaÓcaiva  SkP_7.29c
trirÃtropo«ito gatvÃ  SkP_22.30c
triÓÆlapÃïirdigvÃsÃ  SkP_23.25c
triÓca taæ jvalanaæ devaæ  SkP_13.133c
tri«u loke«u gadyate  SkP_7.24d
tri«u loke«u vidyate  SkP_5.19d
trisrotasaæ nadÅæ d­«ÂvÃ  SkP_22.23a
triæÓadvar«asahasrÃïi  SkP_28.20c
trÅællokÃnsamatikramya  SkP_27.40a
tretÃgnidÅptanetrÃya  SkP_9.3c
tretÃgnipiÇgalajaÂaæ  SkP_8.32c
traikÃlyaæ darÓanaæ tathÃ  SkP_31.6b
traiguïyÃvijitÃtmane  SkP_1.1b
traipuraæ yuddhameva ca  SkP_2.28b
trailokyadahanastathÃ  SkP_23.60b
trailokyadahanÃya ca  SkP_21.19b
trailokyamakhilaæ tadÃ  SkP_11.35d
trailokyasurakaïÂaka÷  SkP_7.19b
trailokyasya saÓakrasya  SkP_2.25a
trailokye jantava÷ sarve  SkP_28.49c
trailokye sacarÃcare  SkP_20.41d
tryak«aÓca daï¬apÃïiÓca  SkP_31.12c
tryak«aÓcandrak­tÃpÅ¬a÷  SkP_23.31c
tryak«aæ paramamadbhutam  SkP_13.53d
tryak«aistai÷ ÓÆlapÃïibhi÷  SkP_23.28d
tryak«o daÓabhuja÷ ÓrÅmÃn  SkP_4.17c
tryak«o daÓabhuja÷ ÓrÅmÃn  SkP_22.9c
tryak«o 'nalaÓataprakhya÷  SkP_23.11c
tryambakasyaiva dhÅmata÷  SkP_10.24f
tryambakÃya namo nama÷  SkP_14.14b
tvagasthiparisaæsthitam  SkP_29.128d
tvattaÓca ÓaraïÃrthina÷  SkP_20.20b
tvatta÷ prasÃda÷ satataæ  SkP_29.168a
tvatparaæ tvadapÃÓrayam  SkP_21.54b
tvatprasÃdÃdahaæ vibho  SkP_21.8d
tvatsama÷ sarvavedaj¤as  SkP_16.9c
tvadÅyo munipuægava  SkP_16.9d
tvadupÃstiparÃyaïÃ÷  SkP_1.12b
tvamagrayodhÅ Óatrughnas  SkP_25.32c
tvamasmÃkaæ gaïÃdhyak«a÷  SkP_25.37a
tvamasmÃkaæ ca tasyÃÓca  SkP_25.4a
tvameva kÃraïaæ deva  SkP_13.60c
tvameva bhoktÃ bhojyaæ ca  SkP_16.6a
tvameva sra«ÂÃ lokÃnÃæ  SkP_5.53a
tvamevÃtra vimuhyase  SkP_5.30f
tvayÃ cihnamidaæ k­tam  SkP_7.4b
tvayÃ tyaktasya caivÃÓu  SkP_21.53a
tvayÃ dattaæ mahÃvrate  SkP_12.61b
tvayÃ nirapakÃriïa÷  SkP_26.60b
tvayÃ buddhimatÃæ vara  SkP_3.21b
tvayÃ bhÆyaÓca saæsk­tam  SkP_17.18b
tvayÃ vis­«Âo gatvÃham  SkP_20.62a
tvayÃ sama÷ kÃntivapuÓca nityam  SkP_22.34d
tvayÃ s­«Âamidaæ viÓvaæ  SkP_11.36c
tvayÃ s­«Âaæ jagatsarvaæ  SkP_29.143c
tvayÃhaæ yÃcita÷ Óakte  SkP_16.9a
tvayi ceto vimohitam  SkP_29.144d
tvayi bhaktird­¬hÃstu me  SkP_25.15b
tvayi bhaktiÓca nityaæ syÃt  SkP_29.122a
tvayi lambÃmahe vayam  SkP_11.12d
tvayi snÃnaæ tu ya÷ kuryÃc  SkP_22.19a
tvayaiva deyÃ grÃhyÃ ca  SkP_25.5a
tvayaiva nihatau Óubhe  SkP_29.33d
tvayaivecche nivÃraïam  SkP_5.63b
tvayotpÃditamacyuta  SkP_18.20b
tvayyananyÃæ vidhatsva me  SkP_31.8d
tvayyeva ramatÃmetad  SkP_12.56c
tvaæ ca tu«Âo bhavi«yasi  SkP_26.25d
tvaæ cÃpi vÅraïastambas  SkP_11.12c
tvaæ caiva mama ÓÃpena  SkP_10.28a
tvaæ caivÃrtÃyanaæ prabhu÷  SkP_21.52b
tvaæ tadÃ sutamÃrgaïe  SkP_5.57d
tvaæ tu macchÃpanirdagdho  SkP_10.37a
tvaæ tu mÃmavamanyase  SkP_17.23d
tvaæ nivÃraya putraka  SkP_18.33d
tvaæ no gatiranuttamÃ  SkP_25.5b
tvaæ no gati÷ purÃ deva  SkP_21.52a
tvaæ bhÆto bhÆtanetÃ ca  SkP_25.31c
tvaæ vÅrastvaæ divaspati÷  SkP_25.32d
tvaæ hi dhÃrayase lokÃn  SkP_11.37a
tvaæ hi vettha yathÃtattvaæ  SkP_4.27c
tvÃmuddiÓya dvijÃtibhyo  SkP_26.43c
tvÃæ k­tvÃ h­di tapyante  SkP_29.181e
tvÃæ nirÅk«itavÃ¤chubhe  SkP_29.139b
dak«adharmÃdaya÷ ÓubhÃ÷  SkP_4.21b
dak«aÓÃpastathaiva ca  SkP_2.7b
dak«asya kopÃddhimavadg­haæ sÃ  SkP_13.24e
dak«asya duhitÃ jaj¤e  SkP_10.6c
dak«asyeha prajÃpate÷  SkP_10.5b
dak«aæ devo jagatpati÷  SkP_10.38b
dak«a÷ ÓuciradÅnÃtmÃ  SkP_20.38a
dak«iïÃyÃæ tu yo mÆrtau  SkP_27.31a
dak«iïÃyai ­ce nama÷  SkP_29.159b
dagdha e«a dhruvaæ bhadre  SkP_15.10a
dagdhasaæsÃrabÅjina÷  SkP_29.69d
dagdhena ca tvayÃ kiæ me  SkP_18.15c
dagdhvÃnyÃnprathayi«yÃmi  SkP_18.29c
daï¬adhÃrÅ mahÃvaktra÷  SkP_23.40a
daï¬aæ samÃdÃya k­tÃnta ÃgÃd  SkP_13.12c
daï¬ine nÅlakaïÂhÃya  SkP_9.3a
dattakaÓcoÓanÃ tasyÃ÷  SkP_11.33a
dattametanmayÃ tubhyaæ  SkP_12.56a
dattasya phalamucyate  SkP_28.33d
dattaæ tato bravÅmi tvÃæ  SkP_12.46c
dattaæ varamanuttamam  SkP_31.9f
datte pu«pe hi tatphalam  SkP_28.32d
datte bilvasya Óobhane  SkP_28.34d
datte me yatphalaæ sm­tam  SkP_28.35b
datte yatkathyate phalam  SkP_28.32b
dattvÃ cÃhaæ na g­hïÃmi  SkP_12.55a
dattvÃ caiva dhaneÓatÃm  SkP_29.175b
dattvÃ sarve dvijÃtaya÷  SkP_10.31b
dattvÃ sp­Óanti bhÆyaÓca  SkP_10.34e
dadÃni g­hamuttamam  SkP_27.14d
dadÃni te ­«iÓre«Âha  SkP_15.32c
dadÃni prayatÃtmane  SkP_3.22d
dadÃni brahmaïo loke  SkP_27.20c
dadÃni varamuttamam  SkP_22.10d
dadÃni vo varÃni«ÂÃny  SkP_29.183c
dadÃni Óriyameva ca  SkP_27.36d
dadÃnÅpsitamÅÓÃna  SkP_29.180c
dadÃnyasya svakaæ lokaæ  SkP_27.34e
dadÃmi ­«isattama  SkP_15.34f
dadÃmi divyaæ cak«uste  SkP_15.17e
dadÃvÃtyantikaæ tadÃ  SkP_29.169d
dadÃsi mahyaæ yadyÃj¤Ãæ  SkP_13.129e
dadÃha vai svakaæ dehaæ  SkP_10.25c
dadÃhÃgne÷ ÓikhÃ yathÃ  SkP_29.136d
dadÃhÃrcÃæ ca suprabhÃm  SkP_26.57d
dadau bhÃryÃmaninditÃm  SkP_10.7b
dadau sa rÆpÅ bhagavÃn  SkP_5.4e
dadau sarvÃnabhiprÃyÃn  SkP_26.38c
dadyÃtk­«ïatilÃæÓcaiva  SkP_28.41a
dadyÃtpratik­tiæ svakÃm  SkP_28.14b
dadyÃdavimanÃ÷ priye  SkP_27.15b
dadyÃddhemaphalaæ Óubham  SkP_28.12b
dadhnaÓcaiva gh­tasya ca  SkP_26.44b
dama÷ ÓamastathÃ kÅrtis  SkP_15.33a
daridrakrÅ¬anaistvaæ hi  SkP_26.7e
daridrakrÅ¬anai÷ Óubhe  SkP_26.14d
darduraistÃlaghÃtaiÓca  SkP_23.68a
darbhÃæÓca divyÃæ samidham  SkP_24.27a
darÓanaæ cÃgamattasya  SkP_3.12a
darÓanaæ «aÂkulÅyÃnÃæ  SkP_2.5a
darÓanaæ sattriïÃæ Óubha÷  SkP_5.4f
darÓanÃtte prabÃdhate  SkP_5.62b
darÓanenaiva viprendra  SkP_9.13c
'darÓayatsvatanau jagat  SkP_4.3f
daheyaæ tvÃæ sabÃndhavam  SkP_18.15b
daæ«ÂrÃkarÃlavadanaæ  SkP_8.32a
daæ«ÂrÃÓcatasro vaktreïa  SkP_23.17c
daæ«Âriïe gadine nama÷  SkP_14.8b
daæ«ÂrÅ sragmÅ trilocana÷  SkP_23.6d
dÃtÃsmi vadatÃnaghÃ÷  SkP_14.26d
dÃtumarhatha tÃæ subhrÆæ  SkP_25.3c
dÃtre ca ÓubhasampadÃm  SkP_14.3b
dÃnÃni caiva sarvÃïi  SkP_24.40c
dÃnÃni vividhÃni ca  SkP_24.33b
dÃsyanti sapitÃmahÃ÷  SkP_7.10b
dÃsyase varamÅpsitam  SkP_14.27f
dÃhaliÇgÃya vai nama÷  SkP_15.21b
digvÃsÃÓcordhvamehana÷  SkP_23.15d
diï¬imÃnveïukÃæÓcaiva  SkP_24.61a
diï¬imuï¬Ãya caï¬Ãya  SkP_24.54c
diï¬irityeva vikhyÃto  SkP_23.9e
dite÷ sutÃnÃæ ca mahÃsurÃïÃæ  SkP_13.20a
ditsavo brÃhmaïar«abhÃ÷  SkP_10.36b
ditsavo me dvijÃtaya÷  SkP_10.34b
divasÃÇgulidhÃriïÅ  SkP_5.11d
divÃk­taæ sa jahyÃttu  SkP_29.214c
divi devaiÓca pÆjyate  SkP_28.62f
divi bhuktvÃ mahatsukham  SkP_28.18b
divi bhÆmau giri«vapi  SkP_29.88b
divi«ÂhatulyadvijarÃjamaï¬ale  SkP_7.38b
divodÃsag­hadvÃri  SkP_26.29a
divodÃsa÷ pratÃpavÃn  SkP_26.22b
divodÃso n­pastadÃ  SkP_26.39b
divyaÇgamo divyavimÃnacÃrÅ  SkP_13.21b
divyamabhyativartata  SkP_30.16d
divyamÃnaæ tathaiva ca  SkP_5.6d
divyarÆpadhara÷ ÓrÅmÃn  SkP_28.13c
divyasaæhananÃya ca  SkP_21.29d
divyaæ cak«uradÃttadÃ  SkP_5.54d
divyaæ cak«uradÃttasmai  SkP_31.4c
divyaæ cak«u÷ prayacchÃmi  SkP_8.29c
divyaæ devagaïairv­tam  SkP_22.12b
divyaæ rÆpaæ bibharti ca  SkP_28.11d
divyaæ var«asahasraæ ca  SkP_5.9c
divyaæ sattraæ samÃsanta  SkP_5.1c
divyÃÇgahÃrasragudÃttarÆpa÷  SkP_13.9b
divyÃni divi modate  SkP_28.30d
divyÃ ye mÃnu«ÃÓca ha  SkP_29.235b
diÓa na÷ paramaæ yogam  SkP_15.29a
diÓa na÷ sumanÃ÷ sarvaæ  SkP_29.212e
diÓa no bhÆtabhavyeÓa  SkP_29.164c
diÓantu me sukhamatulaæ sukhapradÃ  SkP_25.52c
diÓantu sarvaæ manasepsitaæ ca me  SkP_25.53c
diÓa÷ sarvÃ avaik«ata  SkP_7.21b
diÓa÷ sarvÃ vinÃdayan  SkP_16.8d
diÓa÷ sarvÃ vyalokayat  SkP_29.60b
di«ÂyÃ tvamasi dharmaj¤a  SkP_1.22a
dÅk«Ãyai dak«iïÃyai ca  SkP_29.207c
dÅpamÃlÃæ tu ya÷ kuryÃt  SkP_28.40a
dÅpaæ dhÃrayati sthita÷  SkP_27.36b
dÅptik­ttaÓirÃ÷ so 'tha  SkP_5.44a
dÅptimacchabdavaccaiva  SkP_5.42c
dÅptyÃ paramayÃ yuta÷  SkP_5.23b
dÅpyate ca raviryathÃ  SkP_28.40f
dÅpyate tejasÃ divi  SkP_27.33f
dÅpyamÃnÃ yathÃ ta¬it  SkP_9.19d
dÅrghakeÓyai namo nama÷  SkP_29.154b
dÅrghamÃyurubhÃvapi  SkP_20.49d
dÅrghaveïyai namo nama÷  SkP_29.201d
dÅrgho vai tÃvadeva ca  SkP_23.17b
durÃtmÃnaæ kulÃdhamam  SkP_15.2b
durÃtmÃ yaj¤anÃÓaka÷  SkP_7.17b
durgÃyai durgatÃriïyai  SkP_29.209a
durjÃto yastvamanyathÃ  SkP_30.7d
durnirÅk«yastadÃbhavat  SkP_12.51d
durlabhÃ tvaæ varÃnane  SkP_12.16b
durlabho 'nyatra karhicit  SkP_30.57d
durvij¤eyÃya vai nama÷  SkP_29.107d
duÓcaraæ devadÃnavai÷  SkP_11.25f
du«ÂÃ caivÃpraÓastÃ ca  SkP_30.10a
du«prek«yamak­tÃtmabhi÷  SkP_8.34d
duhiturdevadevena  SkP_13.2c
duhit­tvamupÃgatÃm  SkP_19.10b
du÷khaæ te kuta udbhÆtaæ  SkP_20.53c
du÷khitÃ÷ kena mok«aÓca  SkP_11.10c
du÷khenosreïa cÃrdita÷  SkP_5.44b
dÆtasyÃgamanaæ caiva  SkP_2.20c
dÆyatÃ h­dayena vai  SkP_10.29b
dÆyamÃna÷ prarodi«i  SkP_20.53b
d­ÓyatÃmidamÃsthitam  SkP_29.40b
d­Óyate na ca vidyayÃ  SkP_20.61b
d­Óyate parameÓvara÷  SkP_20.61d
d­ÓyaÓcaiva bhavasva na÷  SkP_9.14d
d­ÓyÃyÃd­ÓyarÆpiïe  SkP_21.48d
d­«ÂamÃtrasya ÓambhunÃ  SkP_13.37d
d­«ÂidÃya ca sarve«Ãæ  SkP_3.16c
d­«ÂisparÓavilÃse«u  SkP_29.233a
d­«Âena ca mayÃ Óubhe  SkP_29.87b
d­«ÂvÃ ca me tatra mÃtÃ  SkP_26.13c
d­«ÂvÃ cÃrcya ca mÃnava÷  SkP_29.15b
d­«ÂvÃ taæ sumahÃtmÃnaæ  SkP_1.20a
d­«ÂvÃ tu niyato martyo  SkP_29.36c
d­«ÂvÃ te sÆtamÃyÃntam  SkP_1.6a
d­«ÂvÃ divyena cak«u«Ã  SkP_3.26b
d­«ÂvÃ divyena cak«u«Ã  SkP_8.20b
d­«ÂvÃ d­«ÂvÃ mahÃmanÃ÷  SkP_5.24b
d­«ÂvÃ devÅmupÃgatÃm  SkP_12.38b
d­«ÂvÃ na jÃyate martya÷  SkP_29.59e
d­«ÂvÃ brahmasuta÷ prabhu÷  SkP_18.3b
d­«ÂvÃ megha÷ prabhÃkara÷  SkP_22.26b
d­«ÂvÃ sa tu tamÅÓÃnaæ  SkP_15.18a
d­«ÂvÃ saumyena cak«u«Ã  SkP_9.30b
d­«Âvedaæ madhyameÓÃnaæ  SkP_29.45e
d­«Âvedaæ manujo devi  SkP_29.40c
d­«Âvedaæ mÃnava÷ sadyo  SkP_29.47a
d­«Âvemaæ mama liÇgaæ tu  SkP_29.35a
d­«Âvainamapi deveÓaæ  SkP_29.27e
d­«Âvainamapi deveÓaæ  SkP_29.49e
d­«ÂvainamamareÓvaram  SkP_29.32d
d­«Âvainaæ prayato martya÷  SkP_29.23c
d­«Âvaiva sa maheÓÃnaæ  SkP_1.16a
d­«ÂvovÃca tato deva÷  SkP_29.128a
devakanyÃÓca k­tsnaÓa÷  SkP_13.72b
devakÃryakara÷ ÓrÅmÃn  SkP_6.11e
devagandharvacaritam  SkP_9.26a
devaguhyamayÃya ca  SkP_28.55d
devatÃdhipatirbhava÷  SkP_25.1b
devatÃnÃæ gaïairv­ta÷  SkP_7.26b
devatÃnÃæ tanÆstadÃ  SkP_13.52d
devatÃyatanÃni ca  SkP_27.42b
devatÃyai dhanasya ca  SkP_29.202b
devatÃyai vanasya ca  SkP_29.200d
devatÃste patanti sma  SkP_18.28a
devatÃste punarvibhum  SkP_13.57b
devatÅrthÃni k­tsnaÓa÷  SkP_29.80d
devatai÷ saha nityaÓa÷  SkP_28.13d
devatvaæ no vimÃrgeyur  SkP_30.11c
devadÃnavasiddhÃnÃæ  SkP_13.4a
devadeva umÃpati÷  SkP_29.65b
devadevamihÃyÃtaæ  SkP_13.47c
devadevasya ÓÆlina÷  SkP_16.2b
devadevasya saænidhau  SkP_25.36d
devadeva÷ paraæ dhÃma  SkP_13.49a
devadeva÷ ÓubhÃÓubham  SkP_27.5d
devadeva÷ sa lokapa÷  SkP_9.11b
devadeva÷ svayaæ Óiva÷  SkP_12.31b
devadevÃmbikÃpate  SkP_24.2b
devadevena pÃrvatyÃ  SkP_27.10c
devadevena ÓambhunÃ  SkP_13.34b
devadeve maheÓvare  SkP_29.60d
devadevo jagatpati÷  SkP_13.130b
devadevo maheÓvara÷  SkP_3.19b
devadevo maheÓvara÷  SkP_13.52b
devanadyo mahÃnadya÷  SkP_13.68c
devabhaktÃya vÃ bhavet  SkP_3.3d
devamÃnu«atiryak«u  SkP_5.25c
devamÃnu«asaækulÃ÷  SkP_4.21d
devarÃjastathÃ Óakro  SkP_30.62c
devarÃjo 'pi sa svayam  SkP_12.44d
devalaæ su«uve sutam  SkP_11.33d
devaÓcainamamanyata  SkP_30.18d
devaÓchÃyÃæ tato vÅk«ya  SkP_6.10a
devasenÃpradÃnaæ ca  SkP_2.25c
devasya paramapriya÷  SkP_23.42b
devasyÃgamanaæ caiva  SkP_2.19a
devasyÃrcÃdvayaæ Óubham  SkP_7.31b
devaæ candrÃrdhadhÃriïam  SkP_23.33b
devaæ japyeÓvaraæ ca tam  SkP_22.30b
devaæ devÅæ ca du÷khÃrtÃ  SkP_15.8c
devaæ lokeÓamavyayam  SkP_20.7b
devaæ vacanamabravÅt  SkP_29.179d
devaæ veddhumanÃbhavat  SkP_15.1d
devaæ sadÃbhyarcayate yatÃtmÃ  SkP_21.58b
devÃdaya÷ sarvajagannivÃsÃ÷  SkP_13.7c
devÃ divyena cak«u«Ã  SkP_8.35b
devÃdi«Âaæ prapedire  SkP_7.22d
devÃdÅnmanu«yÃdÅæÓca  SkP_5.24a
devÃdyÃsta ime s­«ÂÃ  SkP_13.45a
devÃdhipataye caiva  SkP_21.29c
devÃnÃmapi ceÓvara÷  SkP_25.29d
