Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
bhaveyaæ vaidya eva ca  Bca_3.7b
bhaveyaæ sarvadehinÃæ  Bca_3.18d
bhaveyu÷ prakaÂÃ÷ guïÃ÷  Bca_8.148b
bhasmani«ÂhÃvasÃno 'yaæ  Bca_8.178a
bhÃgo nÃlpo 'pi me tata÷  Bca_6.95d
bhÃvanÅyaiva ÓÆnyatÃ  Bca_9.54d
bhÃvayitvaivamÃdarÃt  Bca_7.46b
bhÃvayettadguïaj¤atÃm  Bca_5.76d
bhÃvayettena ÓÆnyatÃm  Bca_9.49d
bhÃvayedevamÃdarÃt  Bca_8.90b
bhÃvayedvividhairnayai÷  Bca_6.2d
bhÃvayer«yÃæ ca mÃnaæ ca  Bca_8.140c
bhÃvaÓcÃbhÃvatÃæ naiti  Bca_9.149c
bhÃvÃ nÃthena deÓitÃ÷  Bca_9.7b
bhÃvÃnÃæ nopapadyate  Bca_9.139d
bhÃvÃvasarasaæbhava÷  Bca_9.149b
bhÃve«vevaæ kva kupyate  Bca_6.31d
bhik«utaiva ca du÷khitÃ  Bca_9.45b
bhindanti dehaæ praviÓantyavÅcÅæ  Bca_6.120a
bhinnÃdhÃre kriyÃphale  Bca_9.72b
bhi«ajÅva hitodyate  Bca_6.110d
bhÅtaÓcittavraïaæ na kim  Bca_5.20d
bhÅtastatk«aïamuts­jet  Bca_5.46d
bhÅtÃÓca nirbhayÃ÷ santu  Bca_10.21a
bhÅtebhyo nÃbhayaæ dattam  Bca_7.38a
bhÅtyÃpyÃdarakÃriïÃm  Bca_5.30b
bhuktvÃ yaÓca vibudhyate  Bca_6.57b
bhu¤jÅta madhyamÃæ mÃtrÃæ  Bca_5.85c
bhÆtaæ hi vacanaæ mune÷  Bca_8.156d
bhÆtÃni cedbhavatvevaæ  Bca_9.119c
bhÆtvÃ bhÆtvÃ sukhocitÃ÷  Bca_9.157d
bhÆmiprÃptaÓcirÃyate  Bca_4.11d
bhÆmirapyaÓucirmatÃ  Bca_8.62d
bhÆmiæ chÃdayituæ sarvÃæ  Bca_5.13a
bhÆmi÷ sarvatra ti«Âhatu  Bca_10.35d
bh­Çgavat kusumÃnmadhu  Bca_8.16b
bh­tidÃnÃdivirater  Bca_6.78c
bh­tyaÓcaï¬an­paæ yathÃ  Bca_6.130d
bh­tyasyÃkurvata÷ karma  Bca_8.132c
bhai«ajyajÃtÃni ca yÃni santi  Bca_2.2b
bhai«ajyamidamuttamaæ  Bca_3.29b
bhai«ajyasÃdhyasya nirÃmayatvam  Bca_4.48d
bhok«ye tu«Âisukhaæ tasmÃt  Bca_5.77c
bhaujyaiÓca svÃdyairvividhaiÓca peyais  Bca_2.16c
mak«ikÃ÷ k­mayastathÃ  Bca_7.18b
maccittÃvasthitÃ eva  Bca_4.29a
ma¤jugho«aparigrahÃt  Bca_10.51d
ma¤jugho«aprabh­taya÷  Bca_2.22a
ma¤jugho«aæ namasyÃmi  Bca_10.58a
ma¤junÃthamavighnata÷  Bca_10.53d
maï¬ayantu mahÅtalam  Bca_10.36d
maï¬alÃni samantata÷  Bca_10.36b
mativeÓmani lobhapa¤jare  Bca_4.35c
mate÷ saæti«Âhate pura÷  Bca_9.35b
matkarmacoditÃ eva  Bca_6.47a
matkarmajanitÃ eva  Bca_6.46c
matsyÃdaya÷ kva nÅyantÃæ  Bca_5.11a
maddu÷khaæ na prabÃdhate  Bca_8.92b
madyadyÆtÃdi sevyaæ syÃn  Bca_6.91c
madvij¤aptyÃ tathÃtrÃpi  Bca_8.156a
madhurajinasvarÃÓanak­topacitadyutaya÷  Bca_7.44b
madhureïopacÃreïa  Bca_7.24c
manasÃ cintayitvÃpi  Bca_4.5a
manastvamapi taæ stutvÃ  Bca_6.76c
mana÷ Óamaæ na g­hïÃti  Bca_6.3a
mana÷ sukhÃbhimohitam  Bca_8.18b
manu«yadu÷khairnarakÃn  Bca_6.72c
manu«yÃïÃæ ÓarÅrakam  Bca_5.66d
manoj¤agandhodakapu«papÆrïai÷  Bca_2.11a
mano 'bhila«itaæ sarvaæ  Bca_10.20c
mano me yadi durbalam  Bca_7.52d
manoratha÷ Óubhak­tÃæ  Bca_7.42a
mano hantumamÆrtatvÃn  Bca_6.52a
mantrÃdÅnÃmasÃmarthyÃn  Bca_9.12a
mantrÃ÷ siddhantu jÃpinÃm  Bca_10.40b
mantrairiva vimohita÷  Bca_4.27b
mandav­tterna tatphalam  Bca_5.15b
mandÃravendÅvaramallikÃdyai÷  Bca_2.15a
mama kuÓalabalena prÃptadivyÃtmabhÃvÃ÷  Bca_10.10c
mama jÃta÷ kadÃcana  Bca_7.36b
mama tÃvadanena yÃti v­ddhiæ  Bca_1.3a
mama ye pratyupasthitÃ÷  Bca_6.99b
mama saæsÃrarati÷ kathaæ bhavet  Bca_4.34d
mamÃtmasnehadu÷saham  Bca_8.92d
mamaite copakÃriïa÷  Bca_6.49b
mayÃ kÃryaæ surak«itam  Bca_5.18b
mayÃ cÃnena copÃttaæ  Bca_6.108a
mayÃ tacca na sevitam  Bca_2.42d
mayÃnyadu÷khaæ hantavyaæ  Bca_8.94a
mayÃ pÃpena nÃyakÃ÷  Bca_2.31b
mayÃpi ca yathÃÓakti  Bca_4.3c
mayÃpi pÆrvaæ sattvÃnÃm  Bca_6.42a
mayÃ bÃlena mÆ¬hena  Bca_2.64a
mayÃyaæ sarvadehinÃæ  Bca_3.12b
mayÃ vÃ pÃlitasyaivaæ  Bca_8.181a
mayÃ hi sarvaæ jetavyam  Bca_7.55a
mayaivÃtra k­to vighna÷  Bca_6.103c
mayaivÃmÅ hatÃ nanu  Bca_6.47d
mayaivaikena kartavyam  Bca_7.49c
mayaivaikena so¬havyÃ  Bca_2.41c
mayai«a kriyate '¤jali÷  Bca_5.23b
mayai«a mÃno vo¬havyo  Bca_7.55c
mayyaprasÃdo yo 'nye«Ãæ  Bca_6.54a
maraïaæ ÓÅghrame«yati  Bca_2.33d
maraïaæ ÓÅghrame«yati  Bca_7.7b
maraïÃjjÃyate bhayam  Bca_8.17d
marmacchedÃdivedanÃ  Bca_2.41d
malapaÇkadharo nagna÷  Bca_8.68c
mahatÃmapi durjaya÷  Bca_7.53d
mahatÃ hi balena pÃpakarma  Bca_1.35c
mahatkaï¬vÃdidu÷khaæ ca  Bca_6.15c
mahatsvapi hi k­cchre«u  Bca_7.61a
mahaddu÷khaæ paratra ca  Bca_5.78d
mahÃkÃruïikÃæÓcÃpi  Bca_2.27c
mahÃkÃÓyapamukhyaiÓca  Bca_9.52a
mahÃk­pÃ mÃmanukampamÃnÃ÷  Bca_2.6d
mahÃtrÃsajvaragrasta÷  Bca_2.45c
mahÃdu÷khakare«vapi  Bca_6.22b
mahÃpakÃri«vapi tena sarva-  Bca_6.120c
mahÃpÃyaprapÃtane  Bca_9.162b
mahÃprÃj¤aiÓca tatsutai÷  Bca_4.3b
mahÃyÃnaæ bhavatsÆtrai÷  Bca_9.50c
mahÃyÃnÃrthakovidam  Bca_5.102d
mahÃyÃne 'pi tÃæ kuru  Bca_9.43b
mahÃrïavayugacchidra-  Bca_4.20c
mahÃrthaæ ca kari«yati  Bca_6.75b
mahÃrhasiddhyai tu samudyatasya  Bca_4.39c
mahÅdharÃ ratnamayÃstathÃnye  Bca_2.3a
mahotsavasukhaæ mayÃ  Bca_7.37b
mÃ kaÓciddu÷khita÷ sattvo  Bca_10.41a
mÃtÃpit­«u vÃ mayÃ  Bca_2.30b
mÃ tu cittaæ kadÃcana  Bca_5.22d
mÃnaÓatruvaÓÃÓca te  Bca_7.56d
mÃnasaæ sukhamicchatÃ  Bca_6.91d
mÃnastabdhÃstapasvina÷  Bca_7.58b
mÃnaæ tvÃrabhya bhÃvayet  Bca_7.46d
mÃnÃccenna karomyetan  Bca_7.51c
mÃnÃrthaæ dÃsatÃæ yÃnti  Bca_8.77c
mÃnÅ ÓatruvaÓaæ naiti  Bca_7.56c
mÃnu«amatidurlabhaæ  Bca_4.20b
mÃnu«yaæ nÃvamÃsÃdya  Bca_7.14a
mÃnu«yaæ labhyate puna÷  Bca_4.17b
mÃnu«ye 'pi hatotsavÃ÷  Bca_7.57b
mÃnena durgatiæ nÅtÃ  Bca_7.57a
mÃno naÓyatu me varam  Bca_7.51d
mÃnonnatÃstamanihatya na yÃnti nidrÃæ  Bca_4.36d
mÃ pÃpÅ mÃ ca rogita÷  Bca_10.41b
mÃ bhÆt kaÓcicca durmanÃ÷  Bca_10.41d
mÃbhÆtte«Ãæ kadÃcana  Bca_10.3b
mÃ bhÆdandhamidaæ jagat  Bca_3.5d
mÃ bhÆnme m­tyuracirÃd  Bca_2.32c
mÃ mamÃk«ÅïapÃpasya  Bca_2.33c
mÃmÃlambya kadÃcana  Bca_3.14d
mÃmÃlambya matirbhavet  Bca_3.15b
mÃmÃÓritya tu yÃntyete  Bca_6.48c
mÃmevÃnye jugupsanti  Bca_8.21a
mÃmevÃnye praÓaæsanti  Bca_8.21c
mÃyayÃ nirmitaæ yacca  Bca_9.144a
mÃyÃ kenopalabhyate  Bca_9.15d
mÃyÃta÷ ko viÓe«o 'sya  Bca_9.143c
mÃyÃdevÅva nirvyathÃ÷  Bca_10.19d
mÃyÃpuru«aghÃtÃdau  Bca_9.11a
mÃyÃpyucchidyate na hi  Bca_9.14d
mÃyaiveyamato vimu¤ca h­dayatrÃsaæ bhajasvodyamaæ  Bca_4.47c
mÃyopamatve 'pi j¤Ãte  Bca_9.31a
mÃyopamÃjjinÃt puïyaæ  Bca_9.9a
mÃrakarmavivarjitÃ÷  Bca_10.32d
mÃraïÅya÷ kathaæ chittvÃ  Bca_6.72a
mÃrayeyaæ yato na tÃn  Bca_5.11b
mÃritÃ÷ sarvaÓatrava÷  Bca_5.12d
mÃrite krodhacitte tu  Bca_5.12c
mÃrgamapyevamÃdiÓet  Bca_5.94d
mÃrgÃdau bhayabodhÃrthaæ  Bca_5.37a
mÃ hÅna÷ paribhÆto vÃ  Bca_10.41c
mÃæsakardamasaæliptaæ  Bca_8.52c
mÃæsapriyo 'hamasyeti  Bca_8.54a
mÃæsaæ tvaæ kathamicchasi  Bca_8.54d
mÃæsÃsthi tyajatastasya  Bca_7.26c
mÃæsocchrayamimaæ d­«ÂvÃ  Bca_8.47a
mithaÓchedanabhedanai÷  Bca_9.156b
mithyÃkalpanayÃ citte  Bca_7.27c
mithyeyaæ pratikalpanÃ  Bca_8.98b
muktaÓcittamataÇgaja÷  Bca_5.2d
muktaÓcetkimabhadrakam  Bca_6.72b
muktaÓcetkimabhadrakam  Bca_6.72d
muktÃmayodbhÃsivitÃnake«u  Bca_2.10b
muktyarthinaÓcÃyuktaæ me  Bca_6.100a
muktvÃ taruïapaÇkajam  Bca_8.57b
muktvÃ dharmaratiæ Óre«ÂhÃm  Bca_7.15a
mukhak«iptavis­«Âe«u  Bca_8.62c
mukhapÆraæ na bhu¤jÅta  Bca_5.92a
mukhaæ jÃlikayÃv­tam  Bca_8.44d
mukhyaæ daï¬Ãdikaæ hitvÃ  Bca_6.41a
mucyantÃæ sarvabandhanÃt  Bca_10.22b
mucyamÃne«u sattve«u  Bca_8.108a
munikarabodhitÃmbujavinirgatasadvapu«a÷  Bca_7.44c
muneÓcÃnyÃrthakÃriïa÷  Bca_8.130d
mu«itÃ yÃnti durgatim  Bca_5.27d
muhu÷ paÓyeccaturdiÓam  Bca_5.37b
muhÆrtamaparo yaÓca  Bca_6.57c
mÆ¬ha kÃlo na nidrÃyÃ  Bca_7.14c
mÆ¬hÃ÷ kÃmavi¬ambitÃ÷  Bca_8.77d
mÆtrÃdeÓcÃpi garhitam  Bca_5.91d
mÆrkhÃ durdarÓanÃ÷ k­ÓÃ÷  Bca_7.57d
mÆlÃpattÅrnirÆpayet  Bca_5.104d
m­gyamÃïÃ svabhÃvata÷  Bca_9.153d
m­gyamÃïo vicÃrata÷  Bca_9.75d
m­taæ duï¬ubhamÃsÃdya  Bca_7.52a
m­tÃ÷ patantyapÃye«u  Bca_9.157a
m­te kasya ca tatsukham  Bca_6.92d
m­tpÃtramÃtravibhavaÓ  Bca_8.29a
m­tyugrasto 'marÃkÃra  Bca_7.13c
m­tyudu÷khaæ tadaiva me  Bca_6.56d
m­tyurÃcchidya nirdaya÷  Bca_5.67b
m­tyurviÓrambhaghÃtaka÷  Bca_2.34b
m­tyuÓabdo 'pi naÓyatu  Bca_10.33d
m­tyorvadanamÃgata÷  Bca_7.4d
m­dÃdyamedhyaliptatvÃd  Bca_8.58a
m­dumandasvaraæ vadet  Bca_5.79d
m­dvÅ ca vaidÆryamayÅ  Bca_10.35c
m­nmardanat­ïaccheda-  Bca_5.46a
merorapi yadÃsaÇgÃn  Bca_4.31a
maitracittÃ÷ parasparam  Bca_6.69d
maitrÅmayebhyo 'pi nivedayÃmi  Bca_2.18d
maitreyanÃtha÷ sudhanÃya dhÅmÃn  Bca_1.14d
maitryÃÓayaÓca yatpÆjya÷  Bca_6.115a
mok«eïÃrasikena kim  Bca_8.108d
mocayatyeva tÃnnarÃn  Bca_4.7d
modantÃæ te«u dehina÷  Bca_10.4d
mohÃccennek«ate loka÷  Bca_9.137c
mohÃdeke 'parÃdhyanti  Bca_6.67a
mohÃddu÷khaprapÃtinÃm  Bca_3.4d
mohÃnunayavidvai«ai÷  Bca_2.39c
mohena du÷khinÃmarthe  Bca_9.53c
mriyate caika eva hi  Bca_8.33b
mriyamÃïo na Óocati  Bca_8.36d
yacca Óakyaæ na tadvetti  Bca_8.55c
yaccÃnumoditaæ kiæcid  Bca_2.29a
yaccintayanti te nÃthÃs  Bca_10.49c
yatastato vÃstu bhayaæ  Bca_9.57a
yatastannirgataæ kÃyÃt  Bca_8.58c
yata÷ puna÷ saæbh­taÓaktireti  Bca_4.45c
yata÷ prabh­tyaparyanta-  Bca_1.18a
yata÷ sukhenaiva sukhaæ prav­ddham  Bca_1.7c
yata÷ svÃdhikyav­ddhaye  Bca_8.147b
yatirdhÅro na khaï¬yate  Bca_5.21d
yatetotsÃhav­ddhaye  Bca_7.32b
yato narakapÃlÃstvÃæ  Bca_6.89c
yato nivÃryate yatra  Bca_5.107a
yato me 'naparÃdhasya  Bca_6.106c
yatkÃyacittÃvasthÃyÃ÷  Bca_5.108c
yatkiæcijjagato du÷khaæ  Bca_10.56a
yatkiæcitpÃpamÃcitaæ  Bca_2.64b
yatk­taæ dÃruïaæ pÃpaæ  Bca_2.31c
yatkheditÃstanmunaya÷ k«amantÃm  Bca_6.124d
yattadÃtmeti kalpitam  Bca_6.27b
yattaæ rak«Ãmi netaram  Bca_8.96d
yatpaÂorekakasyÃpi  Bca_5.15c
yatparÃrthÃÓayo 'nye«Ãæ  Bca_1.25c
yatpratyayÃ ca tatrÃsthÃ  Bca_9.43a
yatpradhÃnaæ kilÃbhÅ«Âaæ  Bca_6.27a
yat prasÃdÃcca vardhata iti  Bca_10.58d
yat prasÃdÃnmati÷ Óubhe  Bca_10.58b
yatra kalpÃrïavai÷ k«aya÷  Bca_7.33d
yatra cchanne 'pyayaæ rÃgas  Bca_8.51a
yatra tatra ratiæ yÃti  Bca_8.18a
yatra yatraiva gacchati  Bca_7.42b
yatra yatraiva gacchati  Bca_7.43b
yatrÃpakÃro 'pi sukhÃnubandhÅ  Bca_1.36c
yatroditaæ tadvaracittaratnaæ  Bca_1.36b
yatsattvadaurmanasyena  Bca_6.131c
yatsattvasaumanasyena  Bca_6.132c
yatsaæto«asukhaæ bhuÇkte  Bca_8.88c
yatsaævegÃnmadacyuti÷  Bca_6.21b
yatsÆtre 'vataredvÃkyaæ  Bca_9.50a
yatsvamÃæsÃnyapi tyajet  Bca_7.25d
yathÃ kaÓcinna jÃnÅyÃd  Bca_8.164c
yathÃkÃmaÇgamaæ kÃyaæ  Bca_5.70c
yathÃ gÃru¬ika÷ stambhaæ  Bca_9.37a
yathÃ g­hÅtaæ sugatair  Bca_3.22a
yathÃgnimaparityajya  Bca_8.135c
yathÃgnau dahanÃtmake  Bca_6.39d
yathÃ capalamadhyastho  Bca_5.19a
yathÃtmabuddhirabhyÃsÃt  Bca_8.115a
yathÃ d­«Âaæ Órutaæ j¤Ãtaæ  Bca_9.26a
yathÃ nÃrakapak«iïa÷  Bca_6.46b
yathÃ pÃæÓug­he bhinne  Bca_6.93a
yathÃ pÆrvaæ vicÃritam  Bca_9.97d
yathÃpyayuktastatkopa÷  Bca_6.40c
yathÃprasiddhamÃÓritya  Bca_9.109c
yathÃ prasthÃnacetasa÷  Bca_1.17d
yathÃ baddho na mucyate  Bca_5.40d
yathÃbhÅ«ÂÃ÷ karÃdaya÷  Bca_8.114b
yathÃ bheda÷ pratÅyate  Bca_1.16b
yathÃbhogÃnyanekadhÃ  Bca_3.20d
yathÃ madhyÃhnasaætapta  Bca_7.65c
yathÃ yathÃsya kÃyasya  Bca_8.174a
yathÃ ratnamavÃpnuyÃt  Bca_3.27b
yathÃ vÃyuæ vinÃgati÷  Bca_7.1d
yathÃvÃsaparigraha÷  Bca_8.34b
yathÃsaækhyena paï¬itai÷  Bca_1.16d
yathÃsaæj¤isamÃpattau  Bca_9.49c
yathÃsukhÅk­taÓcÃtmÃ  Bca_3.12a
yathecchÃparipÆraïa÷  Bca_9.36b
yathaiko rÃjapuru«a÷  Bca_6.128a
yathaiva kadalÅstambho  Bca_9.75a
yathaiva tÆlakaæ vÃyor  Bca_7.75a
yathaivÃhaæ puna÷ puna÷  Bca_4.14b
yathoktaÓik«Ãpratipattiheto÷  Bca_4.48b
yathottarakurau narÃ÷  Bca_10.17d
yathotti«Âhati satvaram  Bca_7.71b
yadanyasaænidhÃnena  Bca_9.145a
yadabhyÃsasya du«karam  Bca_6.14b
yadayuktaæ nivartyaæ tat  Bca_8.100c
yadarthamiva vikrÅta  Bca_8.75a
yadarthameva jÅvÃmi  Bca_6.61a
yadarthaæ gaïitÃ purÃ  Bca_8.41d
yadarthaæ dÆtadÆtÅnÃæ  Bca_8.41a
yadÃ kuÓalayogyo 'pi  Bca_4.18a
yadÃ ca dra«ÂukÃma÷ syÃæ  Bca_10.53a
yadÃcarati ma¤juÓrÅ÷  Bca_10.54c
yadÃ calitukÃma÷ syÃd  Bca_5.47a
yadÃtmotkar«aïÃbhÃsaæ  Bca_5.50a
yadÃ d­«ÂÃ na kenacit  Bca_9.23b
yadÃ na bhÃvo nÃbhÃvo  Bca_9.35a
yadÃ na bhrÃntirapyasti  Bca_9.15c
yadÃ na labhyate bhÃvo  Bca_9.34a
yadÃ na vedaka÷ kaÓcid  Bca_9.99a
yadÃ paÓyetsvakaæ mana÷  Bca_5.48b
yadÃ mama pare«Ãæ ca  Bca_8.95a
yadÃ mama pare«Ãæ ca  Bca_8.96a
yadÃ mÃnamadÃnvitam  Bca_5.49b
yadÃ mÃyÃstriyÃæ rÃgas  Bca_9.31c
yadÃ mÃyaiva te nÃsti  Bca_9.16a
yadÃ ÓÃke«viva praj¤Ã  Bca_7.26a
yadÃÓrayÃduttarati k«aïena  Bca_1.13b
yadi keÓanakhairdÅrghair  Bca_8.68a
yadicaivaæ pratij¤Ãya  Bca_4.4a
yadi caivaæ vim­«yÃmi  Bca_4.24a
yadicchasi na taccittaæ  Bca_8.55a
yadi j¤ÃnavaÓÃdartho  Bca_9.112c
yadi tannÃnubhÆyate  Bca_9.90b
yadi ti«Âhati kuta÷ sukhaæ mama  Bca_4.35d
yadi tu khecchayÃ siddhi÷  Bca_6.34a
yadi tena na tallabdhaæ  Bca_6.84a
yadi te nÃÓucau rÃga÷  Bca_8.52a
yadi te nÃÓucau rÃga÷  Bca_8.59a
yadi dÃsyÃmi kiæ bhok«ya  Bca_8.125a
yadi du÷khaæ vigacchati  Bca_8.105b
yadi d­«Âaæ nidarÓaya  Bca_9.96d
yadi na spra«Âumicchasi  Bca_8.58b
yadi nÃtra vicintyate hitaæ  Bca_1.4c
yadi nÃma pramÃdata÷  Bca_8.171b
yadi nÃsti svasaævittir  Bca_9.24a
yadi pratyak«amapyetad  Bca_8.63a
yadi prÅtisukhaæ prÃptam  Bca_6.76a
yadi bhok«ye kiæ dadÃmÅti  Bca_8.125c
yadi mÃyopama÷ sattva÷  Bca_9.9c
yadi yasyaiva yaddu÷khaæ  Bca_8.99a
yadi«ÂatvÃnna g­hyate  Bca_8.177d
yadi sattvo na vidyeta  Bca_9.76a
yadi sarve«u kÃyo 'tham  Bca_9.81a
yadi syurmama Óatrava÷  Bca_4.30b
yadi svabhÃvadaurgandhyÃd  Bca_8.66a
yadi svabhÃvo bÃlÃnÃæ  Bca_6.39a
yadÅd­Óaæ k«aïaæ prÃpya  Bca_4.23c
yadeva ca niyujyate  Bca_5.107b
yadevÃpadyate karma  Bca_7.62a
yadaivaæ kleÓavaÓyatvÃd  Bca_6.37a
yaddu÷khajananaæ vastu  Bca_9.56a
yadbuddhatvasamaæ bhavet  Bca_6.132b
yadbuddhvÃ kartumÃrabdhaæ  Bca_5.43a
yadbodhicittatyÃge 'pi  Bca_4.7c
yadyadvastvanubhÆyate  Bca_2.36b
yadyapyanye«u dehe«u  Bca_8.92a
yadyapyanyo 'sti tattvata÷  Bca_9.16d
yadyapyasya bhavellÃbho  Bca_8.153a
yadyaÓakto yathÃsukham  Bca_5.42b
yadyasau me 'nabhÅpsita÷  Bca_6.55b
yadyasti du÷khaæ tattvena  Bca_9.89a
yadyastyeva pratÅkÃro  Bca_6.10a
yadyahaæ nÃma kiæcana  Bca_9.57b
yadyÃtmaprÅtirasti te  Bca_8.173b
yadyÃtmÃ rak«itavyo 'yaæ  Bca_8.173c
yadyÃtmÃ rak«ito mayÃ  Bca_6.50d
yadyetanmÃtramevÃdya  Bca_6.73a
yadyevaæ saæv­tirnÃsti  Bca_9.107a
yadvaÓaæ so 'pi cÃvaÓa÷  Bca_6.31b
yadvÃkyaæ nÃvagÃhyate  Bca_9.52b
yadvicintayata÷ Óubham  Bca_10.1b
yanna kÃye na cÃnyatra  Bca_9.104a
yanna Óik«yaæ jinÃtmajai÷  Bca_5.100b
yanmama kleÓavairiïÃæ  Bca_4.32d
yanmayÃ paÓunÃ pÃpaæ  Bca_2.28c
yanmayÃsÃditaæ Óubhaæ  Bca_3.6b
yanmÆ¬hai÷ satyata÷ k­tam  Bca_9.143d
yamadÆtamukhÃni ca  Bca_7.9d
yamadÆtÃdayo du«ÂÃs  Bca_2.53c
yamadÆtairadhi«Âhita÷  Bca_2.45b
yamadÆtairg­hÅtasya  Bca_2.42a
yamadÆtai÷ pracodita÷  Bca_4.24d
yamapuru«ÃpanÅtasakalacchavirÃrtaravo  Bca_7.45a
yamenodvÅk«yamÃïasya  Bca_7.6a
yayaivÃtmonnatÅcchayÃ  Bca_8.127b
yaÓo 'rthaæ hÃrayantyartham  Bca_6.92a
yaÓo 'sya malinÅkuru  Bca_8.163b
yaste«Ãæ bodhimicchati  Bca_6.83b
yaste«Ãæ sukharaÇkÃïÃæ  Bca_1.29a
yasmÃcciramapi sthitvÃ  Bca_6.56c
yasmÃttatra pradarÓita÷  Bca_5.105d
yasmÃttathÃgata÷ satyaæ  Bca_7.17c
yasmÃdabhyÃsaÓaktita÷  Bca_8.119b
yasmÃdÃpadyamÃno 'sau  Bca_4.8c
yasmÃduktamupek«aïam  Bca_5.42d
yasmÃdubhayasiddho 'sau  Bca_9.42c
yasmÃdbÃlasya jÃyate  Bca_8.24d
yasmÃdbhayÃni sarvÃïi  Bca_5.6a
yasmÃnna tamasÃv­ta÷  Bca_9.19b
yasmÃnna madvadhÃdanyat  Bca_6.8c
yasmÃnnarakapÃlÃÓca  Bca_6.130a
yasmÃnnaiva sa ekÃkÅ  Bca_6.129a
yasminnÃtmanyatisnehÃd  Bca_8.121a
yasmiæÓca sati vidyate  Bca_6.104b
yasya tvetaddvayaæ satyaæ  Bca_9.112a
yasya du÷khaæ sa nÃstyasmÃt  Bca_8.101c
yasya nÃnubhavÃtmatÃ  Bca_9.90d
yasyÃttadvedayanneva  Bca_4.22c
yasyÃnuÓaæsÃnamitÃnuvÃca  Bca_1.14c
yasyaiva ÓravaïÃttrÃsas  Bca_8.119c
yaæ d­«Âvaiva ca saætrastÃ÷  Bca_2.53a
ya÷ krodhaæ hanti nirbandhÃt  Bca_6.6c
ya÷ paÓorapyadurlabha÷  Bca_8.81b
ya÷ pÆrvavatkriyÃkÃle  Bca_6.30a
ya÷ ÓÅghraæ trÃtumicchati  Bca_8.120b
yÃ avasthÃ÷ prapadyeta  Bca_5.99a
yÃcayÃmi k­tÃ¤jali÷  Bca_3.5b
yÃti ceti nirÆpyatÃm  Bca_9.144d
yÃtyarjanena tÃruïyaæ  Bca_8.72c
yÃnaæ ÓayanamÃsanam  Bca_5.93b
yÃni te«Ãæ sukhÃvahaæ  Bca_3.14b
yÃnyeva ca pari«vajya  Bca_8.42c
yÃpayanti suk­cchreïa  Bca_9.156c
yÃpayeyaæ balÃnvita÷  Bca_10.52b
yÃvacca jagata÷ sthiti÷  Bca_10.55b
yÃvatpratyayasÃmagrÅ  Bca_9.10a
yÃvatpratyayasÃmagrÅ  Bca_9.85a
yÃvat pramuditÃæ bhÆmiæ  Bca_10.51c
yÃvatsarve na nirv­tÃ÷  Bca_3.21d
yÃvatsaæbh­tasaæbhÃraæ  Bca_7.7a
yÃvadÃbodhimaï¬ata÷  Bca_2.26b
yÃvad naganaga¤javat  Bca_10.28b
yÃvadrogÃpunarbhava÷  Bca_3.7d
yÃvantaste karÃdaya÷  Bca_9.82d
yÃvanti du÷khÃni bhayÃni caiva  Bca_8.134b
yÃvanti pu«pÃïi phalÃni caiva  Bca_2.2a
yÃvanto nÃrakÃ÷ kecid  Bca_10.4a
yÃvanna Óatrava ime nihatÃ÷ samak«aæ  Bca_4.36b
yÃsyÃmi mu«ito yathÃ  Bca_6.59d
yÃ÷ kÃÓcana striyo loke  Bca_10.30a
yuktaÓcedÃtmanÃ vinÃ  Bca_9.71b
yuktaæ g­dhraÓ­gÃlÃder  Bca_5.66a
yuktaæ bhayamihaiva te  Bca_7.11b
yuktÃ pratÅtyatÃ yasmÃd  Bca_6.32c
yuktÃ rÃtrindivaæ sadÃ  Bca_2.63b
yugÃntakÃlÃnalavanmahÃnti  Bca_1.14a
yuddhe ca sulabhÃ vyathÃ  Bca_6.19d
yu«mÃsu dÃsatvamupaimi bhaktyÃ  Bca_2.8d
ye kapÃÂatvamÃgatÃ÷  Bca_6.101b
ye kecit sukhitÃ loke  Bca_8.129c
