Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
kim anarthÃya kevalam  Pnc_16.98b
kim anyaj jÃyatÃm e«a  Pnc_16.103a
kim anyat tava saætu«Âyai  Pnc_6.29a
kim anyat samam etena  Pnc_16.118a
kim anyad atrollasitaæ jagattraye  Pnc_7.74a
kim anyad asyÃÓ caritair n­pasya  Pnc_1.13a
kim anyad asyÃ÷ k­tapÃïipÅ¬ana÷  Pnc_7.76a
kim anyad Ãrohati yasya sÃmyaæ  Pnc_1.88c
kim anyad uktaæ sudhayeva sÃndrayÃ  Pnc_7.22a
kim anyad utti«Âha g­hÃïa yÃtrÃæ  Pnc_9.60a
kim anyan ``nÃrthinÃæ matto  Pnc_16.91a
kim anyÃyamalÅyase  Pnc_16.111b
kim aparam anugamya e«a haæsa÷  Pnc_3.25 aa
kim api bhaved ayam asya hetu÷  Pnc_3.30d
kim api manasijena ÓÃsanÃÇka÷  Pnc_3.60c
kim api vyÃkulÃbhavat  Pnc_16.56d
kim api Ólathamu«ÂinÃ  Pnc_2.40b
kim api sp­haïÅya e«a me  Pnc_12.19c
kim apÅpsitam Ãtmano vidhÃtur  Pnc_5.75c
kim apy aÓokastabakaÓ cakÃsti  Pnc_14.44d
kim apy aho vismayate mano me  Pnc_9.33d
kim apy ÃÓaÇkate mana÷  Pnc_16.18d
kim apy uda¤caddaÓanÃæÓulekhÃ  Pnc_9.17c
kim ayaæ na eva jana÷ paricchadas te  Pnc_5.4b
kim ayaæ mayi saæbhramo 'yam ÃstÃæ  Pnc_5.4a
kim artham asi kathyatÃm  Pnc_16.83b
kim arthyase kiæ tv iyad eva Óaæso na÷  Pnc_7.54b
kim asi cakitÃ mÃ tvaæ bhai«År ito bhava lajjayÃ  Pnc_7.82c
kim ÃkaÇk«ati va÷ svÃmÅ  Pnc_16.81c
kim ÃgatÃsi kiæ caivaæ  Pnc_16.18a
kim Ãdidevaæ kaæsÃriæ  Pnc_16.108c
kim ÃyÃnti bhavadvidhÃ÷  Pnc_16.79d
kim ÃryamÃ nÃdhita sÆtakarmaïi  Pnc_13.62d
kim Ãlikhitavaty e«Ã  Pnc_6.84a
kim ÃÓramaæ ÓÆnyam idaæ tapodhanair  Pnc_13.51a
kim ita÷ kalpitarÃjahaæsarÆpa÷  Pnc_5.69b
kim iti jyÃkiïalÃ¤chito bhujas te  Pnc_5.50b
kim indumukhi lajjase  Pnc_6.58b
kim u tat kathayÃmi sammataæ cet  Pnc_5.5c
kim udgame candramasa÷ kumudvatÅ  Pnc_7.21d
kim u na tyÃgavaÓaævadÃ dadÃti  Pnc_5.77d
kim u nirmukheÇgitavidas tadiÇgitam  Pnc_10.36d
kim u yuvatir iyaæ bhujaÇgabhartur  Pnc_3.68c
kim u vipulam imaæ manu«yalokaæ  Pnc_3.68a
kim etayÃ na÷ prak­te yatÃmahe  Pnc_7.57b
kim evam avati«Âhadhvai  Pnc_6.19a
kim e«a nÃma vyatiricyate jana÷  Pnc_7.45b
kiyac ciraæ candramaïir bibharti  Pnc_9.32d
kiyac ciraæ candramarÅcicumbite  Pnc_13.16c
kiyac ciraæ nirvacanaiva ti«Âhasi  Pnc_7.55b
kiyatÃpy atha kÃlena  Pnc_16.64a
kiyat tayÃ pannagarÃjaputryÃ  Pnc_9.2b
kiyad api sarasas taÂe sa gatvÃ  Pnc_3.52c
kiraïalatÃnikareïa hÃraya«Âe÷  Pnc_3.9b
kirÅÂamÃïikyacayaæ jahÃra  Pnc_17.68b
kirÅÂaratnadyuticumbitÃÇghrau  Pnc_1.84b
kirÅÂaratnadyutidÅptabhÆtalaæ  Pnc_13.12c
kirÅÂÅ kÃ¤canÃÇgada÷  Pnc_11.68b
kirmÅravÃrilaharÅsuh­da÷ kaÂÃk«Ã÷  Pnc_18.5d
kisalayakalitÃ¤jaliæ tvarÃvÃn  Pnc_3.34a
kisalayam iva bÃlacandanasya  Pnc_3.18c
kiæ ca kÃ¤canakapÃÂasaæpuÂaæ  Pnc_8.62c
kiæ cÃparam tvam etasyÃ  Pnc_16.44a
kiæ cit kiæ cid avÅjyata  Pnc_2.89d
kiæcit trapÃnuviddhena  Pnc_6.45a
kiæ cid antaritamÆrtibhi÷ k«aïÃd  Pnc_8.41a
kiæ cid asya purato 'tha gacchata÷  Pnc_8.53a
kiæcid unnamayÃnanam  Pnc_6.62b
kiæcid vilambya dadhatÅ trapayÃ padÃni  Pnc_18.37d
kiæ tÃmyasi tavopÃntam  Pnc_6.70a
kiæ nimagnam iha bÃlayÃ tayÃ  Pnc_8.30a
kiævadantÅ kiyaty api  Pnc_16.16d
kiæ vÃlukÃparvatake dhareyam  Pnc_1.9c
kiæ syÃd analasÃrathe÷  Pnc_2.47d
kÅrïÃsu muktÃnikareïa yasya  Pnc_1.69c
kÅrtibhir yasya kundendu-  Pnc_11.83c
kuÇkumena dalakoÂicumbinÃ  Pnc_8.25b
kucakalaÓakuÇkumÃÇkitÃ  Pnc_15.14b
kucakalaÓatÃ¬itaæ paya÷  Pnc_15.11b
kucakalaÓÃntaramartyayo«ito vÃ ?  Pnc_3.24b
kucamukulavicitrapatravallÅ-  Pnc_3.67c
kucayo÷ pratibimbita÷ samaæ  Pnc_12.59a
kucaluptapatralatayÃtha  Pnc_15.10a
kucÃÇgarÃga÷ k­ÓamadhyayÃ tayÃ  Pnc_13.3a
kuce kiæ cid atudyata  Pnc_6.86d
kucair ivodyÃnabhuvo vibhÃnti  Pnc_1.51d
kuï¬alÅk­takaras tam abhyagÃt  Pnc_8.54c
kutas trapÃ tavÃlÅ«u  Pnc_6.62a
kutÆhalabalÃd iha  Pnc_11.104d
kutÆhalarasormi«u  Pnc_2.51b
kutÆhalaæ me h­daye ni«i¤cati  Pnc_4.22d
kutÆhalÃk«iptanime«alÃsyayÃ  Pnc_4.39c
kutÆhalÃdhyÃsitamadhyalokayÃ  Pnc_7.49a
kutÆhaleneva guïÃ ghaÂante  Pnc_1.86d
kutÆhalollolÃsitapak«alekhÃny  Pnc_14.5a
kundacchaÂÃpÃï¬usaÂÃkalÃpa÷  Pnc_14.8c
kupiteva nivartate javÃt  Pnc_12.37c
KumÃranÃrÃyaïam Ãhur anye  Pnc_1.59d
kumudavanÃni puro 'sya na trapante  Pnc_3.64b
kumudasyeva cak«u«a÷  Pnc_6.53b
kumudÃmodamucÃ Óanair ita÷  Pnc_12.64b
kumudenaiti rucaæ kumudvatÅ  Pnc_12.44d
kumude«u tathÃ hi d­ÓyatÃæ  Pnc_12.54c
kumudvatÅkÃnta ivÃmbare sthita÷  Pnc_4.26d
kumudvatÅkÃntakarÃnuviddhÃs  Pnc_14.57c
kumudvatÅkÃntakaropamÃni  Pnc_14.18b
kumudvatÅcandramasor ivocita÷  Pnc_7.67b
kumudvatÅm ivoda¤cat-  Pnc_6.8c
kumbhasthalÅ rak«atu vo vikÅrïa-  Pnc_1.3a
kumbhe«u cakrai÷ kariïÃæ patadbhi÷  Pnc_17.24b
kuraÇgÃnve«aïe tava  Pnc_2.55b
kurabakavanata÷ kadambarÃjiæ  Pnc_3.39a
kuru vijayam ito mamÃrpya etad  Pnc_3.40a
kuru«va tÃvad Ãtithyaæ  Pnc_16.90c
kurvatÅva phaïilokam aÇkitaæ  Pnc_8.71c
kurvanti yasyÃæ kusume«ukeli-  Pnc_1.40a
kurvan mukhÃni smerÃïi  Pnc_16.78a
kulagirikuharapratidhvÃnaæ dÅrghair nirundhan diÓa÷  Pnc_13.72d
kulÃcalendrapracayopameyam  Pnc_17.4d
kuvalayad­ÓÃæ d­Óo 'ntarÃt  Pnc_15.22b
kuvalayasugandhisÅdhu«u  Pnc_15.51b
kuÓalaæ kuto 'sti guïinÃæ ja¬Ãntare  Pnc_15.16d
kuÓalaæ kuladevatÃ÷  Pnc_6.85d
kusumaprastare ca sa  Pnc_2.87b
kusumavatÅæ navamÃdhavÅæ vilaÇghya  Pnc_3.36b
KusumaÓarasakhasya kasya cit kiæ  Pnc_3.70a
kusumaÓaro 'sya babhÆva pÃrÓvavartÅ  Pnc_3.72d
kusumÃnamraÓÃkhinÃ  Pnc_11.3b
kusume«ukÃrmukalateva vÃruïÅ  Pnc_15.53d
kusumair navamÃdhavÅ  Pnc_6.79b
kÆjantÅ kokilavadhÆr  Pnc_6.71a
k­cchrÃt prativaco dadau  Pnc_6.41d
k­cchrÃd Ãk­«yate mana÷  Pnc_2.92d
k­tacÃÂuÓatai÷ parasparaæ  Pnc_12.63a
k­tanÆtanÃrgalakapÃÂasaæpuÂÃæ  Pnc_10.32a
k­tapaÇkajaku¬malÃ¤jalir  Pnc_12.32c
k­tapa¤camamÆrcchanÃ÷  Pnc_6.13b
k­tapa¤cÃnanasthiti÷  Pnc_11.54b
k­tapraïÃmÃ¤jalinÃ priyeïa  Pnc_14.56b
k­tapraïÃmeva tavÃvalokyate  Pnc_7.13d
k­tapraveÓaÓ ca salÅlam acchinan  Pnc_7.42c
k­tabhrÆbhaÇgayÃ tayÃ  Pnc_6.86b
k­tam iti ca tÃm Æce deva÷ sa sÃhasalÃ¤cana÷  Pnc_7.82d
k­tasambhÃ«aïÃ sÃtha  Pnc_16.9a
k­tasmite citragataæ praÓaæsati  Pnc_7.40b
k­tasya tasyÃsya bharaæ viso¬huæ  Pnc_9.59c
k­taæ dadhÃnopari pÃïipadmam  Pnc_9.18c
k­taæ yad etena munÅndra lÅlayÃ  Pnc_13.61a
k­tÃÇgada÷ kambalakÃliyÃbhyÃæ  Pnc_9.55a
k­tÃÇgabhaÇgavalanÃ  Pnc_6.46c
k­tÃÇguliÓle«avivartitollasat-  Pnc_13.1c
k­tÃnatibhya÷ sahasÃ dadÃti  Pnc_1.78a
k­tÃnatir vismitamÃnase munau  Pnc_13.29a
k­tÃrthaæ cak«ur adya na÷  Pnc_11.43b
k­tÃvatÃraæ tadvaæÓe  Pnc_16.108a
k­tÃvadhÃnÃtiÓayena manye  Pnc_1.57a
k­tini n­pe paramÃravaæÓaketau  Pnc_3.26b
k­tini vivekam ivÃntara÷ prasÃda÷  Pnc_3.43d
k­tÅti vÃrtÃ tava vetsi vÃ¤chitaæ  Pnc_7.61a
k­tÅ tvayÃyaæ bhujagÃmbaraukasÃm  Pnc_7.54c
k­tÅ d­ÓÃsyÃ÷ sud­Óa÷ pibaty ayaæ  Pnc_7.38a
k­topacÃro 'smi kiyat kadarthyase  Pnc_7.47b
k­toparodheva mahÃrïaveïa  Pnc_1.45d
k­to 'mbare candramayÅva s­«Âi÷  Pnc_14.23d
k­ttÃbhi÷ kautukena sa  Pnc_2.30b
k­tvÃ kurabako mukhe  Pnc_6.78b
k­tvÃ jagaty askhalitÃæ nijÃj¤Ãæ  Pnc_14.62c
k­tvÃpi tasyÃ÷ saÓ ca nÃnvaÓeta  Pnc_9.46d
k­tvÃ yathocitam ak­trimam utsavÃnte  Pnc_18.65a
k­tsnatrilokÅvijayÃvataæsaæ  Pnc_14.69c
k­tsnÃni cakre kakubhÃæ mukhÃni  Pnc_17.17d
k­pÃïadharÃ mas­ïÅbabhÆva  Pnc_17.15c
k­pÃïapÃtair dalatÃm arÃti-  Pnc_1.71a
k­ÓatÃm aÇgake gÃ¬ham  Pnc_16.33a
k­«ÂendulekhÃÇkuradantureva  Pnc_14.84d
k­«ïasÃra÷ ÓaÓitvi«Ã  Pnc_11.57b
k­«ïasÃre ÓilÅmukha÷  Pnc_2.17d
k­«ïasyorasi pu«ïÃti  Pnc_2.58c
k­«yamÃïanayano 'tha pipriye  Pnc_8.6c
ketakacchadakadarthane paraæ  Pnc_8.20c
ketuya«Âir iva ÓyÃma-  Pnc_6.113c
kena kÃryÃtibhÃreïa  Pnc_11.47c
kena cid viracite gate Óamam  Pnc_8.16b
keyÆrapadmarÃgÃæÓu-  Pnc_16.73a
kelitaralataruïÅnibi¬a-  Pnc_15.20c
keliratnabhavane«u te yaÓa÷  Pnc_8.75d
kelÅm­gasya svayam eva tasya  Pnc_9.21b
kevalaæ kapilakuntalaæ Óira÷  Pnc_8.56c
keÓakusumaÓabalam ÓuÓubhe  Pnc_15.32c
keÓÃh­tai÷ ketakagarbhabarhair  Pnc_1.31c
ke«Ãæ cid Æhu÷ kavacÃni ÓobhÃæ  Pnc_17.49a
kesarair atikarÃlakandharo  Pnc_8.49c
KailÃsaÓailavasater giriÓoparodhÃd  Pnc_18.43a
kokilo 'yaæ kalasvana÷  Pnc_6.70d
koïÃvasaktajalapÆritaratnakumbhÃæ  Pnc_18.46c
ko na vetti virocanam  Pnc_16.86d
ko 'nya÷ sakhi n­Óaæso 'sti  Pnc_6.59a
ko 'pi karakisalaye kamitÃ  Pnc_15.18c
ko 'py ayaæ bhavatÃm iti  Pnc_11.27b
ko 'py ucchalatpaÂahavaæÓahu¬¬ukkaÓaÇkha-  Pnc_18.54c
ko 'yaæ ko 'py ayam anyonyam  Pnc_16.68a
koÓaprati«ÂhitanidhÃnaÓataæ yatas tvÃm  Pnc_18.50c
koÓe«u vidutkapiÓÃ muhÆrtaæ  Pnc_17.54c
ko«ïani÷Óvasitavepitacchadaæ  Pnc_8.27a
kautukastimitÃk«ai÷ sa÷  Pnc_16.68c
kautukenÃtanÅyasÃ  Pnc_6.105b
kautukottÃnitek«aïÃ÷  Pnc_11.28b
kautÆhalÃn madavilolavadhÆvilÃsa-  Pnc_15.69c
kramam ity udÅrya virate ramÃÇgade  Pnc_10.41b
kramaviÓle«agaladbisÃÇkuram  Pnc_12.23b
krameïa kiæ cit pratisÃrayantÅ  Pnc_9.19c
kraÓimÃ bhÆ«aïÃyate  Pnc_6.82b
krÃmati sma sahasaiva meghabhÆr  Pnc_8.4c
kriyatÃæ me svayam Ãj¤ayÃ prasÃda÷  Pnc_5.5d
kriyate kim atra vada k­tyavastuni  Pnc_10.4b
kriyate valayenÃsyÃ  Pnc_16.40a
kriyate svardhunÅbÃla-  Pnc_2.83c
kriyÃsu tvÃd­ÓÃæ dhiya÷  Pnc_2.55d
krÅ¬anmukhara«aÂpadÃ  Pnc_11.8b
krÅ¬Ãdurlalito bhuja÷  Pnc_16.97d
krÅ¬Ãm iva vyÃkulad­«ÂipÃtÃ  Pnc_14.49c
krudhevÃdhijyacÃpena  Pnc_2.53 sa
kreÇkÃrahuÇkÃra ivoccacÃra  Pnc_17.55d
krodhÃd athÃrdhaÓaÓalÃ¤chanasodareïa  Pnc_17.69a
kroÓamÃtram agaman nareÓvara÷  Pnc_8.48d
kva ca ÓaÓibandhur anargha e«a hÃra÷  Pnc_3.22d
kva cit kva cit patantyÃ ya÷  Pnc_11.57a
kvacit kvacit svedalavodgamo mukhe  Pnc_4.21a
kva cit kva cil lohitapÃÂalÃni  Pnc_17.49b
kva cit sudhÃpÃï¬uni phenamaï¬ale  Pnc_13.44a
kvacit skhalaty uccaÓilÃtale pathi  Pnc_4.19b
kvacid api padmasarasy upÃsya sandhyÃm  Pnc_2.100b
kvacid api ya«Âi«u tÃramauktikÃsu  Pnc_3.55b
kvacid apy agamat palÃyya tasyÃÓ  Pnc_5.27c
kva cid dadhÃna÷ ÓaradindupeÓalÃ÷  Pnc_13.41c
kva cid dadhÃna÷ Óukaca¤cupÃÂalÃs  Pnc_13.45c
kvacid vilokayi«yanti  Pnc_6.92c
kva cin maïÅnÃæ kumudodaratvi«a÷  Pnc_13.45a
kvaïatkÃ¤canapallavÃ÷  Pnc_11.5b
kvaïadalivalayÃsu nÃsu tena  Pnc_3.36c
kvaïaddvirephÃvali nÅlam utpalam  Pnc_7.64b
kvaïadvimÃnÃvalihemaghaïÂam  Pnc_14.78b
kva tat kanyÃratnaæ lalitam ahibhartu÷ kva ca vayam  Pnc_5.81c
kva nÃma na prakÃÓante  Pnc_6.26c
kva muktÃhÃro 'yaæ kva ca sa÷ pataga÷ kveyam abalÃ  Pnc_5.81b
kva rÃjaveÓmÃbharaïaæ bhavÃd­ÓÅ  Pnc_4.54d
kvÃpi nÆnam apah­tya tanmano  Pnc_8.17a
kvÃpi mudritamayÆratÃï¬avÃ  Pnc_8.13c
kveyam ÃyÃtalocanÃ  Pnc_16.28b
k«aïadÃbhimukhena khaï¬itÃ  Pnc_12.37a
k«aïadÃm adya natÃÇgi ne«yati  Pnc_12.34d
k«aïam apy aho patasi me Óucismite  Pnc_10.64a
k«aïam ayam iha bÃlacÆtamaulau  Pnc_3.34c
k«aïam ekam aæÓukavilÃsam Ãdade  Pnc_15.23d
k«aïaæ k­ÓÃÇgÅti sakhÅbhir arthitÃ  Pnc_7.35b
k«aïaæ k­«ïa ivÃbabhau  Pnc_11.2d
k«aïaæ puÂakinÅpatra-  Pnc_11.53c
k«aïaæ mukulitek«aïÃ  Pnc_6.49d
k«aïaæ m­gavyopanata÷ pariÓrama÷  Pnc_4.33d
k«aïaæ sthitvÃ dadarÓa ca  Pnc_2.35b
k«aïÃd apÃÇgastimitÃyatÃk«ayo÷  Pnc_7.43a
k«aïÃd iva kvÃpi rasÃtalodare  Pnc_13.48c
k«aïÃd vanam aÓÃrdÆlam  Pnc_2.31c
k«aïÃd valanti sma tadÃ hatÃni  Pnc_17.30a
k«iticumbitahÃraæ sÃ  Pnc_16.7a
k«ititalam ÃbharaïÃni na sp­Óanti  Pnc_3.24d
72 k«itipa smayase kim e«a kelir  Pnc_5.a
k«itipÃlamaulimaïiveïikÃtithes  Pnc_10.7c
k«itipÃlaæ purataÓ cacÃla bÃlÃ  Pnc_5.80b
k«itibhartur upÃntavartinÃ  Pnc_12.3c
k«itiÓ cetasi kÃpi me  Pnc_16.35d
k«iter ayaæ nyÃyavidÃæ varaitayÃ  Pnc_7.69b
k«iter ekÃtapatrÃyÃ÷  Pnc_2.23a
k«itau biladvÃravinirgatÃni  Pnc_17.16b
k«ipram adhijaghanam ÆrmilatÃ  Pnc_15.14c
k«uïïendranÅlÃÇgadareïurÃji÷  Pnc_17.59b
k«obhaæ jagÃma saritas tuhinÃæÓusÆte÷  Pnc_7.80b
k«mÃpÃla÷ pulinam avÃpa narmadÃyÃs  Pnc_6.119d
k«mÃpÃlo 'tha vyadhita paritas tatpuro ratnavatyÃ÷  Pnc_16.121b
k«mÃm atyÃyatÃæ dadhan  Pnc_11.88 ]b
k«mÃyÃæ babhu÷kha¬gap­thakk­tÃni  Pnc_17.22a
khagam amum upadarÓayet ka evaæ  Pnc_3.20c
khagaluptavibhÆ«aïaæ k«itau te  Pnc_5.57c
KhagendrabhaÇgena tathÃ tathÃ ca  Pnc_9.57a
kha¬gadhÃrÃtithir mama  Pnc_16.103b
khaï¬ite dantavÃsasi  Pnc_16.56b
kham ullikhantÅva khurais turaÇgÃ÷  Pnc_14.11d
khurÃgrarugïÃvanibhi÷ saro«aæ  Pnc_17.3c
khe payodapatalais tirohite  Pnc_8.1b
khelajjayaÓrÅcaraïÃravinda-  Pnc_17.49c
gaganaramÃpatipÃ¤cajanyam anya÷  Pnc_3.20d
gacchan sas tatra kati cin  Pnc_11.14c
gaccha vindhyavipinÃntad­«ÂayÃ  Pnc_8.8c
gajap­«Âhe nidhÃsyÃmi  Pnc_2.50c
gaje«u valgatsu turaÇgame«u  Pnc_17.10 ib
gajair jagÃhe kulaparvatÃnÃm  Pnc_17.21d
gaïo nadannÆpuram ambare 'tha  Pnc_17.39b
gaï¬alekhÃæ nakhÃgreïa  Pnc_11.22c
gaï¬asthalÅlulitakuÇkumapatralekhÃ÷  Pnc_17.72b
gatas tava ramÃÇgada!  Pnc_2.46d
gatÃ kvacil locanavartmamÃlatÅ  Pnc_7.47d
gatÃgatÃbhyÃæ maïikuï¬alÃni  Pnc_14.20b
gatÃtiv­ddhiæ lavalÅlateva  Pnc_1.77c
gatÃ dharÃæ vyomavadhÆr iyaæ kim u ?  Pnc_4.24b
gatÃni sadya÷ ÓlathatÃæ sakhÅbhir  Pnc_9.19a
gatÃ maïidvÅpam ita÷ purastriya÷  Pnc_13.33d
gatÃ ÓrÅmanmahÃkÃla-  Pnc_6.22c
gatÃsu tÅraæ timighaÂÂanena  Pnc_1.52a
gatiæ vanÃnte katham apy alak«itÃm  Pnc_4.40b
gate tadbÃïagocaram  Pnc_2.29b
gate 'vataæsotpalapatrabandhutÃm  Pnc_4.15c
gate 'staæ sÃtavÃhane  Pnc_11.93b
gatvÃ ki¤cid ivÃdhvanÃ  Pnc_2.72b
gatvÃtha dÆram ahivi«Âapata÷ sahelam  Pnc_18.56a
gatvÃ purÅ ratnavatÅti nÃmnÃ  Pnc_9.51b
gatvÃ vidyÃdharabhaÂacamÆcakravÃlai÷ sabhaæ sa÷  Pnc_16.121a
gatvaikapiÇgalagirer avataæsayÃmi  Pnc_18.45b
gadgadÃk«aram avyaktaæ  Pnc_6.41c
gantuæ pravav­te pathÃ  Pnc_11.3d
gandharvakinnaramahoragasiddhakanyÃ÷  Pnc_18.67d
gandhavÃhapadavÅva gaÇgayÃ  Pnc_8.70d
gamane tad ehi sahitau yatÃvahe  Pnc_10.44a
gamitÃs tvayÃ vaÓam upÃyasampadÃ  Pnc_10.13b
gamitÃ÷ prabhÃvalayaÓÆnyatÃæ jhaÂity  Pnc_10.19c
galada¤janÃÓrup­«atÃvalicchalÃl  Pnc_10.16c
galitamaïikaÇkaïÃÇkite  Pnc_15.21b
galitÃÇgadÃ gurutaraÇga-  Pnc_15.29a
gavÃnugamyate sÃyaæ  Pnc_11.26c
gahanÃsv api tadgave«aïÃyai  Pnc_5.38c
gÃæ gata÷ ÓrÆyate puna÷  Pnc_6.28b
giram udakamannistriæÓÃbhe nabhasy aÓanai÷ Óuka÷  Pnc_10.71b
girÃæ tvam eko yat satyam  Pnc_16.85c
girim iti mÃlavarÃjapÆrïacandra÷  Pnc_3.19d
girer agacchad vipinam  Pnc_2.2c
gÅte«v ajasram iha ÓuÓruma yad yaÓÃæsi  Pnc_18.10b
gÅyate ketakÃpÃï¬u  Pnc_6.21c
gÅrvÃïacÃpacchavilÃ¤chitÃni  Pnc_17.17c
gu¤jÃphalÃny ÃbharaïÅk­tÃni  Pnc_1.70d
guïaprakar«e hi sadÃ manÃæsi  Pnc_14.41c
guïamahatÃm iha bhÃram udvahanti  Pnc_3.46d
guïavaty asti ÓaÓiprabhÃ nÃmnÃ  Pnc_5.22b
guïÃn anaÇgotsavavaijayantÅ  Pnc_1.72b
guïÃntaraj¤ÃvatÃæ ramante  Pnc_14.41d
guïai÷ parÅtÃ sahajanmabhi÷ sÃ  Pnc_9.41b
guptÃbhihito yat tridaÓÃrivÅrair  Pnc_9.43a
gurugotraskhalitÃkulo ravi÷  Pnc_12.28d
guruvibhavapadasya kasya vÃ syÃd  Pnc_3.23c
GuhÃpÅtapayodharÃ  Pnc_11.54d
guhÃsu nakhanirmukta-  Pnc_11.59c
guhyatÃm ucitayÃ saparyayÃ  Pnc_8.77b
gÆ¬hamatsaravi«e viÓe«avÃn  Pnc_8.46c
g­hÃïi yasyÃæ savarÃÇganÃni  Pnc_1.22a
g­hÃïi yÃ nÃkasadÃæ bibharti  Pnc_1.20b
g­hÅtavÃn dÅdhitimÃn ivÃha÷  Pnc_1.74d
g­hÅtvÃ hemapaÇkajam  Pnc_16.46b
g­he g­he yatra muhur ninÃda÷  Pnc_1.25b
gehe mamÃtra n­pate navasÃhasÃÇka !  Pnc_18.50b
gailtÃni ratnavalayÃni te mayÃ  Pnc_10.60b
gopatÃm upÃgatasya ÓÃrÇgiïa÷  Pnc_8.39d
ghaÂitam iva navÃtapena kiæcid  Pnc_3.55c
ghaÂitaæ vidher idam ajaryam Ãvayor  Pnc_10.53a
ghanachÃyÃv­tavyakta-  Pnc_2.90c
ghanarÃjidhvanineva nÅlakaïÂha÷  Pnc_5.58d
ghanÃtyaya­tor nijam indupÃï¬ure  Pnc_13.27c
ghorotkaraÓyÃmitakaÇkaïena  Pnc_10.65b
cakampire sapta rasÃtalÃn  Pnc_17.10 id
cakÃra ca padaæ citra÷  Pnc_2.92a
cakÃra tasyÃÓ catura÷ sakhÅjana÷  Pnc_7.31d
cakÃra pÃtÃlabilodarÃïi  Pnc_17.7d
cakÃra revÃmaïikaÇkaïaæ kape÷  Pnc_13.27b
cakÃra veleva gatÃgatÃni  Pnc_17.67d
cakÃrÃmbhonidhe÷ paya÷  Pnc_11.72d
cakÃÓire Óastrabh­tÃæ Óira÷su  Pnc_17.48a
cakÃsti kanyeva himÃcalasya  Pnc_14.50d
cakÃsti saædhyÃtapaleÓaÓaÇki  Pnc_14.66c
cakitam ivÃyam itas tata÷ prayÃti  Pnc_3.32d
cakitavalanm­gayÆthavÅk«itasya  Pnc_3.1b
cakitaæ citrarucau tayÃ ca d­«Âa÷  Pnc_5.30b
cakitaæ vÃmakuce vilocane  Pnc_12.13d
cakitena candramukhi vÅk«itÃni ca  Pnc_10.60d
cakitai÷ sarasÅva k«mÃ  Pnc_11.84c
cakitoda¤citadÅrghanetramÃla÷  Pnc_5.36d
cakravartÅty anukto 'pi  Pnc_11.42c
cakravÃkamithune 'py aj­mbhata  Pnc_8.5d
cakravÃkavaniteva kesaram  Pnc_8.17d
cakras tasyÃnilasparÓa-  Pnc_11.5a
cakrÃïi vidyÃdharavÃhinÅ«u  Pnc_17.14d
cakrire timiracchida÷  Pnc_16.63b
cakrire vedhasÃ nÆnaæ  Pnc_11.94a
cakrur adhivapur amartyasarit-  Pnc_15.35c
cakre padaæ bÃ«pakaïotkareïa  Pnc_17.33c
cakre yenÃhitastrÅïÃm  Pnc_11.97c
cakre 'rdhacandrÃÇkitam indraÓatru÷  Pnc_17.64d
cak«u«Ã ca stanena ca  Pnc_6.97d
cak«us tad unme«i sadÃ mukhe va÷  Pnc_1.4a
cacÃla vidyÃdhararÃjasainyam  Pnc_14.78d
caÂulak­takacagraha÷ sa gacchan  Pnc_3.4a
caï¬ikÃcaraïasya ca  Pnc_2.25d
Caï¬ÅdhavonnaddhajaÂÃviÂaÇka-  Pnc_14.84c
Caï¬ÅÓacÆ¬Ãbharaïaæ ÓaÓÃÇka÷  Pnc_9.26d
caturaæ kila dÅrghacak«u«as  Pnc_12.76c
caturaæ locanayor acumbyata  Pnc_12.7d
caturÃæ kokilÃm e«a  Pnc_6.78a
caturaivaæ parihÃsapeÓalÃni  Pnc_5.68d
caturbhir utsÃhavatÃ catasra÷  Pnc_1.66b
