Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
tàvadeva tato bhaktyà  Ang_1.715c
tàvadeva prakurvãta  Ang_1.848c
tàvadgopucchalomàni  Ang_1.60a
tàvanmàtreõa kevalam  Ang_1.728d
tàvanmàtreõa ca tataþ  Ang_1.872c
tàvanmàtreõa tatkarma  Ang_1.903c
tàvanmàtreõa tattàtaþ  Ang_1.466c
tàvanmàtreõa te càpi  Ang_1.557c
tàvanmàtreõa te param  Ang_1.1088b
tàvanmàtreõa pitaro  Ang_1.554c
tàvanmàtreõa saütuùñà  Ang_1.564a
tàvànevàtra kevalam  Ang_1.846d
tà vai nirayabhàjinaþ  Ang_1.373b
tàsàü ca pitaraþ sarve  Ang_1.393a
tàsàü bhavati tasmàttu  Ang_1.118c
tàsàü bhavati tasmàttu  Ang_1.425c
tàstàþ puõyatamàþ smçtàþ  Ang_1.644d
tàü tyaktvà màtçvattu tàm  Ang_1.355d
tàü di÷aü tu vilokayet  Ang_2,9.16b
tàü÷caõóàleùu vinyaset  Ang_1.208d
tithiþ kàla iti prokto  Ang_1.271a
tithã manvàdayaþ smçtàþ  Ang_1.637d
tithyagnã na tithistithyà÷e  Ang_1.637a
tithyarkau na ÷ivo '÷vo 'mà-  Ang_1.637c
tiraskartuü na ÷akyate  Ang_1.368d
tiraskurvanti sahasà  Ang_1.373a
tirodhànaü jañàraõye  Ang_1.907c
tiryagyoniü ca gacchati  Ang_2,8.1d
tilakalkaü vi÷eùataþ  Ang_1.1098b
tilacårõaü tailapiùñaü  Ang_1.1098c
tilatarpaõamityapi  Ang_1.878d
tiladroõavrayaü kuryàt  Ang_1.1097c
tilabharjanamapyuta  Ang_1.1098d
tilamàùavrãhiyavà  Ang_1.535c
tilamàùavrãhiyavàn  Ang_1.1013a
tilàrcanaü tilamukhaü  Ang_1.1099a
tilàrdrakabçhatkakam  Ang_1.534d
tilà syustàdç÷àþ kila  Ang_1.1108d
tilàþ ÷atasamaü taràm  Ang_1.533b
tilàþ sarvatra tåùõãkà  Ang_1.685c
tilàþ syuþ somadevatàþ  Ang_1.1100b
tilairapi yavaistathà  Ang_1.860d
tilairjalavimi÷ritaiþ  Ang_1.1103d
tilairvikiraõaü kuryàd  Ang_1.1099c
tilairhastodakaü kàryaü  Ang_1.884c
tiùñhatsu cànyàputreùu  Ang_1.459c
tiùñhanti kila tatpåjà-  Ang_1.868a
tiùñhanti kila tena vai  Ang_1.1092b
tiùñhantãùvanutiùñhecca  Ang_2,11.4c
tiùñhejjanakayorna tu  Ang_1.422b
tisrastàbhyastu yà nyånàs  Ang_1.36c
tisro ràtrã rajasvalàþ  Ang_1.923b
tisro ràtrãràpagàstà  Ang_1.929a
tisro ràtrãrmanãùibhiþ  Ang_1.926b
tisro 'ùñakà gajacchàyà  Ang_1.606c
tãrthajãvã tadàvàsã  Ang_1.768c
tãrthapratigrahã dçùño  Ang_1.768a
tãrthàdiùu vi÷iùyate  Ang_1.154d
tuïgabhadrà ca veõikà  Ang_1.918b
tucchaü vikasitamehanam  Ang_1.753b
turyabhàgaþ sagotràder  Ang_1.377c
turyàü÷o 'pi samàü÷aþ syàt  Ang_1.439c
tulayàmàsa pàõinà  Ang_1.531d
tulàmeùobhayaü j¤eyaü  Ang_1.641c
tulitastena sa smçtaþ  Ang_1.712b
tulitaü yaü ca kaücana  Ang_1.705d
tulyatvenaiva kathitaü  Ang_1.400c
tulyaü pratyabdameva vai  Ang_1.717b
tulyaü ÷àkasahasrasya  Ang_1.534c
tuùñaü kçtvàmbaràdibhiþ  Ang_1.387b
tåùõãkaü mantravarjanàt  Ang_1.86d
tåùõãkaü mantravarjitam  Ang_1.83b
tåùõãkaü vedamantrakaiþ  Ang_1.843d
tåùõãmàsye vinikùipet  Ang_1.236d
tåùõãü tiùñhanti kevalam  Ang_1.620d
tåùõãü tiùñhenmahàjaóaþ  Ang_1.551d
tåùõãü và tadyathàruci  Ang_1.802b
tçtãyeti ca tàü viduþ  Ang_1.455d
tçptà jàtàstathà tvaü ca  Ang_1.1091a
tçptà bhåma na cenno 'dya  Ang_1.1091c
tçptàþ stheti tathà prokte  Ang_1.1090a
tçptàþ stheti dvivàraü tad  Ang_1.840c
tçptidaü phàlgunã÷ràddham  Ang_1.481a
tçptisteùàü bhaviùyati  Ang_1.33d
tçptiü caiva vinirdi÷et  Ang_1.952b
tçpto yadi tadà vayam  Ang_1.1091b
tçptyakçt pàtakã bhavet  Ang_1.555d
tçptyai sataraõàyàpi  Ang_1.484a
te gçhãtvà na turyà÷aü  Ang_1.412c
te ca goghnàdayastathà  Ang_2,7.9f
te ca yànti samaü tu taiþ  Ang_2,7.1d
te càtràpi vadàmyuta  Ang_1.945d
te tathà tatra kalpeyur  Ang_2,3.6c
tena tulyaphalo bhavet  Ang_2,7.4d
tena doùa÷ca sumahàn  Ang_1.1004a
te na nãcàstu tena vai  Ang_1.230b
tena pàtityamàpnuyàt  Ang_1.227b
tena pràdhànikaü karma  Ang_1.460c
tena bhårbhàravatyalam  Ang_1.366b
tena yàvatkçtaü na tu  Ang_1.462b
tena råpeõa taü tathà  Ang_1.114d
tena vaikalyadoùà ye  Ang_1.832c
tenàgràhyàþ suràstu ye  Ang_1.229b
tenàparàdhaþ sumahàn  Ang_1.231a
tenàpyudakamàtreõa  Ang_1.623c
tenàyaü ÷ràddhakartà syànna  Ang_1.105c
tenaitatkarma nàcaret  Ang_1.254d
te 'pi satye pratiùñhitàþ  Ang_2,3.2b
tebhyaþ pàtrebhya eva vai  Ang_1.820b
tebhyaþ sa tu tataþ prãtyà  Ang_1.2a
tebhyo dadyàttu tatpautras  Ang_1.107c
tebhyo dadyàttu tatsutaþ  Ang_1.106d
tebhyo dadyàttu tatsutaþ  Ang_1.722b
teùàmakaraõàtso 'yaü  Ang_1.109c
teùàmuccàraõaü bhavet  Ang_1.672d
teùàü ca vi÷vedevàste  Ang_1.671a
teùàü tatsåtakaü tataþ  Ang_1.677d
teùàü tatsåtakaü bhavet  Ang_1.93d
teùàü tàmà÷iùaü gçhya  Ang_1.897a
teùàü teùàü kriyàbhedàc  Ang_1.1044a
teùàü tretàgninà dagdhaü  Ang_2,6.11a
teùàü ye ye pare pare  Ang_2,4.6b
teùàü ÷aïkàniràsàya  Ang_1.882a
teùàü ÷ràddhe tyàgamàtràt  Ang_1.1079a
teùàü ÷ràddhaikakaraõam  Ang_1.1069a
teùu teùu tu karmasu  Ang_1.8d
teùu sarveùu saücintya  Ang_2,10.21e
te sarve devatàþ kila  Ang_1.673d
te sarve dharmatatparàþ  Ang_1.1068b
te sarve panasastvekaþ  Ang_1.541a
te sarve smaraõàttasya  Ang_1.901c
te hi pàpakçtàü vaidyà  Ang_2,2.5a
tairetaiþ karmabhiþ ÷ubhaiþ  Ang_1.191d
tairjanairdàtçdàpakaiþ  Ang_1.369b
tailadroõyàü vinikùipya  Ang_1.989c
tailena lavaõenàpi  Ang_1.235a
taistaiste nikhilà j¤eyà  Ang_1.298a
toùayitvà pradànàdyair  Ang_1.361c
toùayedbràhmaõàn sadà  Ang_2,12.15d
toùayedyaþ suni÷citam  Ang_2,10.19d
tyaktabhàryaü dattaputraü  Ang_1.748c
tyaktasnànaü tyaktasaüdhyaü  Ang_1.752c
tyaktvà taü gràmamàdaràt  Ang_1.50d
tyaktvà pitàmahaü tvanya-  Ang_1.1002a
tyaktvà samyagvicàyaiva  Ang_1.1003a
tyajetpitàmahaü yatnàt  Ang_1.1005a
tyajedghañaprahàreõa  Ang_1.140c
tyajedvarùatrayaü tathà  Ang_1.762d
tyayalakùaõalakùità  Ang_1.4b
tyuktuü na ÷akyate ÷ràddhaü  Ang_1.634c
traya÷cà÷ramiõo mukhyà  Ang_2,5.1c
trayastriü÷atkoñisaükhya-  Ang_1.602a
trayàõàü yaþ pramàõaj¤aþ  Ang_2,5.3c
trayoda÷akamàrùakam  Ang_1.347d
trayoda÷a tçtãye syàd  Ang_1.609a
trayoda÷a trayoda÷a  Ang_1.611b
trayoda÷ãprabhçtyetà  Ang_1.927c
triguõaü vai÷yayogataþ  Ang_1.192b
tridinaü caikadivasaü  Ang_1.678a
tridaivatyàni kevalam  Ang_1.660d
tripårùacaryàvçttàntaþ  Ang_1.769c
tripràyakavidhau tathà  Ang_1.76b
tribhirmàsairvyapohati  Ang_2,9.2d
trimàsayàvakàhàrà  Ang_1.224c
triràtraphaladà nadyaþ  Ang_1.913c
triràtropoùaõaü bhuïkte  Ang_2,8.20c
trivàraü pitçsånunà  Ang_1.1090b
trivàraü ÷ràddhamåcire  Ang_1.785d
trividhà và samàsataþ  Ang_2,1.3d
triùaóàdidinàtmakàþ  Ang_1.36d
triùu sthàneùu tatparam  Ang_1.853d
triü÷atkarkañake nàóyo  Ang_1.646a
triü÷advarùaü tyaktapitç-  Ang_1.182a
tredhà vibhajya tatpiõóaü  Ang_1.978a
tredhà vibhajya taü piõóaü  Ang_1.996c
tryahamevaü samàcaret  Ang_2,9.11b
tvajjàtãyakaùoóa÷aiþ  Ang_1.599b
tvamasmatparitçptikçt  Ang_1.566b
tvamasmàkaü tu tatsàmyaü  Ang_1.570c
tvamurvàro sthàõusçùño  Ang_1.591a
tvarità lulità tàrà  Ang_1.928c
tvaü kçtàrtho mahànasi  Ang_1.565d
tvena taddårage sati  Ang_1.134d
tvena tàni ca sàüpratam  Ang_1.612d
tvaupàsanaparigrahaþ  Ang_1.91b
dakùiõàgniü vidhànataþ  Ang_1.823b
dakùiõà ca pradàtavyà  Ang_1.698c
dakùiõàbhi÷ca tàmbålair  Ang_1.862a
dakùiõàyanakàlakaþ  Ang_1.653d
dakùiõàyanakàle tu  Ang_1.920a
dakùiõe tu saridvaràþ  Ang_1.918d
daõóa ityabhidhãyate  Ang_2,10.2d
daõóàdårdhvaü tu yatnena  Ang_2,10.1a
dattajo vàtha tajjo và  Ang_1.342c
dattatatkàryato 'pi ca  Ang_1.432d
dattaputrodbhava÷caret  Ang_1.1006b
dattaputrodbhavo yatnàt  Ang_1.1004c
dattapautrasya pitaraü  Ang_1.1001c
dattasånurdharmapatnyàþ  Ang_1.418c
dattasånustayoranya-  Ang_1.419c
dattasånuþ pitrànyena  Ang_1.310c
dattasya tadbhålàbhaþ syàt  Ang_1.309a
dattasya pitarau proktau  Ang_1.421c
dattaþ syàdadhikaþ sutàt  Ang_1.444d
dattàdgauravamàpnuyàt  Ang_1.415d
dattàvçttyudbhavàni vai  Ang_1.348d
dattàü vivàhya tajj¤àtvà  Ang_1.211a
dattena tatkalatrasya  Ang_1.438c
dattena yadi tatparam  Ang_1.445b
datto jàtaü tadaurasam  Ang_1.379d
datto 'dhika÷cedbhavati  Ang_1.434a
datto bhavati putrakaþ  Ang_1.406d
datto 'yamasagotra÷cet  Ang_1.312c
datto rikthamavàpnoti  Ang_1.340c
datvà¤janàbhya¤jane ca  Ang_1.857a
datvà hastodakaü tataþ  Ang_1.812d
dadyàtàü dampatã putraü  Ang_1.303c
dadyàttamarghyaü devebhyaþ  Ang_1.797a
dadyàtpiõóatrayaü punaþ  Ang_1.854b
dadyàtsaüvatsaraü dvijaþ  Ang_1.876b
dadyàtsucaritavrataþ  Ang_2,11.10b
dadyàdgobràhmaõe hitam  Ang_2,10.14b
dadyàddarbhàn dvijasya vai  Ang_1.776d
dadyàdvai pitçtçptaye  Ang_1.550d
dadhinànnaü ca pracchàdya  Ang_1.816a
dadhi÷ràddhaü tçõa÷ràddham  Ang_1.682c
dadhnà và payasàpi và  Ang_2,8.13d
dadhyabhàve bhavettakraü  Ang_2,12.5c
dadhyàjye vastrameva ca  Ang_1.686d
dampatã dampatãcittaü  Ang_1.387a
dampatã nidhanaü gatau  Ang_1.980b
dampatyorubhayorapi  Ang_1.384b
darbhapàõiþ kçtapràõày-  Ang_1.773a
darbhànàstãrya bhåpçùñhe  Ang_1.793a
darbhàn målaiþ sakçddhataiþ  Ang_1.851d
darbhairàcchidya vai tataþ  Ang_1.793d
darbhaistairdakùiõàgrakaiþ  Ang_1.808d
darvimya÷ca samuddhçtya  Ang_1.820c
dar÷a eva na càparaþ  Ang_1.627b
dar÷anaspar÷anadhyànair  Ang_1.916a
dar÷amàtre 'nuùñhite 'smin  Ang_1.621c
dar÷ayàjyakùayànyapi  Ang_1.625b
dar÷a÷càpi tathàvidhaþ  Ang_1.632b
dar÷asiddhistàvatà syàd  Ang_1.1031a
dar÷aþ saütyajyate paraþ  Ang_1.621b
dar÷àdikamanuùñheyam  Ang_1.1038a
dar÷àdikaü prakurvãta  Ang_1.1041a
dar÷àdikaü samàpyaiva  Ang_1.1036c
dar÷àdikàni ÷ràddhàni  Ang_1.1104a
dar÷àdi na kadàcana  Ang_1.136b
dar÷àdi÷ràddhaparato  Ang_1.1046c
dar÷àdi÷ràddhaparato  Ang_1.1068c
dar÷àdiùu mçtàha÷cen  Ang_1.1028c
dar÷àdiùu mçtàhaü vai  Ang_1.1037c
dar÷àdiùvàgatànàü cen  Ang_1.1036a
dar÷àdiùveva kathitaü  Ang_1.973a
dar÷ànuùñhànataþ sarva-  Ang_1.620a
dar÷e và yadi màsike  Ang_1.969d
dar÷e samàgataü manvà-  Ang_1.1030c
dar÷o mçtàha÷ca samau  Ang_1.628c
da÷atulyaü vyatãpàte  Ang_1.707a
da÷a pårvàn da÷à 'paràn  Ang_1.735d
da÷a proktà rajasvalàþ  Ang_1.924d
da÷amãprabhçti proktàs  Ang_1.926a
da÷aràtraü caredvajram  Ang_2,9.7a
da÷aràtraü pibedvajraü  Ang_2,10.11c
da÷aràtraü pivedvajraü  Ang_2,9.1c
da÷a ÷àntiùu kàmapi  Ang_1.838b
da÷àrùeyàvadhãtare  Ang_1.352b
da÷àsveva phalànàü ca  Ang_1.595a
da÷àhato bharturaghasya ÷uddhiþ  Ang_1.988c
da÷àhaü såtakã bhavet  Ang_1.149d
da÷eti ca tathàpare  Ang_1.658b
dahanàdi tayorna tu  Ang_1.987b
dahyamànaü tu bhartàraü  Ang_1.993a
dàtà càïgàra÷ayana-  Ang_1.195a
dàtà setugataþ sadyo  Ang_1.196a
dàtçhastaü ca chindanti  Ang_1.740a
dàtþnevopatiùñhati  Ang_2,6.15d
dànatãrthavratàdibhyaþ  Ang_1.43a
dànato nà÷ameùyataþ  Ang_1.119b
dànadaþ kañukaþ kùamã  Ang_1.514d
dànadharmàdikaü caret  Ang_1.1071d
dànamàtreõa jàyate  Ang_1.110b
dànahomàtparaü tasmàt  Ang_1.422c
dànaü tadgrahaõaü bhavet  Ang_1.385d
dànàdhyayanadevàrcà-  Ang_1.1023a
dànairvàpyupavàsairvà  Ang_2,5.11c
dàridryanà÷inã deyà  Ang_1.925a
dàruko dharmado damaþ  Ang_1.511d
dàsyàmãti vadenna và  Ang_1.1097b
dàhayedyaþ kathaücana  Ang_1.149b
-dikaü ÷ràddhaü samàcaret  Ang_1.1030d
dinatrayacatuùpa¤ca-  Ang_1.18c
dinatrayamasaüspç÷yàs  Ang_1.917c
dinatrayaü varjayityà  Ang_1.759c
dinabhedena tannyåno  Ang_1.406c
dine dine gayàtulya  Ang_1.706c
dine ÷ràddhaü samàcaret  Ang_1.113b
dinaikasàdhyàþ kathitàs  Ang_1.16a
divasadvayasàdhyà yàþ  Ang_1.17a
divasàt prabhçti proktàs  Ang_1.923a
divase 'tha caturthake  Ang_1.84b
divàkãrtyapurohitaþ  Ang_1.764d
divàràtramasaübhàùyo  Ang_1.764c
divyacandanakhaõóakam  Ang_1.1014b
divya÷àkavi÷eùakàþ  Ang_1.497b
divyà spaùñapadàkùarà  Ang_1.186b
divyo÷ãraü gugguluü ca  Ang_1.1014c
dãkùàpràptyà tu bhåyiùñhà  Ang_1.33c
dãkùàmadhyamçtànapi  Ang_1.41b
dãkùàmahatyastà j¤eyà÷  Ang_1.36a
dãkùà yà na bhaviùyati  Ang_1.34b
dãkùàvçddhau kathaücana  Ang_1.38d
dãkùitànàü ca sarveùàü  Ang_2,9.4c
dãpanà÷e tathaiva ca  Ang_1.946d
dãpapuùpàõi kevalàþ  Ang_1.685b
dugdhaü yacchucinà bhavet  Ang_2,8.13b
duràtmanàü vi÷eùeõa  Ang_1.1072c
duràlàpaü duùñaloka-  Ang_1.1027c
durguõà và vivàhità  Ang_1.447b
durbala÷cedvi÷eùataþ  Ang_1.326b
durbalànàü hitecchavaþ  Ang_1.1107d
durmçtànàü caretkriyàm  Ang_1.709d
durlabhaü putriõã caret  Ang_1.321b
durlabhàyàü sva÷àkhàyàü  Ang_1.741a
durlabhe tu sagotreùu  Ang_1.336c
durvarõaü ca kuråpiõam  Ang_1.744b
durvàdaü dàmbhikaü jaóam  Ang_1.751b
duùñacàritratatparam  Ang_1.743b
duþkhasyaiva yathà vaidyàþ  Ang_2,2.5c
duþkhità malinà tathà  Ang_1.871d
duþkhenàdhigamo bhavet  Ang_2,1.4d
duþ÷rutaü paruùaü kråram  Ang_1.374c
dåyamànana manasà  Ang_1.1092a
dåratastu vinikùipet  Ang_1.80b
dårabhàryo 'pi såtakã  Ang_1.383d
dåraü gatvà pipàsitaþ  Ang_1.259b
dårvàsàjanako 'thavà  Ang_1.493b
dåùitaü na bhavedapi  Ang_1.26b
dçóhayitvà svayaü pa÷càt  Ang_1.363c
dç÷yante bràhmaõàþ sapta-  Ang_1.352a
dçùñamàtràõi cettadà  Ang_1.1017b
dçùñamàtre tu tasmàttu  Ang_1.552c
dçùñamàtre 'thavà bhaktyà  Ang_1.550c
dçùñamàtrairbàlya eva  Ang_1.1049a
dçùñàgniü håyamànaü tu  Ang_2,9.14c
dçùñvà taü samupasthitam  Ang_2,2.9b
dçùñvà nàrã pativratà  Ang_1.993b
dçùñvà bãjàni bhaktitaþ  Ang_1.556b
dçùñvàrkaü ca nataståùõãü  Ang_1.559c
dçùñvà vibhåtiü paramàm  Ang_1.573a
dçùñvà sadyo mahàmanàþ  Ang_1.548d
dçùñvà samàgataü pàpaü  Ang_1.626c
dçùñvà samàdàyaitàni  Ang_1.560c
devatàsahitànyapi  Ang_1.681b
devadrohã ÷rutidrohã  Ang_1.605a
devanàpitçbhåtànàü  Ang_2,12.14a
devanàmànyanantàni  Ang_1.163a
devapåjàvidhànataþ  Ang_1.784d
devabràhmaõasannidhau  Ang_1.388b
devaràjapriyaþ paõaþ  Ang_1.525d
devasçùño 'tisundaraþ  Ang_1.586b
devaü tribhuvane÷varam  Ang_2,1.1b
devànàmapi tadbhojyaü  Ang_1.238a
devànàmapi nàrcanam  Ang_1.252b
devànàü purato vibhuþ  Ang_1.590d
devànàü vallabho bhava  Ang_1.602b
devànàü ÷çõvatàü càpi  Ang_1.576c
devànàü ÷çõvatàü tadà  Ang_1.569b
devànàü sumahàbhedas  Ang_1.228c
devàya narakã bhavet  Ang_1.242b
devàya vinivedayet  Ang_1.244b
devàrthe prajapanti vai  Ang_1.799b
devà vo 'rdhyamiti bruvan  Ang_1.796d
devà÷ca pitarastataþ  Ang_1.887b
devà÷càpi tathà punaþ  Ang_1.891d
de÷aü kàlaü ca saükãrtya  Ang_1.774a
de÷aþ kàla÷ca saükalpe  Ang_1.270c
daivataikyena kevalam  Ang_1.1031b
daivataikye pçthaï na tu  Ang_1.1031d
daivapàtre 'bhighàryàtha  Ang_1.813a
daivayogena cidvçddher  Ang_1.40a
daivayogena vidvàüsaþ  Ang_1.1057a
daivaü paitçkameva ca  Ang_1.778d
daivàjjãvanpravardhitaþ  Ang_1.1048d
daivàtsaüpràptajãvanàþ  Ang_1.1054d
daivikeùu ca pitryeùu  Ang_1.593a
doùàya bhojanatyàga  Ang_1.300c
doùo 'yaü ÷ràddhakarmaõaþ  Ang_1.274b
daurbalye svasya saüjàte  Ang_1.314c
dauhitraþ kutapastilàþ  Ang_1.906b
dauhitro yadi dattaþ syàd  Ang_1.420c
dauhitro và punaþ smçtaþ  Ang_1.944b
dravyakàlàdisaübhavàþ  Ang_1.900b
dravyalopeùu kçtsna÷aþ  Ang_1.1099d
dravyairvà vipulairvipràn  Ang_2,10.19c
drupadàü nàma gàyatrãü  Ang_1.201a
droõapriyo droõaràjo  Ang_1.521c
dvayametatprakathitaü  Ang_1.180a
dvayaü yàmatrayaü tathà  Ang_1.287b
dvayaü vàtha puna÷caikaü  Ang_1.828c
dvayorapi hi nirõayaþ  Ang_1.990d
dvayoryadi tadà punaþ  Ang_1.966b
dvàtri÷adàhuteþ pa÷càt  Ang_1.72c
dvàda÷ànàü tathànyeùàü  Ang_1.651a
dvàda÷àbdamalabhyaitaü  Ang_1.402c
dvàda÷e 'hani saüpràpte  Ang_1.981a
dvàda÷e 'hani saüpràpte  Ang_1.991c
dvàda÷yàü ÷atamityàhur  Ang_1.707c
dvàda÷yàü ÷ràddhamàcaret  Ang_1.709b
dvàviü÷atidinàditaþ  Ang_1.932b
dviguõaü govrataü tasya  Ang_2,10.1c
dviguõaü nikhilaü kçtyaü  Ang_1.212a
dviguõaü ràjayogena  Ang_1.192a
dvijave÷yàpurohitaþ  Ang_1.766d
dvija÷u÷råùaõe rataþ  Ang_2,5.11d
dvijànàü kara÷uddhaye  Ang_1.884b
dvitãyadivase yadi  Ang_1.85d
dvitãyà kà¤canàhvayà  Ang_1.453b
dvitãyàtanaya÷cettu  Ang_1.435c
dvitãyàtanayasya saþ  Ang_1.433d
dvitãyàdipurodbhåtà  Ang_1.432a
dvitãyàdisamudbhåto  Ang_1.414a
dvitãyàdisutasya và  Ang_1.479b
dvitãyàdisutànàü syàt  Ang_1.433a
dvitãyàdisutàn sarvàn  Ang_1.415a
dvitãyàdisutàstu cet  Ang_1.416b
dvitãyàdisuto gçhã  Ang_1.428b
dvitãyàdisuto yuvà  Ang_1.429b
dvitãyà bhoginã nàrã  Ang_1.449c
dvitãye tatra naiva sà  Ang_1.74b
dvibhàryake kriyàkçccet  Ang_1.419a
dvividhaþ parikãrtitaþ  Ang_1.694b
dvisvabhàveùu rà÷iùu  Ang_1.640d
dve tisro và sthità÷cettu  Ang_1.391a
dvedhà kçtvà tataþ param  Ang_1.982b
dvaividhyaü kila saüpràptaü  Ang_1.507a
dvaividhyaü samupàgatam  Ang_1.507d
dvaividhyaü samupàgatam  Ang_1.508b
dvau pàdau bandhane caret  Ang_2,10.4b
dvau màsau snànamabhyaïgaü  Ang_2,11.2c
dvau viprau visçjedannaü  Ang_1.960c
dvyàrùeyàõi tryàrùeyàõi  Ang_1.350c
dhanato yasya yo loke hy  Ang_1.330a
dhanatyàgaü gçhe kçtvà  Ang_2,10.19a
dhanavçttigçhakùetra-  Ang_1.148c
dhanasaügrahaõodyukta-  Ang_1.749c
dhanurmàse tu saüpràpte  Ang_1.714c
dhanuùkoñyàü samàhitaþ  Ang_1.196b
dharàvàso dharà÷rayaþ  Ang_1.518b
dharmaj¤ena mahàtmanà  Ang_1.314d
dharmaj¤aistattvadar÷ibhiþ  Ang_1.42d
dharmaj¤aiþ kathità hi sà  Ang_1.458d
dharmata÷ca samàcaret  Ang_1.221d
dharmataþ sarvakarmasu  Ang_1.1011b
dharmanyåno nopanayed  Ang_1.381c
dharmapatnã ca kevalam  Ang_1.446d
dharmapatnãjasannidhiþ  Ang_1.475b
dharmapatnã na socyate  Ang_1.449d
dharmapatnãsamudbhåto  Ang_1.450a
dharmapatnãsamudbhåto hy  Ang_1.465c
dharmapatnãsutaü pràhur  Ang_1.414c
dharmapatnãsutànnyånà  Ang_1.457c
dharmapatnãsute bàle  Ang_1.469a
dharmapatnãsutaiþ samàþ  Ang_1.416d
dharmapatnãsuto jyaiùñhyaü  Ang_1.415c
dharmapatnãsutotpatyà  Ang_1.432c
dharmapatnãsuto bàlo  Ang_1.429a
dharmapatnãsuto bàlo  Ang_1.459a
dharmapatnãsuto varõã  Ang_1.428a
dharmapatnyabhicodità  Ang_1.451b
dharmapatnyàü samudbhåta  Ang_1.413c
dharmapatnyai samantrakam  Ang_1.869b
dharmamya parùada÷caiva  Ang_2,5.3a
dharmavidbhiranåcànair  Ang_2,11.11c
dharmavidbhirudàhçtà  Ang_1.447d
dharmavidbhiþ sanàtanaiþ  Ang_1.650b
dharmavidbhyo nivedayet  Ang_2,2.4d
dharmavedavivarjitam  Ang_2,5.13d
dharmavedàïgapàragàþ  Ang_2,6.16b
dharma÷àstramanuttamam  Ang_2,1.8b
dharma÷àstramidaü kçtam  Ang_2,1.5b
dharmasya dar÷anàrthàya  Ang_2,1.1c
dharmasya parùada÷caiva  Ang_2,1.2c
dharmaü pçcchàmi tattvena  Ang_2,6.9c
dharmaþ proktaþ sanàtanaþ  Ang_2,1.6d
dharmaþ syàccodanà proktas  Ang_1.3a
dharmà÷rayakaraþ praràñ  Ang_1.518d
dharmeõa ca yathoktena  Ang_2,4.9c
dhànyadveùã daridrahçt  Ang_1.516d
dhànyaü kùãramayauùadham  Ang_2,8.16d
dhàraõaü ÷uddhavàsasàm  Ang_1.174d
dhàrayati vidhànena  Ang_1.55c
dhàràü tàü pravadetparàm  Ang_1.889d
dhàryàõyeva vidhànataþ  Ang_1.60b
dhàvanàvasare sute  Ang_1.1047b
-dhikaü ÷àstravirodhi yat  Ang_1.849d
dhurilocanasaüyuktaü  Ang_1.704a
dhåpadãpadukålàdi  Ang_1.801c
dhåpadãpàdibhistathà  Ang_1.862b
dhçtayaj¤opavãtavàn  Ang_1.53b
dhçtaya÷càpi pàtà÷ca  Ang_1.611a
dhçtavastraü ca duþ÷añham  Ang_1.757b
dhçtipàtamahàlayàþ  Ang_1.606b
dhçtvà puõóraü vidhànataþ  Ang_1.1077d
dhenà senà sanà somà  Ang_1.927a
dhairyado mànakçt kuõiþ  Ang_1.513d
dhyàyinàmàtmavedinàm  Ang_2,4.5d
na kadàcittu ÷akyate  Ang_1.628d
na kavyàya bhavedeva  Ang_1.323c
na kàryamiti vàcyaü kiü  Ang_1.38c
na kuryàcchràddhadivase  Ang_1.1023c
na kuryàttattu sarvadà  Ang_1.261b
na kuryàt svànubandhataþ  Ang_1.133d
na kuryàdanumàsike  Ang_1.878b
na kuryàdeva vidhinà  Ang_1.1022c
na kuryàdeva sahasà  Ang_1.263a
na kuryàdbhåribhojanam  Ang_1.1073b
na kuryànna ca kàrayet  Ang_1.98d
