GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
asavarõàs tu sampåjyàş  Mn_2.210c
asavarõàsv ayaü j¤eyo  Mn_3.43c
asavarõeùu tatkurvan  Ang_1.338a
asahanneva kevalam  Ang_1.573b
asahyoùõaü mahoùõaü và  Ang_1.241c
asaükhyàkànyanantàni  Ang_1.158a
asaükhyà mårtayas tasya  Mn_12.15a
asaüdigdhaü sphuñàkùaram  K_253b
asaüdigdhaü sphuñàkùaram  K_267b
asaüdigdhe prati÷rute  K_104b
asaüditànàü saüdàtà  Mn_8.342a
asaüdiùña÷ ca yat kuryàt  Nar_3.05c
asaünidhàv ayaü j¤eyo  Mn_5.74[73M]c
asaüpaïktyàvivàhikàş  YS182v_2.9b
asaüpàñhyà avivàhinaş  YSS_1.18b
asaüpàñhyà 'vivàhinaş  Mn_9.238b
asaüpàñhyà vivàhinaş  YS78v_14b
asaübaddhakçta÷ caiva  Mn_8.163c
asaübaddhakçta÷ caiva  Yj_2.32c
asaübaddhapralàpa÷ ca  Mn_12.6c
asaübandhà ca yonitaş  Mn_2.129b
asaübhaùyo hy apàïkteyaş  YS182v_3.19c
asaübhàùya÷ ca kartavyas  Nar_19.52c
asaübhàùyaş prayatnena  Ang_1.766a
asaübhàùye sàkùibhi÷ ca  Mn_8.55a
asaübhàùyo hy apàïkteyaş  Par_7.8a
asaübhàùyo hy apàïkteyaş  YS78v_24c
asaübhojyà apratigràhyà  YSS_1.18a
asaübhojyà hy asaüyàjyà  Mn_9.238a
asaümohàrtham àryàõàü  K_935c
asaü÷ayaü prakurvãta  Ang_1.883c
asaü÷rave caiva guror  Mn_2.203c
asaüsçùñy api vàdadyàt  Yj_2.139c
asaüskàràt tu nàpitaş  Par_11.22d
asaüskçtapramãtànàü  Mn_3.245[235M]a
asaüskçtapramãtànàü  YS99v_98c
asaüskçtàn pa÷ån mantrair  Mn_5.36a
asaüskçtàs tu saüskàryà  Yj_2.124a
asaüskçto dattasånuş  Ang_1.305c
asàkùikahate cihnair  Yj_2.212a
asàkùikeùu tv artheùu  Mn_8.109a
asàkùiõas te duùñatvàt  Nar_1.141c
asàkùiõas te vacanàn  Nar_1.140c
asàkùiõo ye nirdiùñà  Nar_1.170a
asàkùipratyayàs tv anye  Nar_1.154a
asàkùipratyayà hy ete  Nar_1.157c
asàkùimatsàkùimac ca  K_249c
asàkùimat sàkùimac ca  Nar_1.115c
asàkùivyavahàreùu  YS182v_5.26c
asàkùy api hi ÷àstreùu  Nar_1.137a
asàkùy eko 'pi sàkùitve  Nar_1.174c
asàdhujananaü kråraü  K_933c
asàdhyaü và viruddhaü và  K_140c
asàmarthyàt smçter api  Nar_M1.38b
asàram iti tattvena  K_186c
asàràõi bahåny api  K_222b
asàvardhodayo yogaş  Ang_1.181a
asàv aham iti bruvan  Mn_2.216d
asàv aham iti bruvan  Yj_1.26b
asàv aham iti bråyàt  Mn_2.130c
asicarmàyudhaiş sthale  Mn_7.192[193M]d
asiddho 'pi hi manyate  Yj_3.152d
asipatravanaü caiva  Mn_4.90c
asipatravanaü caiva  Yj_3.224c
asipatravanàdãni  Mn_12.75c
asibhiş ÷àtayiùyanti  Nar_1.198c
asåyakàya màü màdàs  Mn_2.114c
asçjat pårvam ã÷varaş  Mn_7.14d
asçjan bhåritejasaş  Mn_1.36b
asevyàsevino viprà  YS182v_4.62a
asau nàmàham asmãti  Mn_2.122c
asau svargàya lokàya  Par_5.22c
askannam avyathaü caiva  Yj_1.316a
astaügate yadà sårye  Par_7.9c
astaü gate yadà sårye  YS182v_3.8a
astaü gato yadà sårya÷  YS78v_18a
astinàstitvam eva ca  K_732b
asteyaü manur abravãt  Mn_8.339d
asteyaü saparigrahàt  Nar_18.35b
astvityapi ca taddhaste  Ang_1.888a
asthicarmàdi patitaü  Par_11.41c
asthidantamayasya ca  Mn_5.121[120M]b
asthibhaïgaü gavàü kçtvà  Ang_2,10.8a
asthibhaïge tathà ÷çïga-  Ang_2,10.10a
asthimatàü tu sattvànàü  Mn_11.140[139M]a
asthimatàü sahasraü tu  Yj_3.269c
asthi saücayanaü kàryaü  YS99v_87c
asthisaücayanaü proktaü  YS99v_88c
asthisaücayanàt pårvaü  Par_12.29(28)a
asthisaücayanàd çte  Mn_5.68[67M]d
asthisthåõaü snàyuyutaü  Mn_6.76a
asnàtvà naiva bhu¤jãtà  Par_12.44(43)a
asnehà api godhåma-  Yj_1.169c
asnehàktaü dvijàtibhiş  Mn_5.25b
aspaùñaspaùñavarõe và  Ang_1.469c
aspç÷yatvaü na såtyàü syàd  Ang_1.45c
aspç÷yadhårtadàsànàü  K_783a
aspç÷yaspar÷ane caivam  Ang_1.167c
aspç÷yàdhamadàsànàü  K_433a
asmatkàryavirodhi tat  Ang_1.374d
asmatpitaiva praùñavya  Par_1.4c
asmàkamapi santi hi  Ang_1.569d
asmàkaü caiva sarveùàü  Ang_2,3.2c
asmàd apracyuto vipraş  Mn_12.116c
asmàd dharmàn na cyaveta  Mn_7.98[99M]c
asmàrte 'nugamàbhàvàt  K_321c
asmin kaliyuge sadà  Par_1.31d
asmin dharmo 'khilenokto  Mn_1.107a
asmin manvantare dharmàş  Par_1.16a
asmin snàto càpakoñau  Ang_1.181c
asmai dattaü mayà sàrdhaü  K_182a
asya nityam anuùñhànaü  Mn_7.100[101M]c
asya ÷àstrasya dhàraõàt  Yj_3.332d
asya sarvasya ÷çõuta  Mn_12.2c
asraü gamayati pretàn  Mn_3.230[220M]a
asvatantrakçtaü kàryaü  K_465a
asvatantrakçtàş siddhiü  K_467c
asvatantras tathaiva ca  Nar_1.35b
asvatantraş sa hetutaş  Nar_1.36d
asvatantraş smçtaş ÷iùya  Nar_1.29c
asvatantràş prajàş sarvàş  Nar_1.29a
asvatantràş striyaş kàryàş  Mn_9.2a
asvatantràş striyaş putrà  Nar_1.30a
asvatantreõa mugdhena  K_692c
asvargyaü ca paratràpi  Mn_8.127c
asvargyaü càtibhojanam  Mn_2.57b
asvargyaü lokavidviùñaü  Yj_1.156c
asvargyà lokanà÷àya  K_044a
asvargyà hy àhutiş sà syàc  Mn_5.104[103M]c
asvastha iva lakùyate  Nar_1.175b
asvasthamattonmattàrta-  K_096c
asvasthas tri÷ataü japet  YS99v_9b
asvasthaş sarvam etat tu  Mn_7.226[230M]c
asvàtantryam atas tàsàü  Nar_13.30c
asvàmikam adàyàdaü  Nar_3.16a
asvàminà kçto yas tu  Mn_8.199a
asvàmivikrayaü dànam  K_612a
asvàmyanumatàd dàsàd  Nar_7.3a
asvàmyanumatenaiva  K_762a
ahany ahany avekùeta  Mn_8.419a
ahany ekàda÷e nàma  Yj_1.12a
aham adyaiva tat sarvam  Par_1.35a
aham eùàm iti sthitiş  Yj_3.153b
ahas tatrodagayanaü  Mn_1.67c
ahastà÷ ca sahastànàü  Mn_5.29c
ahas tv adattakanyàsu  Yj_3.24a
ahaükàra÷ ca buddhi÷ ca  Yj_3.177c
ahaükàraş smçtir medhà  Yj_3.174a
ahaükàreõa manasà  Yj_3.164a
ahaü tan na vijànàmi  Par_12.37(36)c
ahaü duùkçtakarmà vai  Par_12.67(66)c
ahaü prajàş sisçkùus tu  Mn_1.34a
ahaş kçtsnaü prakãrtitam  Ang_1.642b
ahaş ÷uklaü tathottaram  Yj_3.193b
ahaş÷eùaü sahàsãta  Yj_1.113c
ahaşsaükramaõe puõyam  Ang_1.642a
ahàryaü bràhmaõadravyaü  Mn_9.189a
ahàryaiş paricàrakaiş  Mn_7.217[221M]b
ahitaü ÷astradhàraõam  Nar_10.5b
ahinakravighàtã ca  Par_6.3c
ahiüsayà ca bhåtànàm  Mn_6.60c
ahiüsayendriyàsaïgair  Mn_6.75a
ahiüsayaiva bhåtànàü  Mn_2.159a
ahiüsà gurusevà ca  Mn_12.83c
ahiüsàm eva tàü vidyàd  Mn_5.44c
ahiüsà satyam akrodham  Mn_11.222[221M]c
ahiüsà satyam asteyaü  Mn_10.63a
ahiüsà satyam asteyaü  Yj_1.122a
ahiüsà steyamàdhurye  Yj_3.312c
ahiüsro damadànàbhyàü  Mn_4.246[247M]c
ahãnakramacihnaü ca  K_253c
ahãnakramacihnaü ca  K_267c
ahutaü ca hutaü caiva  Mn_3.73[63M]a
ahoóhàn vimç÷ec cauràn  Nar_19.15a
ahobhiş sadvigarhitaiş  Mn_3.46d
ahoràtram abhojanam  Par_6.8d
ahoràtram upàsãrann  Mn_11.183[182M]c
ahoràtram upoùya saş  Par_6.14d
ahoràtraü tu tàvataş  Mn_1.64d
ahoràtraü bhuktihainyaü  Ang_1.46c
ahoràtràntaràn naraş  Par_12.61(60)d
ahoràtreõa niùkramet  Par_10.18d
ahoràtreõa ÷udhyati  Par_6.2d
ahoràtreõa ÷udhyati  Par_6.10d
ahoràtreõa ÷udhyati  Par_6.25d
ahoràtreõa ÷udhyati  Par_10.15d
ahoràtreõa ÷udhyati  Par_10.34b
ahoràtreõa ÷udhyati  YS182v_3.49b
ahoràtre vibhajate  Mn_1.65a
ahoràtroùitas tiùñhej  Par_6.15c
ahoràtroùitaş snàtvà  Par_6.21c
ahoràtroùito bhåtvà  YS99v_5c
ahoràtroùito bhåtvà  YS99v_6c
ahnà caikena ràtryà ca  Mn_5.64[63M]a
ahnà ràtryà ca yà¤ jantån  Mn_6.69a
ahni dvitãyayàme vai  Ang_1.84c
ahno màsasya ùaõõàü và  Yj_3.47a
aü÷am aü÷aü yavãyàüsa  Mn_9.117c
aü÷aü ÷ådràsuto haret  Mn_9.151d
aü÷aü ÷ådràsuto haret  Mn_9.153d
àkaõñhasaümite kåpe  Par_10.18a
àkaràn ko÷am eva ca  Mn_8.419d
àkareùv adhikàrità  Yj_3.242b
àkàrakasya sarvatra  K_113c
àkàram iïgitaü ceùñàü  Mn_7.67c
àkàrair iïgitair gatyà  Mn_8.26a
àkàro 'ïgitaceùñàbhis  K_385a
àkàlikam anadhyàyam  Mn_4.103c
àkàlikam anadhyàyaü  Mn_4.118c
àkà÷apavanajyotir-  Yj_3.172c
àkà÷abhåtam àdadhyàd  K_520c
àkà÷am iva païkena  Mn_10.104c
àkà÷am ekaü hi yathà  Yj_3.144a
àkà÷aråpamàpannàş  Ang_1.865c
àkà÷aü jàyate tasmàt  Mn_1.75c
àkà÷aü vàyur agni÷ ca  Par_10.41a
àkà÷àt tu vikurvàõàt  Mn_1.76a
àkà÷àl làghavaü saukùmyaü  Yj_3.76a
àkà÷e ca kùiped vàri  YS99v_94a
àkà÷e÷às tu vij¤eyà  Mn_4.184a
àkãrõaü bhikùukair vànyair  Mn_6.51c
àkulaü ca kriyàdànaü  Nar_M2.17c
àkçùõena imaü devà  Yj_1.300a
àkçùyo 'sau nçpàj¤ayà  K_028d
àkçùyo 'sau nçpàj¤ayà  K_103d
àkrande càpy apaihãti  Mn_8.292c
àkràman vadham arhati  Nar_M2.35d
àkruùñaş ku÷alaü vadet  Mn_6.48b
àkro÷anyaïgasaühitam  Nar_1516.1b
àkùàraya¤ ÷ataü dàpyaş  Mn_8.275c
àkùikaü saurikàü ca yat  Mn_8.159b
àkùiptamoghabãjàbhyàm  Nar_12.16a
àkùipto moghabãja÷ ca  Nar_12.13c
àkùepo niùñhuraü j¤eyam  K_769c
àkhyàtavyaü tu tat tasmai  Mn_11.17[16M]c
àkhyànànãtihàsàü÷ ca  Mn_3.232[222M]c
àgacchantu me pitaro  YS99v_92c
àgacchantviti tàü càpi  Ang_1.799a
àgatàs tair vinà nçpaş  Yj_2.264d
àgamavarjitaü doùaü  Nar_M2.12a
àgamas tu kçto yena  Yj_2.28a
àgamaü nirgamaü sthànaü  Mn_8.401a
àgamaü vàpy apàü bhindyàt  Mn_9.281c
àgamaş kàraõaü tatra  Mn_8.200c
àgamaş kàraõaü tatra  Nar_1.76c
àgamaş prathamaü kàryo  Nar_M1.30a
àgamena vinàkçtà  Yj_2.29d
àgamenopabhogena  Yj_2.171a
àgame 'pi balaü naiva  Yj_2.27c
àgamo 'bhyadhiko bhogàd  Yj_2.27a
àgamo lekhyataş smçtaş  Nar_1.114d
àgarbhasaübhavàd gacchet  Yj_1.69a
àgaşsu bràhmaõasyaiva  Mn_9.241a
àgàmibhadrançpati-  Yj_1.318c
àgàmisåtakaü j¤àtvà  Ang_1.101c
àgomaithunam àsevyaş  YSS_1.27c
àgneyaü bhasmanà snànam  Par_12.10a
àgneyaü vàruõaü bràhmaü  Par_12.9c
àcakùàõena tat steyam  Mn_8.314c
àcakùàõena tatsteyam  Nar_19.53c
à caturthàd bhavet sràvaş  Par_3.16a
àcaturda÷akàd ahno  K_463a
à caturviü÷ater vi÷aş  Mn_2.38d
àcamya prayato nityam  Mn_2.222a
àcamya prayato nityaü  Mn_5.86[85M]a
àcamya pràïmukhaş ÷uciş  Mn_2.51d
àcamyàgnyàdi salilaü  Yj_3.13a
àcamyaiva tu nişsnehaü  Mn_5.87[86M]c
àcamyodakparàvçtya  Mn_3.217[207M]a
àcaran vicared iha  Mn_4.18d
àcaret trãõi kçcchràõi  YS78v_49a
àcaret sadç÷ãü vçttim  Yj_1.123c
àcared yavamadhyame  Mn_11.217[216M]b
àcàntaş punar àcàmed  Yj_1.196c
àcàntaş punar àcàmed  Par_12.18c
àcàntaş ÷ucitàm iyàt  Mn_5.143[141M]d
àcàntàü÷ cànujànãyàd  Mn_3.251[241M]c
àcànto 'py a÷ucir bhavet  Par_12.16d
àcàmet prayato 'pi san  Mn_5.145[143M]d
àcàmed eva bhuktvànnaü  Mn_5.144[142M]c
àcàmed và jalasthe 'pi  Par_12.15c
àcàradravyadàneùña-  K_160a
àcàrabhraùñadehànàü  Par_1.37c
àcàram agnikàryaü ca  Mn_2.69c
àcàra÷ caiva ÷à÷vataş  Mn_1.107d
àcàra÷ caiva sàdhånàm  Mn_2.6c
àcàrasya ca varjanàt  Mn_5.4b
àcàrahãnaş klãba÷ ca  Mn_3.165[155M]a
àcàraü jagçhuş param  Mn_1.110d
àcàraş paramo dharmaş  Mn_1.108a
àcàràd ãpsitàş prajàş  Mn_4.156b
àcàràd dhanam akùayyam  Mn_4.156c
àcàràd vicyuto vipro  Mn_1.109a
àcàràl labhate hy àyur  Mn_4.156a
àcàreõa tu saüyuktaş  Mn_1.109c
àcàreõa na coktitaş  Ang_1.842b
àcàreõa ÷rutena ca  Ang_2,4.9b
àcàreõàvasanno 'pi  K_171a
àcàro dharmapàlakaş  Par_1.37b
àcàro hanty alakùaõam  Mn_4.156d
àcàryatanayàü tathà  Yj_3.232d
àcàryatvaü ÷rotriya÷ ca  Yj_1.276a
àcàryapatnãü svasutàü  Yj_3.233a
àcàryapitçupàdhyàyàn  Yj_3.15a
àcàryaputraş ÷u÷råùur  Mn_2.109a
àcàrya÷ ca pità caiva  Mn_2.225a
àcàrya÷ ceti ÷ilpinaş  K_632b
àcàryas tv asya yàü jàtiü  Mn_2.148a
àcàryasya ca sarvadà  Mn_2.228b
àcàryasya pitur bhràtuş  YSS_2.34a
àcàryasya pitur màtur  K_481a
àcàryasya vased ante  Nar_5.15c
àcàryasya hiteùu ca  Mn_2.191d
àcàryasyaiva tat phalam  K_714d
àcàryasyaiva tatphalam  Nar_5.18d
àcàryaü ca pravaktàraü  Mn_4.162a
àcàryaü svam upàdhyàyaü  Mn_5.91[90M]a
àcàryaş ÷ikùayed enaü  Nar_5.16a
àcàryaş ÷iùya eva và  Mn_9.187d
àcàryaş sa udàhçtaş  Yj_1.34d
àcàryàõàü ÷ataü pità  Mn_2.145b
àcàrye tu khalu prete  Mn_2.247a
àcàrye tu svatantratà  Nar_1.29d
àcàrye saüsthite sati  Mn_5.80[79M]b
àcàryopàsanaü veda-  Yj_3.156a
àcàryo brahmaõo mårtiş  Mn_2.226a
àcàryo brahmaloke÷aş  Mn_4.182a
àcàryo latayà vinà  K_794b
àciteùu paõàn da÷a  Yj_2.238d
à cåóàn naiùikã smçtà  Par_3.17b
àcchàdya càrcayitvà ca  Mn_3.27a
àcchindyur itaràsu tu  Nar_13.25d
àcchedo yatra yoùitaş  K_909b
àjànu kùàlayetparam  Ang_1.781d
àjãvanàrthaü dharmas tu  Mn_10.79c
àjãvan svecchayà daõóyo  Yj_2.67a
àj¤ayàpi kraya÷ càpi  K_701c
àj¤à tejaş pàrthivànàü  Nar_18.19a
àj¤àyàü càsya tiùñheta  Nar_18.30c
àj¤à lekhaş paññakaş ÷àsanaü và  Nar_M2.38a
àj¤àsaüpàdinãü dakùàü  Yj_1.76a
àj¤àsedhavyatikramaş  K_949b
àjyasthalãü tu cakùuùoş  Par_5.21b
àóhyasya nikañasthasya  K_291a
àtatàyinam àyàntaü  Mn_8.350c
àtatàyini cotkçùñe  K_801a
àtarpaõaü vidhànena  Ang_1.29a
àtithyaü vai÷vadevaü ca  Par_1.39c
àtithyena bahiùkçtàş  Par_1.57b
àtiraikyaü tu mi÷rakaş  Mn_11.50[49M]d
àtiùñhaty anasåyakaş  Mn_10.128b
àtiùñhed yatnam uttamam  Mn_9.252d
àtiùñhed yatnam uttamam  Mn_9.333b
àturàm abhi÷astàü và  Mn_11.112[111M]a
àturàmabhi÷astàü và  Ang_2,11.6a
àture snànasampràpte  YS78v_53a
àture snànotpanne  Par_7.19c
àtula÷rotriyeùu ca  Yj_3.24d
à tçtãyàt tathà varùàt  Nar_1.151a
àtçptes tu pavitràõi  Yj_1.240c
àtmakçcchraü tataş kçtvà  Par_8.30c
àtmaj¤aş ÷aucavàn dàntas  Yj_3.137a
àtmaj¤ànasya na kùamaş  Yj_3.141d
àtmaj¤ànaü paraü smçtam  Mn_12.85b
àtmaj¤àne ÷ame ca syàd  Mn_12.92c
àtmatulyaü suvarõaü và  Yj_3.258c
àtmatçptiş pra÷asyate  Ang_1.1038d
àtmana÷ ca paritràõe  Mn_8.349a
àtmana÷ càbhirakùaõam  Nar_18.31d
àtmanas tu jagat sarvaü  Yj_3.117c
àtmanas tuùñir eva ca  Mn_2.6d
àtmanas tyàginàü caiva  Mn_5.89[88M]c
àtmanaş ÷uddhim icchatà  Mn_11.160[159M]b
àtmanaş ÷reya icchatà  Yj_1.201d
àtmani pratimu¤cati  Nar_1.186d
àtmanaiva tu yojayet  K_638d
àtmanaiva sahàyena  Mn_6.49c
àtmano j¤ànahetavaş  Yj_3.190d
àtmano 'nugrahasya ca  Ang_2,6.16d
àtmano bràhmaõànàü ca  Ang_1.849a
àtmano yadi vànyeùàü  Mn_11.114[113M]a
àtmano yadi vànyeùàü  Par_8.33a
àtmano yadi vànyeùàü  Ang_2,11.8a
àtmano 'rthe kriyàrambho  Yj_3.239a
àtmano vçttim anvicchan  Mn_4.252[253M]c
àtmany agnãn samàropya  Mn_6.38c
àtmany antardadhe bhåyaş  Mn_1.51c
àtmabuddhyà pracoditàş  Par_5.25b
àtmameóhranikartanam  Par_10.10d
àtmavçttyartham eva ca  Yj_1.216d
àtma÷uddhividhàne ca  K_412c
àtmasaübhàvinaü ÷apam  Ang_1.746b
àtmasaüsiddhaye ÷rutãş  Mn_6.29d
àtmà gçhõàty ajaş sarvaü  Yj_3.78c
àtmà dãpa ivàcalaş  Yj_3.109b
àtmànam atha sàkùiõaş  Mn_8.45b
àtmànam arpayed yasmai  Mn_9.177c
àtmànam àtmanà yàs tu  Mn_9.12c
àtmànaü ghàtayed yas tu  YS99v_20a
àtmànaü ca pa÷uü caiva  Mn_5.42c
àtmànaü ca mahãpatiş  Yj_1.319d
àtmànaü cà÷uciü dvijaş  Mn_4.127d
àtmànaü caikaviü÷akam  Mn_3.37b
àtmànaü copaghàtayet  Par_12.41(40)d
àtmànaü pàtayiùyati  Nar_1.203d
àtmànaü pàtayeddhore  Ang_1.71a
àtmànaü manyate dvijaş  Yj_3.309b
àtmànaü ÷ira eva ca  Mn_2.60d
àtmànaü satataü rakùed  Mn_7.213[217M]c
àtmànaş prabhavanti hi  Yj_3.67d
àtmànyakàyaü spç÷yenna  Ang_1.227a
àtmàrtham avicàrayan  Mn_7.212[216M]d
àtmàrthaü ca kriyàrambho  Mn_11.64[63M]c
àtmàrthaü viniyuktaü và  K_674c
àtmàrthe kiü na kuryàt sa  Nar_1.207c
àtmà sarvaga ã÷varaş  Yj_3.176d
àtmà hi janayaty eùàü  Mn_12.119c
àtmãyaü càtmanà kçtam  K_849b
àtmãye saüsthità dharme  K_009a
àtmaiva devatàş sarvàş  Mn_12.119a
àtmaiva hy àtmanaş sàkùã  Mn_8.84a
àtreyãm eva ca striyam  Mn_11.87[86M]d
àtharvaõena hantà ca  K_802c
àdatte yugapat prabhuş  Yj_3.72d
àdadànas tu tal lobhàt  Mn_9.243c
àdadànaş parakùetràn  Mn_8.341c
àdadàno dadat caiva  Mn_8.223c
àdadãta na ÷ådro 'pi  Mn_9.98a
àdadãta yato j¤ànaü  Mn_2.117c
àdadãta sa pàpabhàk  K_019d
àdadãtàgryam agrajaş  Mn_9.114b
àdadãtàtha ùaóbhàgaü  Mn_7.131[132M]a
àdadãtàtha ùaóbhàgaü  Mn_8.33a
àdadãtàmam evàsmàd  Mn_4.223[224M]c
àdadãtàrtham evaü tu  K_586a
àdadãtàvaràd api  Mn_2.238b
àdadyàd bràhmaõãü yas tu  K_726a
àdadhyàt tat kathaü na syàc  K_521c
à dantajanmanaş sadya  Par_3.17a
àdantajanmanaş sadyà  Yj_3.23a
àdàtu÷ ca vi÷uddhyartham  Yj_3.250c
àdànanityàc càdàtur  Mn_11.15[14M]a
àdànam apriyakaraü  Mn_7.204[205M]a
àdànaü pà¤cabhautikam  Yj_3.175d
àdàne và visarge và  K_911c
àdàya gacchaty avi÷iùñabuddhiş  YSS_1.47b
àdàyàrùas tu godvayam  Yj_1.59b
àdàv ante ca sarvadà  Mn_2.74b
àdàvantye ca pàdye ca  Ang_1.782a
àdàv eva caturyugam  Mn_1.71b
àdityam avalokayet  Par_6.24b
àdityam upatiùñhate  Mn_3.76[66M]b
àdityasya sadà påjàü  Yj_1.294a
àdityà iti tadgaõàş  Ang_1.674d
àdityàj jàyate vçùñir  Mn_3.76[66M]c
àdityà÷caiva kçtsna÷aş  Ang_1.32b
àdityà÷ caiva devatàş  Par_12.24(23)b
àdideva udàhçtaş  Yj_3.126b
àdimadhyàvasànakam  Ang_2,3.4d
àdimadhyàvasàneùu  Yj_1.30a
àdiùñã nodakaü kuryàd  Mn_5.88[87M]a
àdeyasya ca varjanàt  Mn_8.171b
àdau tu kàraõaü madhye  K_322a
àdau madhye 'vasàne và  Nar_6.2c
àdau saükalpya prayataş  Ang_1.772c
àdyadattaikataddatta-  Ang_1.351c
àdyante dyuni÷oş sadà  Mn_4.25b
àdyam ekàda÷e 'hani  Yj_1.256d
àdya÷ràddhe tu bhu¤jàna-  Ang_1.949c
àdyaü yat tryakùaraü brahma  Mn_11.265[264M]a
àdyàd ahno 'ùñabhàgàd yad  K_062a
àdyàdyasya guõaü tv eùàm  Mn_1.20a
àdyà÷ catasras tu varjayet  Yj_1.79d
àdyau tu vitathe dàpyàv  Yj_2.53c
àdyau tu vitathe dàpyau  K_536a
àdras tu sapalà÷a÷ ca  Par_9.10c
à dvàviü÷àt kùatrabandhor  Mn_2.38c
àdhatta pitara÷ceti  Ang_1.869c
àdhattaş svàminà ca yaş  Nar_5.24d
àdhatto 'pi dhanaü dattvà  Nar_5.30a
àdhayo vyàdhayaş kle÷à  Yj_3.63c
àdharyaü gurur abravãt  K_170d
àdharyaü pårvapakùasya  Nar_1.146a
àdhàtà càdhim àpnuyàt  K_527d
àdhàtà yatra na syàt tu  K_529a
àdhànasahitaü yatra  K_302a
àdhànaü naiva kàrayet  Par_4.29b
àdhànaü vikrayaü vàpi  Yj_2.247c
àdhànaü vikrayo dànaü  K_518a
àdhàrabhåtaş prakùepas  Nar_3.02c
àdhàreõa ca vipràõàü  Par_6.42c
àdhikekhyaü vinà÷ayet  K_528d
àdhikyaü tatprakathitaü  Ang_1.939a
àdhikyaü tatsutàtparam  Ang_1.441d
àdhikyaü dhruvam àtmanaş  Mn_7.169[170M]b
àdhikyaü nyånatà càü÷e  K_732a
àdhidaivikam eva ca  Mn_6.83b
àdhibhogas tv a÷eùo yo  K_501a
àdhibhogaş sa ucyate  K_501d
àdhim anyaü sa dàpyaş syàd  K_524c
àdhim ekaü dvayor yas tu  K_517a
àdhir anyo 'dhikartavyo  Nar_1.111c
àdhir bhuktaş suni÷citam  K_300b
àdhir yo dvividhaş prokto  Nar_1.119a
àdhivedanikaü samam  Yj_2.148b
àdhivedanikàdyaü ca  Yj_2.143c
àdhi÷ copanidhi÷ cobhau  Mn_8.145a
àdhisãmopanikùepa-  Yj_2.25a
àdhis tu bhujyate tàvad  Yj_2.90c
àdhisteno 'nyathà bhavet  Mn_8.144d
àdhiü ca vinivartayet  K_612b
àdhiü duùñena lekhyena  K_528a
àdhiü bhåïkte 'vicakùaõaş  Mn_8.150b
àdhiş pattraü vikrayo và krayo và  Nar_M2.38b
àdhiş praõa÷yed dviguõe  Yj_2.58a
àdhiş sàdhàraõaü ca yat  Nar_4.04b
àdhiş sãmà bàladhanaü  Mn_8.149a
àdhiş sãmà bàladhanaü  Nar_1.73a
àdhiş steno 'nyathà bhavet  Yj_2.62b
àdhãkçtaü tu yat kiücid  K_523a
àdheş svãkaraõàt siddhã  Yj_2.60a
àdhau pratigrahe krànte  YS182v_5.23c
àdhau pratigrahe krãte  Yj_2.23c
àdhau vikçtim àgate  Nar_1.110b
àdhyàtmikaü ca satataü  Mn_6.83c
àdhyàdãnàü vihartàraü  Yj_2.26a
àdhyàdãny api jãryante  Nar_1.74c
ànantaryàt svayonyàü tu  Mn_10.28c
ànantyàyaiva kalpyante  Mn_3.272[262M]c
ànandasàgare magnà  Ang_1.558a
à nipàtàc charãrasya  Mn_6.31c
à nipàtàd ajihmagaş  Mn_11.104[103M]d
