Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
kçtvà tu spar÷anàlàpaü  BrP_221.141a
kçtvà tenànçtaü vakùya  BrP_135.11a
kçtvà teùàü yathàvidhi  BrP_212.5b
kçtvà toyamayaü vapuþ  BrP_179.17d
kçtvàtmànaü mahàbàhu÷  BrP_213.125a
kçtvà divyena ÷udhyati  BrP_58.45d
kçtvà devaiþ sa ràkùasaþ  BrP_176.20b
kçtvà de÷am akaõñakam  BrP_140.31d
kçtvà daityai÷ ca saügamam  BrP_162.30b
kçtvà dvàda÷adhàtmànam  BrP_30.25c
kçtvà dvàravatãü yayau  BrP_207.33d
kçtvà dharmaü ca bho dvijàþ  BrP_27.3b
kçtvà natvà suràn imàn  BrP_131.55b
kçtvàni÷aü tàbhir udàrabhàvaþ  BrP_128.31c
kçtvà niþkùatriyàü cainàü  BrP_213.118a
kçtvà nçsiüharåpaü ca  BrP_180.28c
kçtvàpatyaü guõottaram  BrP_34.69b
kçtvàpasavyaü vàyavyàü  BrP_221.93c
kçtvà pàdàbhivàdanam  BrP_219.88d
kçtvà pàpam avàpnuyuþ  BrP_217.114d
kçtvà pàpàni karmàõi  BrP_218.2a
kçtvà pàpàni karmàõi  BrP_218.3a
kçtvàpi bahu÷aþ pàpaü  BrP_216.87a
kçtvà putram avàpnuyàt  BrP_124.125d
kçtvà paurvàhõikaü karma  BrP_50.19c
kçtvà paurvàhõikãü kriyàm  BrP_87.39d
kçtvà pratij¤àü rukmã ca  BrP_199.9c
kçtvà pratiùñhàü vidhivat  BrP_51.54a
kçtvà pradakùiõaü tatra  BrP_58.24a
kçtvà pradakùiõaü såryaü  BrP_60.52a
kçtvà pràõà¤ jahau dvijàþ  BrP_228.89b
kçtvà pràyàd yathoditam  BrP_211.1d
kçtvà bhàràvataraõaü  BrP_210.3a
kçtvà màtsaryam agrataþ  BrP_73.8b
kçtvà yat phalam àpnoti  BrP_175.86c
kçtvà yàsyàmi tàü purãm  BrP_208.26d
kçtvà ratnàkulaü de÷aü  BrP_36.6c
kçtvà ràjànam abhyagàt  BrP_122.13b
kçtvà ràjyaü pità mama  BrP_107.27b
kçtvà ràjyaü svadharmeõa  BrP_67.77c
kçtvà råpaü caturbhujam  BrP_58.76b
kçtvà råpaü caturbhujam  BrP_67.60b
kçtvà råpaü caturbhujam  BrP_227.38d
kçtvàvadhàraõaü pa÷càj  BrP_67.34a
kçtvà vàyur a÷oùayat  BrP_2.38b
kçtvà vinimayaü muniþ  BrP_155.12d
kçtvà vini÷cayaü sarve  BrP_14.55c
kçtvà vibhavataþ pa÷càd  BrP_221.26c
kçtvà ÷irasi tat pàtram  BrP_28.33a
kçtvà÷vàsakaraü vàkyaü  BrP_40.103c
kçtvà samyak susaüyatàþ  BrP_27.4b
kçtvà sarvaü yathànyàyaü  BrP_104.71c
kçtvà sasyàny aneka÷aþ  BrP_209.9d
kçtvà saükarùaõaü kçùõaü  BrP_63.19c
kçtvà sà hçdi taü vibhum  BrP_36.30d
kçtvà su÷obhanaü karma  BrP_27.6c
kçtvà su÷obhanaü ma¤caü  BrP_65.6a
kçtvà snànaü satarpaõam  BrP_99.11b
kçtvà snànàdikarma ca  BrP_169.36b
kçtvà snànàdikaü sarvaü  BrP_28.29c
kçtvà svabhavanaü yayau  BrP_169.26b
kçtvà svavibhavocitam  BrP_220.204d
kçtvà svaü råpam uttamam  BrP_228.142b
kçtvà hutà÷aü pradadau svayaü ca  BrP_229.52c
kçtvàhutiü tava kråra  BrP_34.35a
kçtvà hçdi mahe÷varam  BrP_36.5d
kçtvelàyàþ pradakùiõam  BrP_87.30b
kçtvaikàgryaü samàhitaþ  BrP_236.48d
kçtvaivaü kavacaü pa÷càd  BrP_60.42c
kçtvaivaü samabhàùata  BrP_35.34d
kçtvai÷varyam agàd vipraþ  BrP_140.4a
kçtvotpàdya sutàn bahån  BrP_111.82d
kçtvopatiùñhate pårvaü  BrP_87.16c
kçtsnam etàvatas tàta  BrP_241.34a
kçtsnasya jagato guruþ  BrP_30.21d
kçtsnasya jagato gopaü  BrP_188.26c
kçtsnaü ca himavatpàr÷vaü  BrP_231.71a
kçtsnaü jagad idaü dvijàþ  BrP_54.23b
kçtsnaü jagad idaü vyàptaü  BrP_30.27c
kçtsnaü jagad idaü vyàptaü  BrP_30.42c
kçtsnaü trailokyam àtmanà  BrP_241.18d
kçtsnaü bàhusahasraü ca  BrP_213.116a
kçtsnaü yaj¤avidhiü ràj¤e  BrP_47.49a
kçtsnaü saü÷oùayej jagat  BrP_239.21d
kçtsnaü hi sàükhyà munayo mahàtma  BrP_240.111c
kçdupàdhyàyadehadàþ  BrP_158.26b
kçntadbhiþ krakacàghàtair  BrP_214.86a
kçntadbhiþ krakacàghàtair  BrP_214*.86a
kçpaõasya ca yat pàpaü  BrP_228.28a
kçpayà ca pratij¤ayà  BrP_8.1b
kçpayà càbravãn nçpaþ  BrP_122.14d
kçpayà tava ÷aükara  BrP_175.52d
kçpayà puruùottamaþ  BrP_53.18d
kçpayà pràha gautamaþ  BrP_87.67d
kçpayà yamakiükaràþ  BrP_123.138b
kçpayàviùñamànasaþ  BrP_86.8d
kçpayà vismayena ca  BrP_92.23d
kçpànuùñhànalipsayà  BrP_35.7b
kçpàrdraü yan mano nityaü  BrP_170.83c
kçpàvate 'tha kùamiõe hitàya  BrP_245.34d
kçpàsindhur janàrdanaþ  BrP_163.48d
kçpàü kartuü tvam arhasi  BrP_228.67d
kçpàü kuru jagannàtha  BrP_49.48c
kçpàü kçtvà prajàgaram  BrP_228.71b
kçmayo màüsam àdàya  BrP_6.29c
kçmayo màüsam àdàya  BrP_32.72a
kçmikãñadrumàõàü ca  BrP_49.35a
kçmikãñapataügàdi  BrP_161.49c
kçmikãñapataügàdyàs  BrP_177.19a
kçmipåyapariplutam  BrP_215.109d
kçmipåye nara÷ caiko  BrP_22.18c
kçmibhàvam anupràpto  BrP_217.47a
kçmiyonau caturda÷a  BrP_217.70d
kçmiyonau prajàyate  BrP_217.40b
kçmiyonau prajàyate  BrP_217.57d
kçmiyonau prajàyate  BrP_217.70b
kçmiyonau prajàyate  BrP_217.77d
kçmiyonau prajàyate  BrP_217.91d
kçmilà÷va÷ ca pa¤camaþ  BrP_13.95b
kçmã÷aþ kçmibhojanaþ  BrP_22.3b
kçmã÷e tu duriùñikçt  BrP_22.15b
kçmes tu kçmilà purã  BrP_13.24d
kçmyàü kçmir ajàyata  BrP_13.22d
kç÷aràsaügamas tathà  BrP_105.24b
kç÷àïgà bhãtabhãtà÷ ca  BrP_215.27a
kç÷ànor eva nànyathà  BrP_126.8b
kç÷àn dçùñvà kùudhàturàn  BrP_93.6b
kç÷à÷vasya ca devarùer  BrP_3.61c
kç÷eùu kç÷avçttiùu  BrP_216.10d
kçùigorakùavàõijyaü  BrP_54.15c
kçùigorakùyavàõijyam  BrP_171.36c
kçùir vaõijyà tadvac ca  BrP_187.44a
kçùiü ca munisattamàþ  BrP_222.11b
kçùer bhàgam upàrjitam  BrP_218.19d
kçùõa ity andhakàþ smçtàþ  BrP_16.8d
kçùõakàrùõibalaiþ saha  BrP_206.28d
kçùõakukùikçtekùaõaþ  BrP_189.53d
kçùõa kçùõa jagannàtha  BrP_206.41a
kçùõa kçùõa ÷çõuùvedaü  BrP_188.29a
kçùõa kçùõa hriye tv eùa  BrP_187.19a
kçùõa kçùõeti kupità  BrP_207.33c
kçùõa kçùõeti kçùõeti  BrP_189.27c
kçùõa kçùõeti cukru÷uþ  BrP_189.52b
kçùõake÷àpahàriõe  BrP_37.9b
kçùõaceùñàsu tàsu ca  BrP_189.24b
kçùõacchàgaü ca mahiùaü  BrP_47.76c
kçùõatãrthaü ku÷àvilam  BrP_25.30b
kçùõatãrthaü tathà vañam  BrP_25.78d
kçùõatvaü mànuùeùu ca  BrP_179.71b
kçùõadar÷analàlasàþ  BrP_185.22d
kçùõadar÷analàlasàþ  BrP_189.23b
kçùõa devà÷ ca bibhyati  BrP_190.42b
kçùõadehàn niràkçtaþ  BrP_206.16d
kçùõa dvàravatãü purãm  BrP_204.7b
kçùõadvaipàyanas tadà  BrP_235.2b
kçùõadvaipàyanaü munim  BrP_246.5d
kçùõadvaipàyanàc caiva  BrP_13.121a
kçùõanàma punaþ punaþ  BrP_189.35d
kçùõapakùasya saptamyàü  BrP_29.24c
kçùõapatnyaþ sahasra÷aþ  BrP_212.6b
kçùõapàr÷vam anådgatà  BrP_189.32b
kçùõabhakto jitendriyaþ  BrP_64.20b
kçùõam akliùñakarmàõam  BrP_184.35c
kçùõam akliùñakarmàõam  BrP_185.55a
kçùõam akliùñakàriõam  BrP_189.1b
kçùõam akliùñakàriõam  BrP_189.26d
kçùõam àdohane gavàm  BrP_191.19b
kçùõamàhàtmyasaüj¤ayà  BrP_185.29d
kçùõam åcur ivàrtakàþ  BrP_188.10d
kçùõaraktekùaõàya ca  BrP_40.35b
kçùõaràmakalevare  BrP_212.1b
kçùõaràmàdibhir dvijàþ  BrP_210.37d
kçùõaràmàbhiùekàrthaü  BrP_65.5c
kçùõaràmau mudàyuktau  BrP_192.74c
kçùõaràmau vilokyàsãt  BrP_205.21a
kçùõaråpaü paraü ÷àntaü  BrP_50.43c
kçùõalohitaråpiõã  BrP_134.6b
kçùõaveõà tathàpagà  BrP_27.35b
kçùõaveõyàdikàs tathà  BrP_19.12d
kçùõa÷uklacaturda÷ã  BrP_228.28d
kçùõa÷ cakraü sudar÷anam  BrP_203.60d
kçùõa÷ ca pàtayàm àsa  BrP_186.6c
kçùõa÷ cikùepa tàlàgre  BrP_186.11c
kçùõa÷ ciccheda bàõàüs tàn  BrP_206.32a
kçùõa÷ ceti babhåva ha  BrP_4.44d
kçùõa÷yàmai÷ ca varõakaiþ  BrP_41.17b
kçùõasaükarùaõàv ubhau  BrP_179.6b
kçùõasaükarùaõàv ubhau  BrP_193.67d
kçùõasaüdar÷anàsaktaþ  BrP_191.1c
kçùõasàramçgaü dvijàn  BrP_47.76d
kçùõas tasya duràtmanaþ  BrP_192.73b
kçùõas tasyàþ stanaü gàóhaü  BrP_184.9a
kçùõas tàn utsukàn dçùñvà  BrP_187.33a
kçùõas tu vimalaü vyoma  BrP_189.14a
kçùõas tenaiva råpeõa  BrP_187.60c
kçùõas to÷alakaü bhåyo  BrP_193.65c
kçùõasya kamalodbhava  BrP_65.1b
kçùõasya ca mahãtale  BrP_179.5b
kçùõasya caraõaü ràtrau  BrP_189.23c
kçùõasya ca vi÷eùataþ  BrP_45.84d
kçùõasya nidhanàkàïkùã  BrP_190.22c
kçùõasya purataþ sthitam  BrP_57.19b
kçùõasya pradadau rakùàü  BrP_184.13c
kçùõasya bhadrayà saha  BrP_70.8d
kçùõasya mukhapaïkajam  BrP_42.49b
kçùõasya yatra govindo  BrP_202.20c
kçùõasya yena càõóàlo  BrP_229.1c
kçùõasya vadato mama  BrP_65.2b
kçùõasya vavçdhe bàhuþ  BrP_190.32a
kçùõasya samudàhçtàm  BrP_16.58d
kçùõasya salilaü dvijàþ  BrP_65.82b
kçùõasyàïghrivikuññanaiþ  BrP_185.36b
kçùõasyàtimadhusvaraiþ  BrP_197.20d
kçùõasyaiva hi tad balam  BrP_212.25b
kçùõahuükàranirdhåta-  BrP_206.26c
kçùõaü gopàïganà ràtrau  BrP_189.42c
kçùõaü candanaråùitam  BrP_63.21b
kçùõaü caiva tathàparam  BrP_184.30b
kçùõaü tato rauhiõeyaü  BrP_187.10c
kçùõaü tàü ca nipàtitàm  BrP_184.11d
kçùõaü dçùñvà mahàjyaiùñhyàü  BrP_64.2a
kçùõaü nãlàmbaraü dvijàþ  BrP_65.8b
kçùõaü balaü subhadràü ca  BrP_66.1c
kçùõaü bàlavapurdharam  BrP_53.31b
kçùõaü matvà sa durmatiþ  BrP_196.19d
kçùõaü ràmaü subhadràü ca  BrP_65.54c
kçùõaü ràmaü subhadràü ca  BrP_68.35c
kçùõaü ràmeõa saügatam  BrP_65.45b
kçùõaü ràmeõa saügatam  BrP_65.48b
kçùõaü ràmeõa saügatam  BrP_65.53b
kçùõaü satyavatãsutam  BrP_26.17b
kçùõaü subhadrayà saha  BrP_64.18b
kçùõaþ kamalalocanaþ  BrP_177.6b
kçùõaþ kaliyuge tathà  BrP_56.41b
kçùõaþ kçùõànubhautikaþ  BrP_26.14d
kçùõaþ ÷araccandramasaü  BrP_189.35a
kçùõaþ ÷ailam adhàrayat  BrP_188.19d
kçùõaþ saükarùaõa÷ caiva  BrP_66.5a
kçùõà càpi pravartate  BrP_123.38b
kçùõàjinaü muni÷reùñhà  BrP_58.42c
kçùõàjinottarãyàya  BrP_40.37a
kçùõàdãüs trida÷àrcitàn  BrP_43.19d
kçùõànusmaraõaü param  BrP_22.37d
kçùõà bhãmarathã caiva  BrP_77.5a
kçùõàyasasamaprakhyo  BrP_14.47c
kçùõàrjunà da÷aguõà  BrP_36.113a
kçùõà ÷uklàruõà pãtà  BrP_21.3c
kçùõà÷ caiva pçthak pçthak  BrP_20.31b
kçùõà÷rayabalàdhmàto  BrP_188.3c
kçùõàùñamyàm ahaü ni÷i  BrP_181.44b
kçùõecchàkàrite tasmin  BrP_233.13c
kçùõena ca mahàtmanà  BrP_17.29d
kçùõena tyàjitaþ pràõànn  BrP_193.74a
kçùõena tvàü pradharùitam  BrP_17.5b
kçùõena mathure÷varam  BrP_193.78b
kçùõena sumahàtmanà  BrP_187.26b
kçùõenàkliùñakarmaõà  BrP_184.49d
kçùõenàkliùñakarmaõà  BrP_206.25d
kçùõenànena gokulam  BrP_185.27f
kçùõenàmitraghàtinà  BrP_16.44d
kçùõe ratàþ kçùõam anusmaranti  BrP_177.5a
kçùõaikàda÷igocare  BrP_228.15b
kçùõo jagràha tasyàsthi-  BrP_194.28c
kçùõo jàmbånadàbhàso  BrP_226.11c
kçùõo jiùõuþ prajàpatiþ  BrP_3.125b
kçùõo nàgahradaü bhujaiþ  BrP_185.14b
kçùõo 'pi kupitas teùàm  BrP_210.45a
kçùõo 'pi ghàtayitvàrim  BrP_197.6a
kçùõo 'pi cintayàm àsa  BrP_196.9a
kçùõo 'pi taü dadhàraivaü  BrP_188.18a
kçùõo 'pi balabhadràdyair  BrP_199.5a
kçùõo 'pi yuyudhe tena  BrP_193.56c
kçùõo 'pi vasudevasya  BrP_193.78c
kçùõo 'pi sahito gobhir  BrP_188.49a
kçùõo babhrugataü maõim  BrP_17.35b
kçùõo bravãti ràjàrham  BrP_194.15a
kçùõo mene na taü jitam  BrP_195.9d
kçùõo 'yaü balabhadro 'yam  BrP_193.32c
kçùõo ràmam athàbravãt  BrP_17.17d
kçùõo raudraparàkramaþ  BrP_141.8d
kçùõo vçndàvanaü yayau  BrP_185.1b
kçùõo vrajam upàgamat  BrP_185.56d
kçùyate yamadåtai÷ ca  BrP_214.77c
kçùyate yamadåtai÷ ca  BrP_214*.77c
kçùyamàõaþ suniùñhuraiþ  BrP_214.100b
kçùyamàõaþ suniùñhuraiþ  BrP_214*.100b
kçùyamàõà÷ ca tair bhåtair  BrP_214.54a
kçùyamàõà÷ ca tair bhåtair  BrP_214*.54a
kçùyamàõàþ suduþkhitàþ  BrP_215.28d
kçsaraiþ pàyasaiþ påpaiþ  BrP_29.54c
kekayà madrakàs tathà  BrP_13.26d
kekayo madrakas tathà  BrP_13.26b
kekaraiþ saükulais stabdhair  BrP_214.62c
kekaraiþ saükulais stabdhair  BrP_214*.62c
kekàyamànaiþ ÷ikhibhir  BrP_36.71c
kecij j¤ànaü pra÷aüsanti  BrP_145.5a
kecit kamalapattràbhàþ  BrP_53.3c
kecit karma tathobhayam  BrP_145.5b
kecit kà¤canasaünibhàþ  BrP_68.31d
kecit ki¤jalkasaükà÷àþ  BrP_53.2c
kecit kupyanti ÷aükaram  BrP_109.24b
kecit kumudasaünibhàþ  BrP_53.2b
kecit kumudasaünibhàþ  BrP_232.32b
kecit parvatasaünibhàþ  BrP_232.35d
kecit pãtàþ payodharàþ  BrP_53.2d
kecit pãtàþ payodharàþ  BrP_232.32d
kecit puravaràkàràþ  BrP_53.4a
kecit puravaràkàràþ  BrP_232.35c
kecit pårvaü ca pårvavat  BrP_220.125b
kecit stuvanti taü devaü  BrP_26.33a
kecit stuvanti deve÷aü  BrP_109.24a
kecit sthalanibhà ghanàþ  BrP_232.36b
kecit smàrtàgnitatparàþ  BrP_28.6d
kecid a¤janasaükà÷àþ  BrP_53.4c
kecid a¤janasaükà÷àþ  BrP_232.32a
kecid atra kutåhalàþ  BrP_231.47d
kecid àbhànti paõóitàþ  BrP_224.44b
kecid icchanti sattamàþ  BrP_220.124b
kecid uttànapàdayoþ  BrP_215.27d
kecid åcuþ pa÷uü baddhaü  BrP_78.34a
kecid aupàsanakriyàþ  BrP_46.10b
kecid gatvà tataþ ÷ivam  BrP_109.23d
kecid gàyanti càgrataþ  BrP_26.33b
kecid girivaropamàþ  BrP_53.4b
kecid drutaü devavaraü stuvanti  BrP_38.19d
kecid dvibàhavas tatra  BrP_214.66a
kecid dvibàhavas tatra  BrP_214*.66a
kecid dharitasaükà÷àþ  BrP_53.3a
kecid dharidràvarõàbhà  BrP_232.33a
kecid dharmavilopakàþ  BrP_231.49b
kecid dhiïgulasaünibhàþ  BrP_53.3d
kecid bàhusahasriõaþ  BrP_214.67b
kecid bàhusahasriõaþ  BrP_214*.67b
kecid vàdyàni vàdyante  BrP_26.33c
kecid vaidåryasaükà÷à  BrP_232.33c
kecid vaidåryasaünibhàþ  BrP_68.32b
kecin nãlotpala÷yàmàþ  BrP_53.2a
kecin nãlotpala÷yàmàþ  BrP_68.31c
kecin nçtyanti càpare  BrP_26.33d
kecin madhyasthatàü gatàþ  BrP_231.47b
kecin marakataprakhyàþ  BrP_68.32a
kecin marakataprabhàþ  BrP_53.4d
ketakãkaravãrai÷ ca  BrP_41.43a
ketakãbakulàn atha  BrP_178.35d
ketakãvanakhaõóai÷ ca  BrP_28.14a
ketakãvanakhaõóai÷ ca  BrP_42.24a
ketakãvanakhaõóai÷ ca  BrP_43.52c
ketakãvanakhaõóai÷ ca  BrP_44.67a
ketakãvana÷obhitam  BrP_178.107b
ketakãvanasaüchanno  BrP_51.33a
ketumantaü mahàtmànaü  BrP_4.13c
ketumàn iti vi÷rutaþ  BrP_11.39b
ketumàn iti vi÷rutaþ  BrP_13.65d
ketumàn baladarpitaþ  BrP_213.88d
ketumàlaü ca pa÷cime  BrP_18.29b
ketuvãrya÷atahradau  BrP_3.76b
kena karmavipàkena  BrP_223.8c
kena karmavipàkena  BrP_225.43c
kena karmavipàkena  BrP_225.59c
kena caiva prakàreõa  BrP_48.2a
kena tvam indro 'dya kçto 'si kena  BrP_129.31a
kena nãtàs tasya nàma  BrP_127.40a
kena bandhena baddho 'haü  BrP_234.22a
kena yànti ÷ubhàü gatim  BrP_218.2d
kena và karmaõà vipraþ  BrP_223.10a
kena và karmaõà vibho  BrP_223.10d
kena và pratiùedhena  BrP_39.37c
kena ÷ãlena vai deva  BrP_224.3a
kena sà nirmità yàtrà  BrP_66.3a
kena syàt surasattama  BrP_122.64b
kena srakùya idaü jagat  BrP_161.13d
kenàkùayà÷ ca lokàþ syuþ  BrP_34.57a
kenàpi pa÷ya daityena  BrP_187.19c
kenàpi sàdhayanty atra  BrP_124.47c
kenàpy ato na kàryaiva  BrP_168.5c
kenàyur labhate dãrghaü  BrP_224.40a
kenàyur labhate mahat  BrP_224.40d
kenàrthitvaü tad ucyatàm  BrP_73.37b
kenety atyantavismitaþ  BrP_207.28d
kenedaü duþkhadaü karma  BrP_123.49a
kenopàyena dànena  BrP_214.6a
kenopàyena dànena  BrP_214*.6a
keyaü råpavatã sàdhvã  BrP_101.3a
ke yåyaü vãraõastambe  BrP_34.65a
keyåramukuñojjvalam  BrP_192.41b
kevalaü j¤ànam àtmanaþ  BrP_238.8d
kevalaü tu tapodhanàþ  BrP_74.67d
kevalaü tv abhimànitvàd  BrP_243.29c
kevalaü bhedakàraõam  BrP_110.184d
kevalaü mçtajanmasu  BrP_221.147b
kevalàtmà tathà caiva  BrP_245.30c
kevalena balenaiva  BrP_245.17c
kevalena samàgamya  BrP_245.14a
kevalena sametya vai  BrP_245.30d
ke÷akãñàvapanne ca  BrP_221.124c
ke÷apà÷ena ma¤jarãm  BrP_203.32d
ke÷aprasàdhanàdar÷a-  BrP_221.21a
ke÷abhasmasapàlikàþ  BrP_221.24d
ke÷avas tu tathottare  BrP_60.40d
ke÷avaþ kàryamànuùaþ  BrP_194.13d
ke÷avaþ ke÷isådanaþ  BrP_203.28d
ke÷avàdyàs tathàcyuta  BrP_49.11d
ke÷avàbhimukhaü yayau  BrP_207.15d
ke÷avàya namo nityaü  BrP_59.40a
ke÷avàràdhane viprà  BrP_59.27a
ke÷avàrpitamànasaþ  BrP_246.25d
ke÷avenànumoditaþ  BrP_210.36d
ke÷avenàvalokitàþ  BrP_212.68d
ke÷avo varuõaü gatvà  BrP_129.23c
ke÷a÷ma÷rujañàdharaþ  BrP_222.40b
ke÷ànàü caivam iùyate  BrP_221.117d
ke÷idehagato dvijàþ  BrP_190.32b
ke÷inas te dvidhà bhåte  BrP_190.36c
ke÷inaü nihataü dçùñvà  BrP_190.39c
ke÷inaþ kiü bhayàturaiþ  BrP_190.26b
ke÷inaþ saümukhaü yayau  BrP_190.29b
ke÷inã nàma nàmataþ  BrP_8.63d
ke÷ino duùñavàjinaþ  BrP_190.30d
ke÷ino vadanaü tena  BrP_190.31a
ke÷in dhenuka påtane  BrP_183.2b
ke÷inyà garbhasaübhavaþ  BrP_10.14d
ke÷ã kuvalayàpãóo  BrP_188.44c
ke÷ã càpi balodagraþ  BrP_190.22a
ke÷eùv àkçùya vigalat-  BrP_193.72c
ke÷air eva bhaviùyati  BrP_230.16d
keùàm api syàt kçtinàü nivàsaþ  BrP_117.17d
keùu pa÷yatsu kiü sthànaü  BrP_127.14c
kesaràruõamårtayaþ  BrP_36.121b
kesarã nàma tadbhartà  BrP_84.3c
kesarã parvatottamaþ  BrP_20.63d
kesarã lokavi÷rutaþ  BrP_84.5b
kaikeyà dambhamàlikàþ  BrP_27.46d
kaikeyã ca mahàmate  BrP_123.4b
kaikeyã vàkyam abravãt  BrP_123.30d
kaikeyã vighnam àtasthe  BrP_123.107a
kaikeyyàj¤àyi nàrada  BrP_123.25d
kaikeyyàþ karma tad dçùñvà  BrP_123.29c
kaiñabhaghna namas te 'stu  BrP_178.171c
kaiñabhasya sutau pàpau  BrP_118.10a
kaitavaü ceti vi÷rutam  BrP_171.47d
kaitavair bahudoùai÷ ca  BrP_171.28c
kair vicàryo mahàn ayam  BrP_136.39d
kailàsanilayaþ prabhuþ  BrP_39.8d
kailàsam àdhiùñhitam ugradhanvanà  BrP_74.88c
kailàsam àndolayataþ puràreþ  BrP_110.102b
kailàsam àndolayataþ suràreþ  BrP_143.12b
kailàsam àvàsa umàpater yaþ  BrP_143.7d
kailàsa÷ikharaü gatvà  BrP_75.1a
kailàsa÷ikharàkàraü  BrP_57.24c
kailàsaü taü nara÷reùñha  BrP_78.54a
kailàsaü mandaraü girim  BrP_54.9d
kailàsaü ÷araõaü gatàþ  BrP_34.4d
kailàsaü sa ÷ucir bhåtvà  BrP_78.55c
kailàsàdrim ivàparam  BrP_191.24d
kailàsàdrir ivottamaþ  BrP_21.18b
kailàse parvatottame  BrP_75.2d
kaivalye và sukhaü manàk  BrP_106.7d
kai÷ càpi saüpariùvaktaþ  BrP_197.10a
kais tad bråhi tapodhana  BrP_220.1d
kokà ca pitara÷ caiva  BrP_219.92a
kokàtañasthàm uttuïgàü  BrP_219.27c
kokàtoyam atho 'japat  BrP_219.82b
kokànadãti vikhyàtà  BrP_219.106a
kokà nàma tato vegàn  BrP_219.20a
kokàpi tãrthasahità  BrP_219.114a
kokàm àmantrya te yayuþ  BrP_219.113d
kokàmukham upàgamya  BrP_219.110a
kokàmukhaü saüyatavàkyacittaþ  BrP_229.84d
kokàmukhàt samàrabhya  BrP_228.94a
kokàmukhe gatabhayàþ  BrP_219.39c
kokàmukhe tàta tato hi kanyà  BrP_229.69a
kokàmukhe tãrthavare supuõye  BrP_229.87b
kokàmukhe tyakta÷ubhà÷ubhecchaþ  BrP_229.86b
kokàmukhe divyavaràharåpam  BrP_219.116b
kokàmukhe pitçgaõaü salile nimagnaü  BrP_219.36c
kokàmukhe ÷åkare ca  BrP_64.4a
kokàmbho badarãphalam  BrP_219.23b
kokà vegavatã pitén  BrP_219.28b
kokàsalilapànaü ca  BrP_219.108a
kokilàràvamadhuram  BrP_178.51c
kokilaiþ kalaviïkai÷ ca  BrP_42.22c
kokilaiþ kalaviïkai÷ ca  BrP_178.38c
koketi prathità loke  BrP_219.17c
ko guruþ syàn muni÷reùñha  BrP_95.14a
koïkaõeùu kçmiùv api  BrP_220.8d
koñarã purato hareþ  BrP_206.36d
koñare tannage ÷reùñhe  BrP_80.24c
koñikoñiguõaü karma  BrP_164.54c
koñikoñi÷atàni ca  BrP_23.28b
koñitãrthajalenàsàv  BrP_219.87a
koñitãrthaphalaü yataþ  BrP_148.22d
koñitãrtham iti khyàtaü  BrP_148.1a
koñitãrthasthalãü caiva  BrP_25.55c
koñitãrthasya màhàtmyam  BrP_148.23a
koñitãrthaü càgnipadaü  BrP_25.14c
koñitãrthaü tato viduþ  BrP_148.21d
koñitãrthaü tathàparam  BrP_25.44b
koñitãrthaü pa¤canadaü  BrP_25.36c
koñitãrthaü bhadravañaü  BrP_25.26c
koñitãrthe dvijàgryàya  BrP_148.25a
koñidrumam anuttamam  BrP_25.21b
koñidvayaü tatra pårõaü  BrP_148.2c
koñiprãtiguõaü bhavet  BrP_148.14b
koñi÷a÷ ca karoty eùa  BrP_30.71c
koñãdhanapatiþ ÷rãmàü÷  BrP_51.45c
koñãnàü caiva bhåùaõam  BrP_47.81d
koñyanekair javànvitaiþ  BrP_47.72d
koñyo navanavatyas tu  BrP_62.23a
koõàditya iti khyàtas  BrP_28.9a
koõàditya iti khyàto  BrP_28.18c
koõàrkasyodadhes tãre  BrP_28.65a
koõàrkaü munisattamàþ  BrP_28.47b
koõisarpà màhiùakà  BrP_8.50c
koõe caiva tu vinyaset  BrP_61.45b
